Site Name,Date,NO2 AQI,Ozone AQI,SO2 AQI,CO AQI
Los Angeles-North Main Street,1/4/2020,38.0,20.0,1.0,15.0
Los Angeles-North Main Street,1/4/2020,38.0,20.0,1.0,14.0
Los Angeles-North Main Street,1/4/2020,38.0,20.0,1.0,15.0
Los Angeles-North Main Street,1/4/2020,38.0,20.0,1.0,14.0
Los Angeles-North Main Street,1/10/2020,35.0,18.0,1.0,10.0
Los Angeles-North Main Street,1/10/2020,35.0,18.0,1.0,9.0
Los Angeles-North Main Street,1/10/2020,35.0,18.0,1.0,10.0
Los Angeles-North Main Street,1/10/2020,35.0,18.0,1.0,9.0
Los Angeles-North Main Street,2/21/2020,40.0,36.0,0.0,11.0
Los Angeles-North Main Street,2/21/2020,40.0,36.0,0.0,10.0
Los Angeles-North Main Street,2/21/2020,42.0,36.0,0.0,11.0
Los Angeles-North Main Street,2/21/2020,42.0,36.0,0.0,10.0
Los Angeles-North Main Street,2/27/2020,44.0,27.0,3.0,11.0
Los Angeles-North Main Street,2/27/2020,44.0,27.0,3.0,10.0
Los Angeles-North Main Street,2/27/2020,47.0,27.0,3.0,11.0
Los Angeles-North Main Street,2/27/2020,47.0,27.0,3.0,10.0
Los Angeles-North Main Street,3/4/2020,30.0,28.0,0.0,9.0
Los Angeles-North Main Street,3/4/2020,30.0,28.0,0.0,8.0
Los Angeles-North Main Street,3/4/2020,34.0,28.0,0.0,9.0
Los Angeles-North Main Street,3/4/2020,34.0,28.0,0.0,8.0
Los Angeles-North Main Street,3/10/2020,14.0,16.0,0.0,2.0
Los Angeles-North Main Street,3/10/2020,14.0,16.0,0.0,2.0
Los Angeles-North Main Street,3/10/2020,16.0,16.0,0.0,2.0
Los Angeles-North Main Street,3/10/2020,16.0,16.0,0.0,2.0
Los Angeles-North Main Street,3/16/2020,22.0,26.0,0.0,6.0
Los Angeles-North Main Street,3/16/2020,22.0,26.0,0.0,6.0
Los Angeles-North Main Street,3/16/2020,24.0,26.0,0.0,6.0
Los Angeles-North Main Street,3/16/2020,24.0,26.0,0.0,6.0
Los Angeles-North Main Street,3/22/2020,19.0,31.0,0.0,5.0
Los Angeles-North Main Street,7/2/2020,11.0,45.0,0.0,2.0
Los Angeles-North Main Street,7/2/2020,11.0,45.0,0.0,2.0
Los Angeles-North Main Street,7/2/2020,10.0,45.0,0.0,2.0
Los Angeles-North Main Street,7/2/2020,10.0,45.0,0.0,2.0
Los Angeles-North Main Street,7/8/2020,22.0,47.0,0.0,3.0
Los Angeles-North Main Street,7/8/2020,22.0,47.0,0.0,3.0
Los Angeles-North Main Street,7/8/2020,20.0,47.0,0.0,3.0
Los Angeles-North Main Street,7/8/2020,20.0,47.0,0.0,3.0
Los Angeles-North Main Street,7/14/2020,16.0,43.0,1.0,2.0
Los Angeles-North Main Street,7/14/2020,15.0,43.0,1.0,2.0
Los Angeles-North Main Street,7/20/2020,18.0,39.0,0.0,3.0
Los Angeles-North Main Street,7/20/2020,17.0,39.0,0.0,3.0
Los Angeles-North Main Street,7/26/2020,12.0,42.0,0.0,3.0
Los Angeles-North Main Street,7/26/2020,11.0,42.0,0.0,3.0
Los Angeles-North Main Street,8/1/2020,42.0,50.0,1.0,5.0
Los Angeles-North Main Street,8/1/2020,40.0,50.0,1.0,5.0
Los Angeles-North Main Street,8/7/2020,22.0,44.0,0.0,3.0
Los Angeles-North Main Street,8/7/2020,19.0,44.0,0.0,3.0
Los Angeles-North Main Street,8/15/2020,41.0,101.0,1.0,10.0
Los Angeles-North Main Street,8/15/2020,38.0,101.0,1.0,10.0
Los Angeles-North Main Street,8/19/2020,32.0,84.0,1.0,8.0
Los Angeles-North Main Street,8/19/2020,29.0,84.0,1.0,8.0
Los Angeles-North Main Street,8/25/2020,24.0,34.0,0.0,8.0
Los Angeles-North Main Street,8/25/2020,22.0,34.0,0.0,8.0
Los Angeles-North Main Street,8/31/2020,14.0,47.0,0.0,5.0
Los Angeles-North Main Street,8/31/2020,14.0,47.0,0.0,5.0
Los Angeles-North Main Street,9/6/2020,42.0,214.0,0.0,15.0
Los Angeles-North Main Street,9/6/2020,37.0,214.0,0.0,15.0
Los Angeles-North Main Street,9/12/2020,39.0,42.0,1.0,16.0
Los Angeles-North Main Street,9/12/2020,34.0,42.0,1.0,16.0
Los Angeles-North Main Street,9/18/2020,48.0,119.0,1.0,13.0
Los Angeles-North Main Street,9/18/2020,48.0,119.0,1.0,13.0
Los Angeles-North Main Street,9/24/2020,44.0,90.0,1.0,9.0
Los Angeles-North Main Street,9/24/2020,40.0,90.0,1.0,9.0
