Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2016,AQS,530330030,1,48.6,ppb,45,Seattle-10th & Weller,24,100,42602,Nitrogen dioxide (NO2),42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/2/2016,AQS,530330030,1,42.1,ppb,40,Seattle-10th & Weller,24,100,42602,Nitrogen dioxide (NO2),42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/3/2016,AQS,530330030,1,40.4,ppb,38,Seattle-10th & Weller,24,100,42602,Nitrogen dioxide (NO2),42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/4/2016,AQS,530330030,1,31.7,ppb,29,Seattle-10th & Weller,20,83,42602,Nitrogen dioxide (NO2),42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/5/2016,AQS,530330030,1,41.5,ppb,39,Seattle-10th & Weller,24,100,42602,Nitrogen dioxide (NO2),42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/6/2016,AQS,530330030,1,61.4,ppb,58,Seattle-10th & Weller,24,100,42602,Nitrogen dioxide (NO2),42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/7/2016,AQS,530330030,1,36.1,ppb,34,Seattle-10th & Weller,24,100,42602,Nitrogen dioxide (NO2),42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/8/2016,AQS,530330030,1,33.1,ppb,31,Seattle-10th & Weller,24,100,42602,Nitrogen dioxide (NO2),42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/9/2016,AQS,530330030,1,40.1,ppb,38,Seattle-10th & Weller,24,100,42602,Nitrogen dioxide (NO2),42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/10/2016,AQS,530330030,1,37,ppb,35,Seattle-10th & Weller,24,100,42602,Nitrogen dioxide (NO2),42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/11/2016,AQS,530330030,1,52.5,ppb,49,Seattle-10th & Weller,19,79,42602,Nitrogen dioxide (NO2),42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/12/2016,AQS,530330030,1,49.4,ppb,46,Seattle-10th & Weller,24,100,42602,Nitrogen dioxide (NO2),42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/13/2016,AQS,530330030,1,49.1,ppb,46,Seattle-10th & Weller,22,92,42602,Nitrogen dioxide (NO2),42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/14/2016,AQS,530330030,1,58.7,ppb,55,Seattle-10th & Weller,24,100,42602,Nitrogen dioxide (NO2),42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/15/2016,AQS,530330030,1,38.1,ppb,36,Seattle-10th & Weller,24,100,42602,Nitrogen dioxide (NO2),42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
