Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
3/1/2018,AQS,340030006,1,0.041,ppm,38,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
3/5/2018,AQS,340030006,1,0.035,ppm,32,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
3/6/2018,AQS,340030006,1,0.037,ppm,34,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
3/7/2018,AQS,340030006,1,0.036,ppm,33,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
3/8/2018,AQS,340030006,1,0.031,ppm,29,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
3/9/2018,AQS,340030006,1,0.033,ppm,31,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
3/10/2018,AQS,340030006,1,0.042,ppm,39,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
3/11/2018,AQS,340030006,1,0.043,ppm,40,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
3/12/2018,AQS,340030006,1,0.037,ppm,34,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
3/13/2018,AQS,340030006,1,0.039,ppm,36,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
3/14/2018,AQS,340030006,1,0.035,ppm,32,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
3/15/2018,AQS,340030006,1,0.044,ppm,41,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
3/16/2018,AQS,340030006,1,0.039,ppm,36,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
3/17/2018,AQS,340030006,1,0.046,ppm,43,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
3/18/2018,AQS,340030006,1,0.047,ppm,44,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
3/19/2018,AQS,340030006,1,0.046,ppm,43,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
3/20/2018,AQS,340030006,1,0.035,ppm,32,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
3/21/2018,AQS,340030006,1,0.039,ppm,36,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
3/22/2018,AQS,340030006,1,0.046,ppm,43,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
3/23/2018,AQS,340030006,1,0.042,ppm,39,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
3/24/2018,AQS,340030006,1,0.046,ppm,43,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
3/25/2018,AQS,340030006,1,0.04,ppm,37,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
3/26/2018,AQS,340030006,1,0.04,ppm,37,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
3/27/2018,AQS,340030006,1,0.02,ppm,19,Leonia,14,82,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
3/28/2018,AQS,340030006,1,0.022,ppm,20,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
3/29/2018,AQS,340030006,1,0.01,ppm,9,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
3/30/2018,AQS,340030006,1,0.036,ppm,33,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
3/31/2018,AQS,340030006,1,0.042,ppm,39,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
4/1/2018,AQS,340030006,1,0.041,ppm,38,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
4/2/2018,AQS,340030006,1,0.04,ppm,37,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
4/3/2018,AQS,340030006,1,0.032,ppm,30,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
4/4/2018,AQS,340030006,1,0.043,ppm,40,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
4/5/2018,AQS,340030006,1,0.044,ppm,41,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
4/6/2018,AQS,340030006,1,0.044,ppm,41,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
4/7/2018,AQS,340030006,1,0.046,ppm,43,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
4/8/2018,AQS,340030006,1,0.043,ppm,40,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
4/9/2018,AQS,340030006,1,0.041,ppm,38,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
4/10/2018,AQS,340030006,1,0.043,ppm,40,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
4/11/2018,AQS,340030006,1,0.038,ppm,35,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
4/12/2018,AQS,340030006,1,0.039,ppm,36,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
4/13/2018,AQS,340030006,1,0.06,ppm,67,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
4/14/2018,AQS,340030006,1,0.055,ppm,51,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
4/15/2018,AQS,340030006,1,0.046,ppm,43,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
4/16/2018,AQS,340030006,1,0.041,ppm,38,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
4/17/2018,AQS,340030006,1,0.033,ppm,31,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
4/18/2018,AQS,340030006,1,0.037,ppm,34,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
4/19/2018,AQS,340030006,1,0.041,ppm,38,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
4/20/2018,AQS,340030006,1,0.041,ppm,38,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
4/21/2018,AQS,340030006,1,0.051,ppm,47,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
4/22/2018,AQS,340030006,1,0.054,ppm,50,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
4/23/2018,AQS,340030006,1,0.049,ppm,45,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
4/24/2018,AQS,340030006,1,0.052,ppm,48,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
4/25/2018,AQS,340030006,1,0.034,ppm,31,Leonia,17,100,44201,Ozone,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
