,Site Name,Date,DMean PM10,PM10 Units,PM10 AQI,Lat,Lng,DMax NO2,NO2 Units,NO2 AQI,DMax Ozone,Ozone Units,Ozone AQI,DMax SO2,SO2 Units,SO2 AQI,DMax CO,CO Units,CO AQI
0,SEATTLE - BEACON HILL,1/2/2018,13.0,ug/m3 SC,12.0,47.568236,-122.308628,26.5,ppb,25.0,0.004,ppm,4.0,1.2,ppb,1.0,0.4,ppm,5.0
1,SEATTLE - BEACON HILL,1/5/2018,8.0,ug/m3 SC,7.0,47.568236,-122.308628,30.9,ppb,28.0,,,,2.4,ppb,3.0,0.8,ppm,9.0
2,SEATTLE - BEACON HILL,1/11/2018,3.0,ug/m3 SC,3.0,47.568236,-122.308628,24.1,ppb,23.0,0.032,ppm,30.0,0.5,ppb,0.0,0.3,ppm,3.0
3,SEATTLE - BEACON HILL,1/14/2018,11.0,ug/m3 SC,10.0,47.568236,-122.308628,24.0,ppb,23.0,0.003,ppm,3.0,2.2,ppb,3.0,0.4,ppm,5.0
4,SEATTLE - BEACON HILL,1/20/2018,4.0,ug/m3 SC,4.0,47.568236,-122.308628,14.8,ppb,13.0,0.036,ppm,33.0,0.3,ppb,0.0,0.2,ppm,2.0
5,SEATTLE - BEACON HILL,1/23/2018,3.0,ug/m3 SC,3.0,47.568236,-122.308628,34.6,ppb,32.0,0.027,ppm,25.0,1.1,ppb,1.0,0.3,ppm,3.0
6,SEATTLE - BEACON HILL,1/26/2018,2.0,ug/m3 SC,2.0,47.568236,-122.308628,16.4,ppb,15.0,0.03,ppm,28.0,0.3,ppb,0.0,0.2,ppm,2.0
7,SEATTLE - BEACON HILL,1/29/2018,5.0,ug/m3 SC,5.0,47.568236,-122.308628,29.4,ppb,27.0,0.038,ppm,35.0,,,,0.3,ppm,3.0
8,SEATTLE - BEACON HILL,2/1/2018,5.0,ug/m3 SC,5.0,47.568236,-122.308628,27.0,ppb,25.0,0.017,ppm,16.0,1.2,ppb,1.0,0.3,ppm,3.0
9,SEATTLE - BEACON HILL,2/4/2018,1.0,ug/m3 SC,1.0,47.568236,-122.308628,,,,0.033,ppm,31.0,0.9,ppb,0.0,0.1,ppm,1.0
10,SEATTLE - BEACON HILL,2/7/2018,7.0,ug/m3 SC,6.0,47.568236,-122.308628,21.9,ppb,20.0,0.017,ppm,16.0,1.6,ppb,1.0,0.3,ppm,3.0
11,SEATTLE - BEACON HILL,2/10/2018,10.0,ug/m3 SC,9.0,47.568236,-122.308628,29.0,ppb,27.0,0.021,ppm,19.0,1.2,ppb,1.0,0.3,ppm,3.0
12,SEATTLE - BEACON HILL,2/13/2018,14.0,ug/m3 SC,13.0,47.568236,-122.308628,31.4,ppb,29.0,0.031,ppm,29.0,2.1,ppb,3.0,0.4,ppm,5.0
