,Site Name,Date,DMean PM10,PM10 Units,PM10 AQI,Lat,Lng,DMax NO2,NO2 Units,NO2 AQI,DMax Ozone,Ozone Units,Ozone AQI,DMax SO2,SO2 Units,SO2 AQI,DMax CO,CO Units,CO AQI
0,Millbrook School,1/1/2020,8.0,ug/m3 SC,7.0,35.856111,-78.574167,25.4,ppb,24.0,0.036000000000000004,ppm,33.0,,,,0.5,ppm,6.0
1,Millbrook School,1/1/2020,8.0,ug/m3 SC,7.0,35.856111,-78.574167,25.4,ppb,24.0,0.036000000000000004,ppm,33.0,,,,0.5,ppm,6.0
2,Millbrook School,1/2/2020,13.0,ug/m3 SC,12.0,35.856111,-78.574167,,,,0.03,ppm,28.0,,,,0.8,ppm,9.0
3,Millbrook School,1/2/2020,16.0,ug/m3 SC,15.0,35.856111,-78.574167,,,,0.03,ppm,28.0,,,,0.8,ppm,9.0
4,Millbrook School,1/3/2020,12.0,ug/m3 SC,11.0,35.856111,-78.574167,15.9,ppb,14.0,0.01,ppm,9.0,,,,0.4,ppm,5.0
5,Millbrook School,1/3/2020,14.0,ug/m3 SC,13.0,35.856111,-78.574167,15.9,ppb,14.0,0.01,ppm,9.0,,,,0.4,ppm,5.0
6,Millbrook School,1/4/2020,3.0,ug/m3 SC,3.0,35.856111,-78.574167,12.6,ppb,11.0,0.033,ppm,31.0,,,,0.4,ppm,5.0
7,Millbrook School,1/4/2020,6.0,ug/m3 SC,6.0,35.856111,-78.574167,12.6,ppb,11.0,0.033,ppm,31.0,,,,0.4,ppm,5.0
8,Millbrook School,1/5/2020,6.0,ug/m3 SC,6.0,35.856111,-78.574167,25.2,ppb,24.0,0.032,ppm,30.0,,,,0.4,ppm,5.0
9,Millbrook School,1/5/2020,6.0,ug/m3 SC,6.0,35.856111,-78.574167,25.2,ppb,24.0,0.032,ppm,30.0,,,,0.4,ppm,5.0
10,Millbrook School,1/6/2020,9.0,ug/m3 SC,8.0,35.856111,-78.574167,33.8,ppb,31.0,0.033,ppm,31.0,,,,0.7,ppm,8.0
11,Millbrook School,1/6/2020,10.0,ug/m3 SC,9.0,35.856111,-78.574167,33.8,ppb,31.0,0.033,ppm,31.0,,,,0.7,ppm,8.0
12,Millbrook School,1/7/2020,12.0,ug/m3 SC,11.0,35.856111,-78.574167,24.5,ppb,23.0,0.027999999999999997,ppm,26.0,,,,0.8,ppm,9.0
13,Millbrook School,1/7/2020,13.0,ug/m3 SC,12.0,35.856111,-78.574167,24.5,ppb,23.0,0.027999999999999997,ppm,26.0,,,,0.8,ppm,9.0
14,Millbrook School,1/8/2020,13.0,ug/m3 SC,12.0,35.856111,-78.574167,31.6,ppb,29.0,0.035,ppm,32.0,,,,0.6,ppm,7.0
15,Millbrook School,1/8/2020,13.0,ug/m3 SC,12.0,35.856111,-78.574167,31.6,ppb,29.0,0.035,ppm,32.0,,,,0.6,ppm,7.0
16,Millbrook School,1/9/2020,11.0,ug/m3 SC,10.0,35.856111,-78.574167,19.1,ppb,18.0,0.03,ppm,28.0,,,,0.7,ppm,8.0
17,Millbrook School,1/9/2020,11.0,ug/m3 SC,10.0,35.856111,-78.574167,19.1,ppb,18.0,0.03,ppm,28.0,,,,0.7,ppm,8.0
18,Millbrook School,1/10/2020,15.0,ug/m3 SC,14.0,35.856111,-78.574167,19.1,ppb,18.0,0.027000000000000003,ppm,25.0,,,,0.4,ppm,5.0
19,Millbrook School,1/10/2020,14.0,ug/m3 SC,13.0,35.856111,-78.574167,19.1,ppb,18.0,0.027000000000000003,ppm,25.0,,,,0.4,ppm,5.0
20,Millbrook School,1/11/2020,16.0,ug/m3 SC,15.0,35.856111,-78.574167,4.6,ppb,4.0,0.032,ppm,30.0,,,,0.3,ppm,3.0
21,Millbrook School,1/11/2020,17.0,ug/m3 SC,16.0,35.856111,-78.574167,4.6,ppb,4.0,0.032,ppm,30.0,,,,0.3,ppm,3.0
22,Millbrook School,1/12/2020,7.0,ug/m3 SC,6.0,35.856111,-78.574167,7.7,ppb,7.0,0.026000000000000002,ppm,24.0,,,,0.2,ppm,2.0
23,Millbrook School,1/12/2020,9.0,ug/m3 SC,8.0,35.856111,-78.574167,7.7,ppb,7.0,0.026000000000000002,ppm,24.0,,,,0.2,ppm,2.0
24,Millbrook School,1/13/2020,6.0,ug/m3 SC,6.0,35.856111,-78.574167,11.8,ppb,10.0,0.017,ppm,16.0,,,,0.3,ppm,3.0
25,Millbrook School,1/13/2020,9.0,ug/m3 SC,8.0,35.856111,-78.574167,11.8,ppb,10.0,0.017,ppm,16.0,,,,0.3,ppm,3.0
26,Millbrook School,1/14/2020,7.0,ug/m3 SC,6.0,35.856111,-78.574167,12.5,ppb,11.0,0.02,ppm,19.0,,,,0.4,ppm,5.0
27,Millbrook School,1/14/2020,10.0,ug/m3 SC,9.0,35.856111,-78.574167,12.5,ppb,11.0,0.02,ppm,19.0,,,,0.4,ppm,5.0
28,Millbrook School,1/15/2020,10.0,ug/m3 SC,9.0,35.856111,-78.574167,14.0,ppb,13.0,0.018000000000000002,ppm,17.0,,,,0.4,ppm,5.0
