,Site Name,Date,DMean PM10,PM10 Units,PM10 AQI,Lat,Lng,DMax NO2,NO2 Units,NO2 AQI,DMax Ozone,Ozone Units,Ozone AQI,DMax SO2,SO2 Units,SO2 AQI,DMax CO,CO Units,CO AQI
0,Azusa,1/2/2018,78.0,ug/m3 SC,62.0,34.1365,-117.92391,69.6,ppb,67.0,0.032,ppm,30.0,,,,1.0,ppm,11.0
1,Azusa,1/8/2018,14.0,ug/m3 SC,13.0,34.1365,-117.92391,26.8,ppb,25.0,0.022000000000000002,ppm,20.0,,,,0.7,ppm,8.0
2,Azusa,1/14/2018,10.0,ug/m3 SC,9.0,34.1365,-117.92391,15.7,ppb,14.0,0.044000000000000004,ppm,41.0,,,,0.3,ppm,3.0
3,Azusa,1/20/2018,13.0,ug/m3 SC,12.0,34.1365,-117.92391,20.2,ppb,19.0,0.043,ppm,40.0,,,,0.3,ppm,3.0
4,Azusa,1/26/2018,16.0,ug/m3 SC,15.0,34.1365,-117.92391,18.2,ppb,17.0,0.037000000000000005,ppm,34.0,,,,0.3,ppm,3.0
5,Azusa,2/1/2018,37.0,ug/m3 SC,34.0,34.1365,-117.92391,64.7,ppb,62.0,0.042,ppm,39.0,,,,0.7,ppm,8.0
6,Azusa,2/7/2018,23.0,ug/m3 SC,21.0,34.1365,-117.92391,38.3,ppb,36.0,0.044000000000000004,ppm,41.0,,,,0.6,ppm,7.0
7,Azusa,2/22/2018,16.0,ug/m3 SC,15.0,34.1365,-117.92391,17.4,ppb,16.0,0.042,ppm,39.0,,,,0.3,ppm,3.0
8,Azusa,2/25/2018,13.0,ug/m3 SC,12.0,34.1365,-117.92391,26.8,ppb,25.0,0.051,ppm,47.0,,,,0.4,ppm,5.0
9,Azusa,3/3/2018,8.0,ug/m3 SC,7.0,34.1365,-117.92391,17.9,ppb,16.0,0.044000000000000004,ppm,41.0,,,,0.4,ppm,5.0
10,Azusa,3/9/2018,28.0,ug/m3 SC,26.0,34.1365,-117.92391,35.6,ppb,33.0,0.040999999999999995,ppm,38.0,,,,0.5,ppm,6.0
11,Azusa,3/15/2018,12.0,ug/m3 SC,11.0,34.1365,-117.92391,17.0,ppb,16.0,0.044000000000000004,ppm,41.0,,,,0.3,ppm,3.0
12,Azusa,3/21/2018,18.0,ug/m3 SC,17.0,34.1365,-117.92391,34.8,ppb,32.0,0.027000000000000003,ppm,25.0,,,,0.6,ppm,7.0
13,Azusa,3/27/2018,26.0,ug/m3 SC,24.0,34.1365,-117.92391,34.3,ppb,32.0,0.046,ppm,43.0,,,,0.5,ppm,6.0
14,Azusa,4/2/2018,24.0,ug/m3 SC,22.0,34.1365,-117.92391,15.6,ppb,14.0,0.049,ppm,45.0,,,,0.3,ppm,3.0
15,Azusa,4/8/2018,22.0,ug/m3 SC,20.0,34.1365,-117.92391,26.1,ppb,25.0,0.054000000000000006,ppm,50.0,,,,0.3,ppm,3.0
16,Azusa,4/14/2018,30.0,ug/m3 SC,28.0,34.1365,-117.92391,21.8,ppb,20.0,0.07400000000000001,ppm,112.0,,,,0.4,ppm,5.0
17,Azusa,4/20/2018,25.0,ug/m3 SC,23.0,34.1365,-117.92391,20.1,ppb,19.0,0.049,ppm,45.0,,,,0.4,ppm,5.0
18,Azusa,4/26/2018,42.0,ug/m3 SC,39.0,34.1365,-117.92391,21.2,ppb,20.0,0.052000000000000005,ppm,48.0,,,,0.4,ppm,5.0
19,Azusa,5/2/2018,17.0,ug/m3 SC,16.0,34.1365,-117.92391,16.8,ppb,15.0,0.037000000000000005,ppm,34.0,,,,0.3,ppm,3.0
20,Azusa,5/8/2018,44.0,ug/m3 SC,41.0,34.1365,-117.92391,25.1,ppb,24.0,0.068,ppm,93.0,,,,0.5,ppm,6.0
21,Azusa,5/14/2018,28.0,ug/m3 SC,26.0,34.1365,-117.92391,12.8,ppb,11.0,0.049,ppm,45.0,,,,0.3,ppm,3.0
