,Site Name,Date,DMean PM10,PM10 Units,PM10 AQI,Lat,Lng,DMax NO2,NO2 Units,NO2 AQI,DMax Ozone,Ozone Units,Ozone AQI,DMax SO2,SO2 Units,SO2 AQI,DMax CO,CO Units,CO AQI
422,Los Angeles-North Main Street,1/1/2016,17.0,ug/m3 SC,16.0,34.066590000000005,-118.22688,35.7,ppb,33.0,0.037,ppm,34.0,0.6,ppb,0.0,0.8,ppm,9.0
423,Los Angeles-North Main Street,1/1/2016,17.0,ug/m3 SC,16.0,34.066590000000005,-118.22688,35.7,ppb,33.0,0.037,ppm,34.0,0.6,ppb,0.0,0.8,ppm,9.0
424,Los Angeles-North Main Street,1/7/2016,7.0,ug/m3 SC,6.0,34.066590000000005,-118.22688,35.9,ppb,33.0,0.03,ppm,28.0,0.0,ppb,0.0,0.3,ppm,3.0
425,Los Angeles-North Main Street,1/13/2016,22.0,ug/m3 SC,20.0,34.066590000000005,-118.22688,47.6,ppb,44.0,0.017,ppm,16.0,0.9,ppb,0.0,1.0,ppm,11.0
426,Los Angeles-North Main Street,1/13/2016,22.0,ug/m3 SC,20.0,34.066590000000005,-118.22688,47.6,ppb,44.0,0.017,ppm,16.0,0.9,ppb,0.0,1.0,ppm,11.0
427,Los Angeles-North Main Street,1/19/2016,18.0,ug/m3 SC,17.0,34.066590000000005,-118.22688,27.9,ppb,25.0,0.017,ppm,16.0,0.3,ppb,0.0,0.7,ppm,8.0
428,Los Angeles-North Main Street,1/19/2016,18.0,ug/m3 SC,17.0,34.066590000000005,-118.22688,27.9,ppb,25.0,0.017,ppm,16.0,0.3,ppb,0.0,0.7,ppm,8.0
429,Los Angeles-North Main Street,1/25/2016,26.0,ug/m3 SC,24.0,34.066590000000005,-118.22688,46.3,ppb,43.0,0.027,ppm,25.0,0.5,ppb,0.0,0.9,ppm,10.0
430,Los Angeles-North Main Street,1/25/2016,26.0,ug/m3 SC,24.0,34.066590000000005,-118.22688,46.3,ppb,43.0,0.027,ppm,25.0,0.5,ppb,0.0,0.8,ppm,9.0
431,Los Angeles-North Main Street,1/31/2016,10.0,ug/m3 SC,9.0,34.066590000000005,-118.22688,19.8,ppb,18.0,0.036,ppm,33.0,0.2,ppb,0.0,0.3,ppm,3.0
432,Los Angeles-North Main Street,2/6/2016,17.0,ug/m3 SC,16.0,34.066590000000005,-118.22688,49.6,ppb,46.0,0.037,ppm,34.0,0.5,ppb,0.0,1.0,ppm,11.0
433,Los Angeles-North Main Street,2/12/2016,38.0,ug/m3 SC,35.0,34.066590000000005,-118.22688,61.7,ppb,58.0,0.044,ppm,41.0,0.7,ppb,0.0,1.3,ppm,15.0
434,Los Angeles-North Main Street,2/18/2016,13.0,ug/m3 SC,12.0,34.066590000000005,-118.22688,39.7,ppb,37.0,0.033,ppm,31.0,0.1,ppb,0.0,0.5,ppm,6.0
435,Los Angeles-North Main Street,2/24/2016,22.0,ug/m3 SC,20.0,34.066590000000005,-118.22688,54.5,ppb,51.0,0.044,ppm,41.0,0.4,ppb,0.0,0.7,ppm,8.0
437,Los Angeles-North Main Street,3/7/2016,12.0,ug/m3 SC,11.0,34.066590000000005,-118.22688,27.3,ppb,25.0,0.0409999999999999,ppm,38.0,0.0,ppb,0.0,0.4,ppm,5.0
