,Site Name,Date,DMean PM10,PM10 Units,PM10 AQI,Lat,Lng,DMax NO2,NO2 Units,NO2 AQI,DMax Ozone,Ozone Units,Ozone AQI,DMax SO2,SO2 Units,SO2 AQI,DMax CO,CO Units,CO AQI
0,Newark Firehouse,1/1/2016,3.0,ug/m3 SC,3.0,40.720989,-74.192892,15.0,ppb,14.0,0.027,ppm,25.0,0.6,ppb,0.0,0.2,ppm,2.0
1,Newark Firehouse,1/4/2016,4.0,ug/m3 SC,4.0,40.720989,-74.192892,20.0,ppb,19.0,0.03,ppm,28.0,0.4,ppb,0.0,0.4,ppm,5.0
2,Newark Firehouse,1/7/2016,45.0,ug/m3 SC,42.0,40.720989,-74.192892,70.0,ppb,68.0,0.003,ppm,3.0,5.5,ppb,7.0,1.2,ppm,14.0
3,Newark Firehouse,1/10/2016,12.0,ug/m3 SC,11.0,40.720989,-74.192892,27.0,ppb,25.0,0.0279999999999999,ppm,26.0,0.5,ppb,0.0,0.4,ppm,5.0
4,Newark Firehouse,1/13/2016,10.0,ug/m3 SC,9.0,40.720989,-74.192892,19.0,ppb,18.0,0.0279999999999999,ppm,26.0,2.5,ppb,3.0,0.4,ppm,5.0
5,Newark Firehouse,1/16/2016,7.0,ug/m3 SC,6.0,40.720989,-74.192892,47.0,ppb,44.0,0.0279999999999999,ppm,26.0,0.9,ppb,0.0,0.9,ppm,10.0
6,Newark Firehouse,1/19/2016,6.0,ug/m3 SC,6.0,40.720989,-74.192892,13.0,ppb,12.0,0.03,ppm,28.0,1.0,ppb,1.0,0.2,ppm,2.0
7,Newark Firehouse,1/22/2016,6.0,ug/m3 SC,6.0,40.720989,-74.192892,34.0,ppb,32.0,0.0289999999999999,ppm,27.0,0.8,ppb,0.0,0.3,ppm,3.0
8,Newark Firehouse,1/25/2016,23.0,ug/m3 SC,21.0,40.720989,-74.192892,49.0,ppb,46.0,0.0139999999999999,ppm,13.0,2.1,ppb,3.0,1.0,ppm,11.0
9,Newark Firehouse,1/28/2016,26.0,ug/m3 SC,24.0,40.720989,-74.192892,95.0,ppb,95.0,0.018,ppm,17.0,3.5,ppb,4.0,2.3,ppm,26.0
10,Newark Firehouse,1/31/2016,21.0,ug/m3 SC,19.0,40.720989,-74.192892,50.0,ppb,47.0,0.023,ppm,21.0,1.8,ppb,1.0,1.0,ppm,11.0
11,Newark Firehouse,2/3/2016,16.0,ug/m3 SC,15.0,40.720989,-74.192892,47.0,ppb,44.0,0.009,ppm,8.0,0.9,ppb,0.0,0.6,ppm,7.0
12,Newark Firehouse,2/6/2016,13.0,ug/m3 SC,12.0,40.720989,-74.192892,37.0,ppb,35.0,0.026,ppm,24.0,1.3,ppb,1.0,0.5,ppm,6.0
13,Newark Firehouse,2/9/2016,17.0,ug/m3 SC,16.0,40.720989,-74.192892,38.0,ppb,36.0,0.019,ppm,18.0,0.6,ppb,0.0,0.5,ppm,6.0
14,Newark Firehouse,2/12/2016,8.0,ug/m3 SC,7.0,40.720989,-74.192892,25.0,ppb,24.0,0.032,ppm,30.0,1.2,ppb,1.0,0.3,ppm,3.0
16,Newark Firehouse,2/18/2016,6.0,ug/m3 SC,6.0,40.720989,-74.192892,21.0,ppb,20.0,0.033,ppm,31.0,0.3,ppb,0.0,0.3,ppm,3.0
17,Newark Firehouse,2/21/2016,10.0,ug/m3 SC,9.0,40.720989,-74.192892,44.0,ppb,42.0,0.031,ppm,29.0,1.5,ppb,1.0,0.7,ppm,8.0
18,Newark Firehouse,2/24/2016,8.0,ug/m3 SC,7.0,40.720989,-74.192892,41.0,ppb,39.0,0.026,ppm,24.0,0.5,ppb,0.0,0.5,ppm,6.0
19,Newark Firehouse,2/27/2016,6.0,ug/m3 SC,6.0,40.720989,-74.192892,35.0,ppb,33.0,0.035,ppm,32.0,0.9,ppb,0.0,0.3,ppm,3.0
20,Newark Firehouse,3/1/2016,13.0,ug/m3 SC,12.0,40.720989,-74.192892,32.0,ppb,30.0,0.033,ppm,31.0,1.0,ppb,1.0,0.3,ppm,3.0
25,Newark Firehouse,3/16/2016,19.0,ug/m3 SC,18.0,40.720989,-74.192892,60.0,ppb,57.0,0.016,ppm,15.0,2.5,ppb,3.0,1.4,ppm,16.0
26,Newark Firehouse,3/19/2016,4.0,ug/m3 SC,4.0,40.720989,-74.192892,33.0,ppb,31.0,0.037,ppm,34.0,0.3,ppb,0.0,0.3,ppm,3.0
27,Newark Firehouse,3/22/2016,10.0,ug/m3 SC,9.0,40.720989,-74.192892,33.0,ppb,31.0,0.04,ppm,37.0,1.0,ppb,1.0,0.3,ppm,3.0
28,Newark Firehouse,3/25/2016,27.0,ug/m3 SC,25.0,40.720989,-74.192892,39.0,ppb,37.0,0.04,ppm,37.0,1.1,ppb,1.0,0.7,ppm,8.0
29,Newark Firehouse,3/28/2016,6.0,ug/m3 SC,6.0,40.720989,-74.192892,33.0,ppb,31.0,0.04,ppm,37.0,0.2,ppb,0.0,0.4,ppm,5.0
30,Newark Firehouse,3/31/2016,20.0,ug/m3 SC,19.0,40.720989,-74.192892,49.0,ppb,46.0,0.047,ppm,44.0,1.3,ppb,1.0,0.3,ppm,3.0
31,Newark Firehouse,4/3/2016,4.0,ug/m3 SC,4.0,40.720989,-74.192892,14.0,ppb,13.0,0.04,ppm,37.0,0.1,ppb,0.0,0.2,ppm,2.0
32,Newark Firehouse,4/6/2016,14.0,ug/m3 SC,13.0,40.720989,-74.192892,46.0,ppb,43.0,0.038,ppm,35.0,0.9,ppb,0.0,0.4,ppm,5.0
33,Newark Firehouse,4/9/2016,7.0,ug/m3 SC,6.0,40.720989,-74.192892,39.0,ppb,37.0,0.035,ppm,32.0,0.8,ppb,0.0,0.6,ppm,7.0
34,Newark Firehouse,4/12/2016,8.0,ug/m3 SC,7.0,40.720989,-74.192892,18.0,ppb,17.0,0.037,ppm,34.0,0.2,ppb,0.0,0.4,ppm,5.0
35,Newark Firehouse,4/15/2016,33.0,ug/m3 SC,31.0,40.720989,-74.192892,39.0,ppb,37.0,0.035,ppm,32.0,1.4,ppb,1.0,0.5,ppm,6.0
36,Newark Firehouse,4/18/2016,24.0,ug/m3 SC,22.0,40.720989,-74.192892,45.0,ppb,42.0,0.054,ppm,50.0,3.8,ppb,4.0,0.7,ppm,8.0
37,Newark Firehouse,4/21/2016,21.0,ug/m3 SC,19.0,40.720989,-74.192892,31.0,ppb,29.0,0.0559999999999999,ppm,54.0,0.8,ppb,0.0,0.3,ppm,3.0
38,Newark Firehouse,4/24/2016,11.0,ug/m3 SC,10.0,40.720989,-74.192892,48.0,ppb,45.0,0.047,ppm,44.0,1.7,ppb,1.0,0.4,ppm,5.0
39,Newark Firehouse,4/27/2016,12.0,ug/m3 SC,11.0,40.720989,-74.192892,22.0,ppb,21.0,0.025,ppm,23.0,0.6,ppb,0.0,0.3,ppm,3.0
40,Newark Firehouse,4/30/2016,11.0,ug/m3 SC,10.0,40.720989,-74.192892,23.0,ppb,22.0,0.044,ppm,41.0,0.8,ppb,0.0,0.3,ppm,3.0
41,Newark Firehouse,5/3/2016,11.0,ug/m3 SC,10.0,40.720989,-74.192892,36.0,ppb,34.0,0.015,ppm,14.0,0.7,ppb,0.0,0.7,ppm,8.0
42,Newark Firehouse,5/6/2016,8.0,ug/m3 SC,7.0,40.720989,-74.192892,22.0,ppb,21.0,0.015,ppm,14.0,0.2,ppb,0.0,0.3,ppm,3.0
43,Newark Firehouse,5/9/2016,15.0,ug/m3 SC,14.0,40.720989,-74.192892,31.0,ppb,29.0,0.046,ppm,43.0,0.8,ppb,0.0,0.8,ppm,9.0
44,Newark Firehouse,5/12/2016,28.0,ug/m3 SC,26.0,40.720989,-74.192892,55.0,ppb,52.0,0.049,ppm,45.0,1.6,ppb,1.0,0.5,ppm,6.0
45,Newark Firehouse,5/15/2016,5.0,ug/m3 SC,5.0,40.720989,-74.192892,9.0,ppb,8.0,0.0279999999999999,ppm,26.0,0.4,ppb,0.0,0.2,ppm,2.0
46,Newark Firehouse,5/18/2016,11.0,ug/m3 SC,10.0,40.720989,-74.192892,28.0,ppb,26.0,0.035,ppm,32.0,0.4,ppb,0.0,0.3,ppm,3.0
47,Newark Firehouse,5/21/2016,17.0,ug/m3 SC,16.0,40.720989,-74.192892,45.0,ppb,42.0,0.036,ppm,33.0,1.3,ppb,1.0,0.5,ppm,6.0
48,Newark Firehouse,5/24/2016,12.0,ug/m3 SC,11.0,40.720989,-74.192892,42.0,ppb,40.0,0.038,ppm,35.0,0.3,ppb,0.0,0.4,ppm,5.0
49,Newark Firehouse,5/27/2016,39.0,ug/m3 SC,36.0,40.720989,-74.192892,48.0,ppb,45.0,0.049,ppm,45.0,3.3,ppb,4.0,0.5,ppm,6.0
50,Newark Firehouse,5/30/2016,7.0,ug/m3 SC,6.0,40.720989,-74.192892,7.0,ppb,7.0,0.037,ppm,34.0,0.1,ppb,0.0,0.2,ppm,2.0
51,Newark Firehouse,6/2/2016,20.0,ug/m3 SC,19.0,40.720989,-74.192892,26.0,ppb,25.0,0.031,ppm,29.0,0.9,ppb,0.0,0.3,ppm,3.0
52,Newark Firehouse,6/5/2016,11.0,ug/m3 SC,10.0,40.720989,-74.192892,21.0,ppb,20.0,0.025,ppm,23.0,0.5,ppb,0.0,0.3,ppm,3.0
53,Newark Firehouse,6/8/2016,7.0,ug/m3 SC,6.0,40.720989,-74.192892,9.0,ppb,8.0,0.027,ppm,25.0,0.0,ppb,0.0,0.2,ppm,2.0
