,Site Name,Date,DMean PM10,PM10 Units,PM10 AQI,Lat,Lng,DMax NO2,NO2 Units,NO2 AQI,DMax Ozone,Ozone Units,Ozone AQI,DMax SO2,SO2 Units,SO2 AQI,DMax CO,CO Units,CO AQI
430,Cheyenne NCore,1/2/2016,7,ug/m3 SC,6,41.18222711,-104.7783342,13.6,ppb,12,0.047,ppm,44,-0.2,ppb,0,0.1,ppm,1
431,Cheyenne NCore,1/3/2016,9,ug/m3 SC,8,41.18222711,-104.7783342,36,ppb,34,0.041,ppm,38,0.5,ppb,0,0.2,ppm,2
432,Cheyenne NCore,1/4/2016,14,ug/m3 SC,13,41.18222711,-104.7783342,39.5,ppb,37,0.035,ppm,32,1.2,ppb,1,0.2,ppm,2
433,Cheyenne NCore,1/5/2016,8,ug/m3 SC,7,41.18222711,-104.7783342,11.3,ppb,10,0.04,ppm,37,0.1,ppb,0,0.2,ppm,2
434,Cheyenne NCore,1/6/2016,8,ug/m3 SC,7,41.18222711,-104.7783342,25.4,ppb,24,0.039,ppm,36,0.3,ppb,0,0.2,ppm,2
435,Cheyenne NCore,1/7/2016,5,ug/m3 SC,5,41.18222711,-104.7783342,13.5,ppb,12,0.04,ppm,37,0.2,ppb,0,0.2,ppm,2
436,Cheyenne NCore,1/8/2016,9,ug/m3 SC,8,41.18222711,-104.7783342,14.1,ppb,13,0.027,ppm,25,2.3,ppb,3,0.2,ppm,2
437,Cheyenne NCore,1/9/2016,11,ug/m3 SC,10,41.18222711,-104.7783342,28.7,ppb,26,0.036,ppm,33,0.4,ppb,0,0.2,ppm,2
438,Cheyenne NCore,1/10/2016,6,ug/m3 SC,6,41.18222711,-104.7783342,8.5,ppb,8,0.043,ppm,40,0,ppb,0,0.2,ppm,2
439,Cheyenne NCore,1/11/2016,6,ug/m3 SC,6,41.18222711,-104.7783342,11.9,ppb,10,0.045,ppm,42,0.3,ppb,0,0.1,ppm,1
440,Cheyenne NCore,1/12/2016,6,ug/m3 SC,6,41.18222711,-104.7783342,8.3,ppb,8,0.046,ppm,43,0,ppb,0,0.1,ppm,1
441,Cheyenne NCore,1/13/2016,5,ug/m3 SC,5,41.18222711,-104.7783342,8.4,ppb,8,0.046,ppm,43,-0.1,ppb,0,0.1,ppm,1
442,Cheyenne NCore,1/14/2016,4,ug/m3 SC,4,41.18222711,-104.7783342,3.1,ppb,3,0.044,ppm,41,0,ppb,0,0.1,ppm,1
443,Cheyenne NCore,1/15/2016,2,ug/m3 SC,2,41.18222711,-104.7783342,4.5,ppb,4,0.043,ppm,40,0.1,ppb,0,0.1,ppm,1
444,Cheyenne NCore,1/16/2016,3,ug/m3 SC,3,41.18222711,-104.7783342,3.3,ppb,3,0.044,ppm,41,0,ppb,0,0.1,ppm,1
445,Cheyenne NCore,1/17/2016,5,ug/m3 SC,5,41.18222711,-104.7783342,14.3,ppb,13,0.045,ppm,42,0,ppb,0,0.1,ppm,1
446,Cheyenne NCore,1/18/2016,4,ug/m3 SC,4,41.18222711,-104.7783342,3.9,ppb,3,0.043,ppm,40,-0.1,ppb,0,0.1,ppm,1
447,Cheyenne NCore,1/19/2016,5,ug/m3 SC,5,41.18222711,-104.7783342,25.5,ppb,24,0.041,ppm,38,0.2,ppb,0,0.1,ppm,1
448,Cheyenne NCore,1/20/2016,3,ug/m3 SC,3,41.18222711,-104.7783342,8.7,ppb,8,0.044,ppm,41,0,ppb,0,0.1,ppm,1
449,Cheyenne NCore,1/21/2016,4,ug/m3 SC,4,41.18222711,-104.7783342,5.5,ppb,5,0.043,ppm,40,0,ppb,0,0.1,ppm,1
450,Cheyenne NCore,1/22/2016,9,ug/m3 SC,8,41.18222711,-104.7783342,33.6,ppb,31,0.04,ppm,37,5,ppb,7,0.2,ppm,2
451,Cheyenne NCore,1/23/2016,5,ug/m3 SC,5,41.18222711,-104.7783342,33.9,ppb,31,0.044,ppm,41,0.1,ppb,0,0.2,ppm,2
452,Cheyenne NCore,1/24/2016,4,ug/m3 SC,4,41.18222711,-104.7783342,9.1,ppb,8,0.044,ppm,41,0.1,ppb,0,0.1,ppm,1
453,Cheyenne NCore,1/25/2016,2,ug/m3 SC,2,41.18222711,-104.7783342,1.9,ppb,1,0.036,ppm,33,0,ppb,0,0.1,ppm,1
454,Cheyenne NCore,1/26/2016,5,ug/m3 SC,5,41.18222711,-104.7783342,9,ppb,8,0.043,ppm,40,-0.1,ppb,0,0.1,ppm,1
455,Cheyenne NCore,1/27/2016,4,ug/m3 SC,4,41.18222711,-104.7783342,3.4,ppb,3,0.043,ppm,40,-0.1,ppb,0,0.1,ppm,1
456,Cheyenne NCore,1/28/2016,3,ug/m3 SC,3,41.18222711,-104.7783342,4,ppb,4,0.042,ppm,39,-0.1,ppb,0,0.1,ppm,1
457,Cheyenne NCore,1/29/2016,6,ug/m3 SC,6,41.18222711,-104.7783342,11.6,ppb,10,0.044,ppm,41,0.3,ppb,0,0.1,ppm,1
458,Cheyenne NCore,1/30/2016,3,ug/m3 SC,3,41.18222711,-104.7783342,4.3,ppb,4,0.041,ppm,38,0.3,ppb,0,0.1,ppm,1
459,Cheyenne NCore,1/31/2016,4,ug/m3 SC,4,41.18222711,-104.7783342,2.8,ppb,2,0.044,ppm,41,0,ppb,0,0.1,ppm,1
460,Cheyenne NCore,2/1/2016,6,ug/m3 SC,6,41.18222711,-104.7783342,2.7,ppb,2,0.04,ppm,37,0.1,ppb,0,0.1,ppm,1
461,Cheyenne NCore,2/2/2016,2,ug/m3 SC,2,41.18222711,-104.7783342,1.7,ppb,1,0.041,ppm,38,0.1,ppb,0,0.1,ppm,1
462,Cheyenne NCore,2/3/2016,5,ug/m3 SC,5,41.18222711,-104.7783342,4.9,ppb,4,0.045,ppm,42,0.1,ppb,0,0.1,ppm,1
463,Cheyenne NCore,2/4/2016,8,ug/m3 SC,7,41.18222711,-104.7783342,2.4,ppb,2,0.048,ppm,44,-0.1,ppb,0,0.1,ppm,1
464,Cheyenne NCore,2/5/2016,4,ug/m3 SC,4,41.18222711,-104.7783342,2.5,ppb,2,0.046,ppm,43,-0.1,ppb,0,0.1,ppm,1
465,Cheyenne NCore,2/6/2016,8,ug/m3 SC,7,41.18222711,-104.7783342,1.9,ppb,1,0.048,ppm,44,-0.1,ppb,0,0.1,ppm,1
466,Cheyenne NCore,2/7/2016,5,ug/m3 SC,5,41.18222711,-104.7783342,2.7,ppb,2,0.044,ppm,41,0.1,ppb,0,0.1,ppm,1
467,Cheyenne NCore,2/8/2016,4,ug/m3 SC,4,41.18222711,-104.7783342,1.7,ppb,1,0.043,ppm,40,0.2,ppb,0,0.1,ppm,1
468,Cheyenne NCore,2/9/2016,4,ug/m3 SC,4,41.18222711,-104.7783342,3.2,ppb,3,0.046,ppm,43,-0.1,ppb,0,0.1,ppm,1
469,Cheyenne NCore,2/10/2016,4,ug/m3 SC,4,41.18222711,-104.7783342,2.4,ppb,2,0.048,ppm,44,-0.2,ppb,0,0.1,ppm,1
470,Cheyenne NCore,2/11/2016,4,ug/m3 SC,4,41.18222711,-104.7783342,4.4,ppb,4,0.042,ppm,39,-0.2,ppb,0,0.1,ppm,1
471,Cheyenne NCore,2/12/2016,11,ug/m3 SC,10,41.18222711,-104.7783342,22.8,ppb,21,0.042,ppm,39,0.8,ppb,0,0.1,ppm,1
472,Cheyenne NCore,2/13/2016,6,ug/m3 SC,6,41.18222711,-104.7783342,17.8,ppb,16,0.044,ppm,41,0.2,ppb,0,0.1,ppm,1
473,Cheyenne NCore,2/14/2016,5,ug/m3 SC,5,41.18222711,-104.7783342,2.9,ppb,2,0.042,ppm,39,0,ppb,0,0.1,ppm,1
474,Cheyenne NCore,2/15/2016,5,ug/m3 SC,5,41.18222711,-104.7783342,3.6,ppb,3,0.038,ppm,35,0,ppb,0,0.1,ppm,1
475,Cheyenne NCore,2/16/2016,4,ug/m3 SC,4,41.18222711,-104.7783342,10.1,ppb,9,0.037,ppm,34,0.3,ppb,0,0.1,ppm,1
476,Cheyenne NCore,2/17/2016,14,ug/m3 SC,13,41.18222711,-104.7783342,30.2,ppb,28,0.035,ppm,32,0.5,ppb,0,0.2,ppm,2
477,Cheyenne NCore,2/18/2016,6,ug/m3 SC,6,41.18222711,-104.7783342,12.4,ppb,11,0.046,ppm,43,0.3,ppb,0,0.2,ppm,2
480,Cheyenne NCore,2/21/2016,7,ug/m3 SC,6,41.18222711,-104.7783342,17.9,ppb,16,0.045,ppm,42,1.2,ppb,1,0.1,ppm,1
481,Cheyenne NCore,2/22/2016,6,ug/m3 SC,6,41.18222711,-104.7783342,19.2,ppb,18,0.045,ppm,42,0.1,ppb,0,0.1,ppm,1
482,Cheyenne NCore,2/23/2016,6,ug/m3 SC,6,41.18222711,-104.7783342,2.6,ppb,2,0.045,ppm,42,0,ppb,0,0.1,ppm,1
483,Cheyenne NCore,2/24/2016,8,ug/m3 SC,7,41.18222711,-104.7783342,2.5,ppb,2,0.047,ppm,44,0.1,ppb,0,0.1,ppm,1
484,Cheyenne NCore,2/25/2016,16,ug/m3 SC,15,41.18222711,-104.7783342,28.5,ppb,26,0.04,ppm,37,0.6,ppb,0,0.2,ppm,2
485,Cheyenne NCore,2/26/2016,10,ug/m3 SC,9,41.18222711,-104.7783342,17.4,ppb,16,0.05,ppm,46,0.3,ppb,0,0.1,ppm,1
486,Cheyenne NCore,2/27/2016,8,ug/m3 SC,7,41.18222711,-104.7783342,4.9,ppb,4,0.05,ppm,46,-0.1,ppb,0,0.1,ppm,1
487,Cheyenne NCore,2/28/2016,5,ug/m3 SC,5,41.18222711,-104.7783342,8.6,ppb,8,0.047,ppm,44,-0.1,ppb,0,0.1,ppm,1
488,Cheyenne NCore,2/29/2016,8,ug/m3 SC,7,41.18222711,-104.7783342,4.3,ppb,4,0.046,ppm,43,-0.1,ppb,0,0.1,ppm,1
489,Cheyenne NCore,3/1/2016,6,ug/m3 SC,6,41.18222711,-104.7783342,3,ppb,3,0.046,ppm,43,0,ppb,0,0.1,ppm,1
490,Cheyenne NCore,3/2/2016,9,ug/m3 SC,8,41.18222711,-104.7783342,1.3,ppb,1,0.047,ppm,44,-0.1,ppb,0,0.1,ppm,1
491,Cheyenne NCore,3/3/2016,11,ug/m3 SC,10,41.18222711,-104.7783342,11.6,ppb,10,0.052,ppm,48,0.1,ppb,0,0.2,ppm,2
492,Cheyenne NCore,3/4/2016,8,ug/m3 SC,7,41.18222711,-104.7783342,17.2,ppb,16,0.044,ppm,41,0,ppb,0,0.1,ppm,1
493,Cheyenne NCore,3/5/2016,20,ug/m3 SC,19,41.18222711,-104.7783342,35.7,ppb,33,0.044,ppm,41,1.3,ppb,1,0.1,ppm,1
494,Cheyenne NCore,3/6/2016,9,ug/m3 SC,8,41.18222711,-104.7783342,3.6,ppb,3,0.049,ppm,45,0.2,ppb,0,0.1,ppm,1
500,Cheyenne NCore,3/12/2016,11,ug/m3 SC,10,41.18222711,-104.7783342,11.1,ppb,10,0.046,ppm,43,3.8,ppb,4,0.1,ppm,1
501,Cheyenne NCore,3/13/2016,6,ug/m3 SC,6,41.18222711,-104.7783342,3.4,ppb,3,0.046,ppm,43,0,ppb,0,0.1,ppm,1
502,Cheyenne NCore,3/14/2016,10,ug/m3 SC,9,41.18222711,-104.7783342,18,ppb,17,0.049,ppm,45,0.2,ppb,0,0.1,ppm,1
503,Cheyenne NCore,3/15/2016,5,ug/m3 SC,5,41.18222711,-104.7783342,1.4,ppb,1,0.044,ppm,41,0,ppb,0,0.1,ppm,1
504,Cheyenne NCore,3/16/2016,6,ug/m3 SC,6,41.18222711,-104.7783342,2.8,ppb,2,0.047,ppm,44,0,ppb,0,0.1,ppm,1
505,Cheyenne NCore,3/17/2016,6,ug/m3 SC,6,41.18222711,-104.7783342,3.5,ppb,3,0.047,ppm,44,0.1,ppb,0,0.1,ppm,1
506,Cheyenne NCore,3/18/2016,6,ug/m3 SC,6,41.18222711,-104.7783342,2.6,ppb,2,0.042,ppm,39,0.9,ppb,0,0.1,ppm,1
507,Cheyenne NCore,3/19/2016,4,ug/m3 SC,4,41.18222711,-104.7783342,4.2,ppb,4,0.043,ppm,40,-0.1,ppb,0,0.1,ppm,1
508,Cheyenne NCore,3/20/2016,7,ug/m3 SC,6,41.18222711,-104.7783342,24.5,ppb,23,0.048,ppm,44,0.7,ppb,0,0.1,ppm,1
509,Cheyenne NCore,3/21/2016,7,ug/m3 SC,6,41.18222711,-104.7783342,19.3,ppb,18,0.053,ppm,49,0.7,ppb,0,0.1,ppm,1
510,Cheyenne NCore,3/22/2016,13,ug/m3 SC,12,41.18222711,-104.7783342,26.5,ppb,25,0.051,ppm,47,1,ppb,1,0.1,ppm,1
511,Cheyenne NCore,3/23/2016,14,ug/m3 SC,13,41.18222711,-104.7783342,2,ppb,2,0.042,ppm,39,0.1,ppb,0,0.1,ppm,1
512,Cheyenne NCore,3/24/2016,8,ug/m3 SC,7,41.18222711,-104.7783342,8.9,ppb,8,0.049,ppm,45,0,ppb,0,0.1,ppm,1
513,Cheyenne NCore,3/25/2016,3,ug/m3 SC,3,41.18222711,-104.7783342,10.9,ppb,9,0.049,ppm,45,0.1,ppb,0,0.1,ppm,1
514,Cheyenne NCore,3/26/2016,6,ug/m3 SC,6,41.18222711,-104.7783342,27.6,ppb,25,0.041,ppm,38,0.3,ppb,0,0.1,ppm,1
