,Site Name,Date,Lat,Lng,DMax NO2,NO2 Units,NO2 AQI,DMax Ozone,Ozone Units,Ozone AQI,DMax SO2,SO2 Units,SO2 AQI,DMax CO,CO Units,CO AQI,DMean PM10,PM10 Units,PM10 AQI
0,Seattle-10th & Weller,1/1/2016,1.1,ppm,13.0,47.597222,-122.319722,ppb,45.0,both,,,,,,,,,
1,Seattle-10th & Weller,1/2/2016,1.3,ppm,15.0,47.597222,-122.319722,ppb,40.0,both,,,,,,,,,
2,Seattle-10th & Weller,1/3/2016,1.0,ppm,11.0,47.597222,-122.319722,ppb,38.0,both,,,,,,,,,
3,Seattle-10th & Weller,1/4/2016,0.7,ppm,8.0,47.597222,-122.319722,ppb,29.0,both,,,,,,,,,
4,Seattle-10th & Weller,1/5/2016,1.1,ppm,13.0,47.597222,-122.319722,ppb,39.0,both,,,,,,,,,
5,Seattle-10th & Weller,1/6/2016,1.2,ppm,14.0,47.597222,-122.319722,ppb,58.0,both,,,,,,,,,
6,Seattle-10th & Weller,1/7/2016,1.1,ppm,13.0,47.597222,-122.319722,ppb,34.0,both,,,,,,,,,
7,Seattle-10th & Weller,1/8/2016,1.6,ppm,18.0,47.597222,-122.319722,ppb,31.0,both,,,,,,,,,
8,Seattle-10th & Weller,1/9/2016,1.6,ppm,18.0,47.597222,-122.319722,ppb,38.0,both,,,,,,,,,
9,Seattle-10th & Weller,1/10/2016,1.1,ppm,13.0,47.597222,-122.319722,ppb,35.0,both,,,,,,,,,
10,Seattle-10th & Weller,1/11/2016,0.9,ppm,10.0,47.597222,-122.319722,ppb,49.0,both,,,,,,,,,
11,Seattle-10th & Weller,1/12/2016,0.6,ppm,7.0,47.597222,-122.319722,ppb,46.0,both,,,,,,,,,
12,Seattle-10th & Weller,1/13/2016,0.8,ppm,9.0,47.597222,-122.319722,ppb,46.0,both,,,,,,,,,
13,Seattle-10th & Weller,1/14/2016,0.9,ppm,10.0,47.597222,-122.319722,ppb,55.0,both,,,,,,,,,
14,Seattle-10th & Weller,1/15/2016,0.8,ppm,9.0,47.597222,-122.319722,ppb,36.0,both,,,,,,,,,
15,Seattle-10th & Weller,1/16/2016,0.6,ppm,7.0,47.597222,-122.319722,,,left_only,,,,,,,,,
16,Seattle-10th & Weller,1/19/2016,0.7,ppm,8.0,47.597222,-122.319722,,,left_only,,,,,,,,,
17,Seattle-10th & Weller,1/20/2016,0.7,ppm,8.0,47.597222,-122.319722,ppb,38.0,both,,,,,,,,,
18,Seattle-10th & Weller,1/21/2016,0.8,ppm,9.0,47.597222,-122.319722,ppb,49.0,both,,,,,,,,,
19,Seattle-10th & Weller,1/22/2016,0.7,ppm,8.0,47.597222,-122.319722,ppb,39.0,both,,,,,,,,,
20,Seattle-10th & Weller,1/23/2016,0.6,ppm,7.0,47.597222,-122.319722,,,left_only,,,,,,,,,
21,Seattle-10th & Weller,1/25/2016,1.1,ppm,13.0,47.597222,-122.319722,ppb,40.0,both,,,,,,,,,
22,Seattle-10th & Weller,1/26/2016,0.9,ppm,10.0,47.597222,-122.319722,ppb,36.0,both,,,,,,,,,
23,Seattle-10th & Weller,1/27/2016,0.9,ppm,10.0,47.597222,-122.319722,ppb,39.0,both,,,,,,,,,
24,Seattle-10th & Weller,1/28/2016,0.6,ppm,7.0,47.597222,-122.319722,ppb,44.0,both,,,,,,,,,
25,Seattle-10th & Weller,1/29/2016,0.6,ppm,7.0,47.597222,-122.319722,ppb,43.0,both,,,,,,,,,
26,Seattle-10th & Weller,1/30/2016,0.5,ppm,6.0,47.597222,-122.319722,ppb,27.0,both,,,,,,,,,
27,Seattle-10th & Weller,1/31/2016,0.7,ppm,8.0,47.597222,-122.319722,ppb,29.0,both,,,,,,,,,
28,Seattle-10th & Weller,2/1/2016,0.7,ppm,8.0,47.597222,-122.319722,ppb,39.0,both,,,,,,,,,
29,Seattle-10th & Weller,2/2/2016,0.9,ppm,10.0,47.597222,-122.319722,ppb,33.0,both,,,,,,,,,
30,Seattle-10th & Weller,2/3/2016,0.6,ppm,7.0,47.597222,-122.319722,ppb,30.0,both,,,,,,,,,
31,Seattle-10th & Weller,2/4/2016,0.7,ppm,8.0,47.597222,-122.319722,ppb,46.0,both,,,,,,,,,
32,Seattle-10th & Weller,2/5/2016,1.0,ppm,11.0,47.597222,-122.319722,ppb,42.0,both,,,,,,,,,
33,Seattle-10th & Weller,2/6/2016,0.3,ppm,3.0,47.597222,-122.319722,,,left_only,,,,,,,,,
34,Seattle-10th & Weller,2/8/2016,0.9,ppm,10.0,47.597222,-122.319722,,,left_only,,,,,,,,,
35,Seattle-10th & Weller,2/9/2016,1.3,ppm,15.0,47.597222,-122.319722,ppb,38.0,both,,,,,,,,,
36,Seattle-10th & Weller,2/10/2016,1.0,ppm,11.0,47.597222,-122.319722,ppb,37.0,both,,,,,,,,,
37,Seattle-10th & Weller,2/11/2016,1.2,ppm,14.0,47.597222,-122.319722,ppb,42.0,both,,,,,,,,,
38,Seattle-10th & Weller,2/12/2016,0.7,ppm,8.0,47.597222,-122.319722,ppb,42.0,both,,,,,,,,,
39,Seattle-10th & Weller,2/13/2016,0.6,ppm,7.0,47.597222,-122.319722,ppb,27.0,both,,,,,,,,,
40,Seattle-10th & Weller,2/14/2016,0.6,ppm,7.0,47.597222,-122.319722,ppb,25.0,both,,,,,,,,,
41,Seattle-10th & Weller,2/15/2016,0.6,ppm,7.0,47.597222,-122.319722,ppb,32.0,both,,,,,,,,,
