Date,Source,Site ID,POC,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2020,AQS,484531068,1,0.4,ppm,5,Austin North Interstate 35,19,79,42101,Carbon monoxide,12420,"Austin-Round Rock, TX",48,Texas,453,Travis,30.35386,-97.69166
1/2/2020,AQS,484531068,1,0.6,ppm,7,Austin North Interstate 35,24,100,42101,Carbon monoxide,12420,"Austin-Round Rock, TX",48,Texas,453,Travis,30.35386,-97.69166
1/3/2020,AQS,484531068,1,0.6,ppm,7,Austin North Interstate 35,24,100,42101,Carbon monoxide,12420,"Austin-Round Rock, TX",48,Texas,453,Travis,30.35386,-97.69166
1/4/2020,AQS,484531068,1,0.6,ppm,7,Austin North Interstate 35,24,100,42101,Carbon monoxide,12420,"Austin-Round Rock, TX",48,Texas,453,Travis,30.35386,-97.69166
1/5/2020,AQS,484531068,1,0.7,ppm,8,Austin North Interstate 35,24,100,42101,Carbon monoxide,12420,"Austin-Round Rock, TX",48,Texas,453,Travis,30.35386,-97.69166
1/6/2020,AQS,484531068,1,0.7,ppm,8,Austin North Interstate 35,24,100,42101,Carbon monoxide,12420,"Austin-Round Rock, TX",48,Texas,453,Travis,30.35386,-97.69166
1/7/2020,AQS,484531068,1,1.1,ppm,13,Austin North Interstate 35,24,100,42101,Carbon monoxide,12420,"Austin-Round Rock, TX",48,Texas,453,Travis,30.35386,-97.69166
1/8/2020,AQS,484531068,1,1.4,ppm,16,Austin North Interstate 35,24,100,42101,Carbon monoxide,12420,"Austin-Round Rock, TX",48,Texas,453,Travis,30.35386,-97.69166
1/9/2020,AQS,484531068,1,0.3,ppm,3,Austin North Interstate 35,24,100,42101,Carbon monoxide,12420,"Austin-Round Rock, TX",48,Texas,453,Travis,30.35386,-97.69166
1/10/2020,AQS,484531068,1,0.3,ppm,3,Austin North Interstate 35,24,100,42101,Carbon monoxide,12420,"Austin-Round Rock, TX",48,Texas,453,Travis,30.35386,-97.69166
1/11/2020,AQS,484531068,1,0.4,ppm,5,Austin North Interstate 35,24,100,42101,Carbon monoxide,12420,"Austin-Round Rock, TX",48,Texas,453,Travis,30.35386,-97.69166
1/12/2020,AQS,484531068,1,0.6,ppm,7,Austin North Interstate 35,24,100,42101,Carbon monoxide,12420,"Austin-Round Rock, TX",48,Texas,453,Travis,30.35386,-97.69166
