Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
5/16/2020,AQS,530330010,1,0.021,ppm,19,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),17,100,44201,Ozone,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.5525,-122.064722
5/17/2020,AQS,530330010,1,0.038,ppm,35,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),17,100,44201,Ozone,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.5525,-122.064722
5/18/2020,AQS,530330010,1,0.035,ppm,32,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),17,100,44201,Ozone,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.5525,-122.064722
5/19/2020,AQS,530330010,1,0.025,ppm,23,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),17,100,44201,Ozone,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.5525,-122.064722
5/20/2020,AQS,530330010,1,0.033,ppm,31,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),17,100,44201,Ozone,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.5525,-122.064722
5/21/2020,AQS,530330010,1,0.026,ppm,24,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),17,100,44201,Ozone,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.5525,-122.064722
5/22/2020,AQS,530330010,1,0.028,ppm,26,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),17,100,44201,Ozone,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.5525,-122.064722
5/23/2020,AQS,530330010,1,0.031,ppm,29,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),17,100,44201,Ozone,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.5525,-122.064722
5/24/2020,AQS,530330010,1,0.042,ppm,39,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),17,100,44201,Ozone,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.5525,-122.064722
5/25/2020,AQS,530330010,1,0.022,ppm,20,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),17,100,44201,Ozone,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.5525,-122.064722
