Date,Source,Site ID,POC,Daily Mean Pb Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/2/2018,AQS,60370002,4,0.0151,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/15/2018,AQS,60370002,4,0.00787,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/29/2018,AQS,60370002,4,0.0125,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/7/2018,AQS,60370002,4,0.0053,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/19/2018,AQS,60370002,4,0.00545,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
3/5/2018,AQS,60370002,4,0.00065,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
3/15/2018,AQS,60370002,4,0.00065,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
3/27/2018,AQS,60370002,4,0.00319,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/9/2018,AQS,60370002,4,0.00628,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/23/2018,AQS,60370002,4,0.00674,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
5/2/2018,AQS,60370002,4,0.00204,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
5/14/2018,AQS,60370002,4,0.00469,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
5/28/2018,AQS,60370002,4,0.00507,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
6/7/2018,AQS,60370002,4,0.00571,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
6/19/2018,AQS,60370002,4,0.00882,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
7/2/2018,AQS,60370002,4,0.00556,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
7/16/2018,AQS,60370002,4,0.00646,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
7/25/2018,AQS,60370002,4,0.00587,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
8/6/2018,AQS,60370002,4,0.00991,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
8/20/2018,AQS,60370002,4,0.00717,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
8/30/2018,AQS,60370002,4,0.00994,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
9/11/2018,AQS,60370002,4,0.00769,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
9/24/2018,AQS,60370002,4,0.00822,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
10/8/2018,AQS,60370002,4,0.00557,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
10/17/2018,AQS,60370002,4,0.00449,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
10/29/2018,AQS,60370002,4,0.0103,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
11/12/2018,AQS,60370002,4,0.00739,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
11/26/2018,AQS,60370002,4,0.00393,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
12/4/2018,AQS,60370002,4,0.00276,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
