Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/4/2020,AQS,60370002,2,25,ug/m3 SC,23,Azusa,1,100,81102,PM10 Total 0-10um STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/10/2020,AQS,60370002,2,20,ug/m3 SC,19,Azusa,1,100,81102,PM10 Total 0-10um STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/16/2020,AQS,60370002,2,32,ug/m3 SC,30,Azusa,1,100,81102,PM10 Total 0-10um STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/22/2020,AQS,60370002,2,21,ug/m3 SC,19,Azusa,1,100,81102,PM10 Total 0-10um STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/28/2020,AQS,60370002,2,23,ug/m3 SC,21,Azusa,1,100,81102,PM10 Total 0-10um STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/3/2020,AQS,60370002,2,25,ug/m3 SC,23,Azusa,1,100,81102,PM10 Total 0-10um STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/9/2020,AQS,60370002,2,18,ug/m3 SC,17,Azusa,1,100,81102,PM10 Total 0-10um STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/15/2020,AQS,60370002,2,32,ug/m3 SC,30,Azusa,1,100,81102,PM10 Total 0-10um STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/21/2020,AQS,60370002,2,27,ug/m3 SC,25,Azusa,1,100,81102,PM10 Total 0-10um STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/27/2020,AQS,60370002,2,19,ug/m3 SC,18,Azusa,1,100,81102,PM10 Total 0-10um STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
3/4/2020,AQS,60370002,2,35,ug/m3 SC,32,Azusa,1,100,81102,PM10 Total 0-10um STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
3/10/2020,AQS,60370002,2,5,ug/m3 SC,5,Azusa,1,100,81102,PM10 Total 0-10um STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
