Date,Source,Site ID,POC,Daily Max 1-hour SO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2020,AQS,60371103,9,1.1,ppb,1,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/2/2020,AQS,60371103,9,1.2,ppb,1,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/3/2020,AQS,60371103,9,0.9,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/4/2020,AQS,60371103,9,1.1,ppb,1,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/5/2020,AQS,60371103,9,0.9,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/6/2020,AQS,60371103,9,1.4,ppb,1,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/7/2020,AQS,60371103,9,1.1,ppb,1,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/8/2020,AQS,60371103,9,0.8,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/9/2020,AQS,60371103,9,0.7,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/10/2020,AQS,60371103,9,1,ppb,1,Los Angeles-North Main Street,18,75,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/11/2020,AQS,60371103,9,0.4,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/12/2020,AQS,60371103,9,0.2,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/13/2020,AQS,60371103,9,0.3,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/14/2020,AQS,60371103,9,0.3,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
2/17/2020,AQS,60371103,9,0.7,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
2/18/2020,AQS,60371103,9,0.4,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
2/19/2020,AQS,60371103,9,1,ppb,1,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
