,Site Name,Date,DMean PM10,PM10 Units,PM10 AQI,Lat,Lng,DMax NO2,NO2 Units,NO2 AQI,DMax Ozone,Ozone Units,Ozone AQI,DMax SO2,SO2 Units,SO2 AQI,DMax CO,CO Units,CO AQI
0,Cheyenne SLAMS site,1/1/2016,3.0,ug/m3 SC,3.0,41.13684585,-104.8182395,,,,,,,,,,,,
1,Cheyenne SLAMS site,1/1/2016,14.0,ug/m3 SC,13.0,41.13684585,-104.8182395,,,,,,,,,,,,
2,Cheyenne SLAMS site,1/7/2016,7.0,ug/m3 SC,6.0,41.13684585,-104.8182395,,,,,,,,,,,,
3,Cheyenne SLAMS site,1/13/2016,3.0,ug/m3 SC,3.0,41.13684585,-104.8182395,,,,,,,,,,,,
4,Cheyenne SLAMS site,1/13/2016,3.0,ug/m3 SC,3.0,41.13684585,-104.8182395,,,,,,,,,,,,
5,Cheyenne SLAMS site,1/19/2016,3.0,ug/m3 SC,3.0,41.13684585,-104.8182395,,,,,,,,,,,,
6,Cheyenne SLAMS site,1/25/2016,2.0,ug/m3 SC,2.0,41.13684585,-104.8182395,,,,,,,,,,,,
7,Cheyenne SLAMS site,1/25/2016,2.0,ug/m3 SC,2.0,41.13684585,-104.8182395,,,,,,,,,,,,
8,Cheyenne SLAMS site,1/31/2016,2.0,ug/m3 SC,2.0,41.13684585,-104.8182395,,,,,,,,,,,,
9,Cheyenne SLAMS site,2/6/2016,4.0,ug/m3 SC,4.0,41.13684585,-104.8182395,,,,,,,,,,,,
10,Cheyenne SLAMS site,2/6/2016,6.0,ug/m3 SC,6.0,41.13684585,-104.8182395,,,,,,,,,,,,
11,Cheyenne SLAMS site,2/12/2016,16.0,ug/m3 SC,15.0,41.13684585,-104.8182395,,,,,,,,,,,,
12,Cheyenne SLAMS site,2/18/2016,12.0,ug/m3 SC,11.0,41.13684585,-104.8182395,,,,,,,,,,,,
13,Cheyenne SLAMS site,2/18/2016,15.0,ug/m3 SC,14.0,41.13684585,-104.8182395,,,,,,,,,,,,
14,Cheyenne SLAMS site,2/24/2016,6.0,ug/m3 SC,6.0,41.13684585,-104.8182395,,,,,,,,,,,,
15,Cheyenne SLAMS site,3/1/2016,4.0,ug/m3 SC,4.0,41.13684585,-104.8182395,,,,,,,,,,,,
