,Site Name,Date,DMean PM10,PM10 Units,PM10 AQI,Lat,Lng,DMax NO2,NO2 Units,NO2 AQI,DMax Ozone,Ozone Units,Ozone AQI,DMax SO2,SO2 Units,SO2 AQI,DMax CO,CO Units,CO AQI
0,Cheyenne SLAMS site,1/4/2020,3.0,ug/m3 SC,3.0,41.13684585,-104.8182395,,,,,,,,,,,,
1,Cheyenne SLAMS site,1/4/2020,3.0,ug/m3 SC,3.0,41.13684585,-104.8182395,,,,,,,,,,,,
2,Cheyenne SLAMS site,1/10/2020,6.0,ug/m3 SC,6.0,41.13684585,-104.8182395,,,,,,,,,,,,
3,Cheyenne SLAMS site,1/16/2020,27.0,ug/m3 SC,25.0,41.13684585,-104.8182395,,,,,,,,,,,,
4,Cheyenne SLAMS site,1/16/2020,22.0,ug/m3 SC,20.0,41.13684585,-104.8182395,,,,,,,,,,,,
5,Cheyenne SLAMS site,1/22/2020,6.0,ug/m3 SC,6.0,41.13684585,-104.8182395,,,,,,,,,,,,
6,Cheyenne SLAMS site,1/28/2020,3.0,ug/m3 SC,3.0,41.13684585,-104.8182395,,,,,,,,,,,,
7,Cheyenne SLAMS site,1/28/2020,3.0,ug/m3 SC,3.0,41.13684585,-104.8182395,,,,,,,,,,,,
8,Cheyenne SLAMS site,2/3/2020,7.0,ug/m3 SC,6.0,41.13684585,-104.8182395,,,,,,,,,,,,
9,Cheyenne SLAMS site,2/9/2020,2.0,ug/m3 SC,2.0,41.13684585,-104.8182395,,,,,,,,,,,,
10,Cheyenne SLAMS site,2/9/2020,3.0,ug/m3 SC,3.0,41.13684585,-104.8182395,,,,,,,,,,,,
11,Cheyenne SLAMS site,2/15/2020,5.0,ug/m3 SC,5.0,41.13684585,-104.8182395,,,,,,,,,,,,
12,Cheyenne SLAMS site,2/21/2020,10.0,ug/m3 SC,9.0,41.13684585,-104.8182395,,,,,,,,,,,,
13,Cheyenne SLAMS site,2/21/2020,10.0,ug/m3 SC,9.0,41.13684585,-104.8182395,,,,,,,,,,,,
14,Cheyenne SLAMS site,2/27/2020,4.0,ug/m3 SC,4.0,41.13684585,-104.8182395,,,,,,,,,,,,
15,Cheyenne SLAMS site,3/4/2020,4.0,ug/m3 SC,4.0,41.13684585,-104.8182395,,,,,,,,,,,,
16,Cheyenne SLAMS site,3/4/2020,6.0,ug/m3 SC,6.0,41.13684585,-104.8182395,,,,,,,,,,,,
17,Cheyenne SLAMS site,3/10/2020,5.0,ug/m3 SC,5.0,41.13684585,-104.8182395,,,,,,,,,,,,
18,Cheyenne SLAMS site,3/16/2020,6.0,ug/m3 SC,6.0,41.13684585,-104.8182395,,,,,,,,,,,,
19,Cheyenne SLAMS site,3/16/2020,6.0,ug/m3 SC,6.0,41.13684585,-104.8182395,,,,,,,,,,,,
20,Cheyenne SLAMS site,3/22/2020,4.0,ug/m3 SC,4.0,41.13684585,-104.8182395,,,,,,,,,,,,
21,Cheyenne SLAMS site,3/28/2020,8.0,ug/m3 SC,7.0,41.13684585,-104.8182395,,,,,,,,,,,,
22,Cheyenne SLAMS site,3/28/2020,5.0,ug/m3 SC,5.0,41.13684585,-104.8182395,,,,,,,,,,,,
23,Cheyenne SLAMS site,4/3/2020,10.0,ug/m3 SC,9.0,41.13684585,-104.8182395,,,,,,,,,,,,
24,Cheyenne SLAMS site,4/9/2020,14.0,ug/m3 SC,13.0,41.13684585,-104.8182395,,,,,,,,,,,,
25,Cheyenne SLAMS site,4/9/2020,15.0,ug/m3 SC,14.0,41.13684585,-104.8182395,,,,,,,,,,,,
26,Cheyenne SLAMS site,4/15/2020,8.0,ug/m3 SC,7.0,41.13684585,-104.8182395,,,,,,,,,,,,
27,Cheyenne SLAMS site,4/21/2020,11.0,ug/m3 SC,10.0,41.13684585,-104.8182395,,,,,,,,,,,,
28,Cheyenne SLAMS site,4/21/2020,11.0,ug/m3 SC,10.0,41.13684585,-104.8182395,,,,,,,,,,,,
29,Cheyenne SLAMS site,4/27/2020,9.0,ug/m3 SC,8.0,41.13684585,-104.8182395,,,,,,,,,,,,
30,Cheyenne SLAMS site,5/3/2020,6.0,ug/m3 SC,6.0,41.13684585,-104.8182395,,,,,,,,,,,,
31,Cheyenne SLAMS site,5/3/2020,6.0,ug/m3 SC,6.0,41.13684585,-104.8182395,,,,,,,,,,,,
32,Cheyenne SLAMS site,5/9/2020,4.0,ug/m3 SC,4.0,41.13684585,-104.8182395,,,,,,,,,,,,
33,Cheyenne SLAMS site,5/15/2020,5.0,ug/m3 SC,5.0,41.13684585,-104.8182395,,,,,,,,,,,,
34,Cheyenne SLAMS site,5/15/2020,5.0,ug/m3 SC,5.0,41.13684585,-104.8182395,,,,,,,,,,,,
35,Cheyenne SLAMS site,5/21/2020,8.0,ug/m3 SC,7.0,41.13684585,-104.8182395,,,,,,,,,,,,
36,Cheyenne SLAMS site,5/27/2020,7.0,ug/m3 SC,6.0,41.13684585,-104.8182395,,,,,,,,,,,,
37,Cheyenne SLAMS site,5/27/2020,6.0,ug/m3 SC,6.0,41.13684585,-104.8182395,,,,,,,,,,,,
38,Cheyenne SLAMS site,6/2/2020,14.0,ug/m3 SC,13.0,41.13684585,-104.8182395,,,,,,,,,,,,
39,Cheyenne SLAMS site,6/8/2020,10.0,ug/m3 SC,9.0,41.13684585,-104.8182395,,,,,,,,,,,,
40,Cheyenne SLAMS site,6/8/2020,10.0,ug/m3 SC,9.0,41.13684585,-104.8182395,,,,,,,,,,,,
41,Cheyenne SLAMS site,6/14/2020,11.0,ug/m3 SC,10.0,41.13684585,-104.8182395,,,,,,,,,,,,
42,Cheyenne SLAMS site,6/26/2020,8.0,ug/m3 SC,7.0,41.13684585,-104.8182395,,,,,,,,,,,,
43,Cheyenne SLAMS site,6/20/2020,7.0,ug/m3 SC,6.0,41.13684585,-104.8182395,,,,,,,,,,,,
44,Cheyenne SLAMS site,1/1/2020,5.0,ug/m3 SC,5.0,41.13684585,-104.8182395,,,,,,,,,,,,
45,Cheyenne SLAMS site,1/7/2020,9.0,ug/m3 SC,8.0,41.13684585,-104.8182395,,,,,,,,,,,,
46,Cheyenne SLAMS site,1/13/2020,8.0,ug/m3 SC,7.0,41.13684585,-104.8182395,,,,,,,,,,,,
47,Cheyenne SLAMS site,1/19/2020,5.0,ug/m3 SC,5.0,41.13684585,-104.8182395,,,,,,,,,,,,
48,Cheyenne SLAMS site,1/25/2020,3.0,ug/m3 SC,3.0,41.13684585,-104.8182395,,,,,,,,,,,,
49,Cheyenne SLAMS site,1/31/2020,4.0,ug/m3 SC,4.0,41.13684585,-104.8182395,,,,,,,,,,,,
50,Cheyenne SLAMS site,2/6/2020,4.0,ug/m3 SC,4.0,41.13684585,-104.8182395,,,,,,,,,,,,
51,Cheyenne SLAMS site,2/12/2020,4.0,ug/m3 SC,4.0,41.13684585,-104.8182395,,,,,,,,,,,,
52,Cheyenne SLAMS site,2/18/2020,6.0,ug/m3 SC,6.0,41.13684585,-104.8182395,,,,,,,,,,,,
53,Cheyenne SLAMS site,2/24/2020,6.0,ug/m3 SC,6.0,41.13684585,-104.8182395,,,,,,,,,,,,
54,Cheyenne SLAMS site,3/1/2020,4.0,ug/m3 SC,4.0,41.13684585,-104.8182395,,,,,,,,,,,,
55,Cheyenne SLAMS site,3/7/2020,12.0,ug/m3 SC,11.0,41.13684585,-104.8182395,,,,,,,,,,,,
56,Cheyenne SLAMS site,3/13/2020,6.0,ug/m3 SC,6.0,41.13684585,-104.8182395,,,,,,,,,,,,
57,Cheyenne SLAMS site,3/19/2020,3.0,ug/m3 SC,3.0,41.13684585,-104.8182395,,,,,,,,,,,,
58,Cheyenne SLAMS site,3/25/2020,7.0,ug/m3 SC,6.0,41.13684585,-104.8182395,,,,,,,,,,,,
59,Cheyenne SLAMS site,3/31/2020,11.0,ug/m3 SC,10.0,41.13684585,-104.8182395,,,,,,,,,,,,
60,Cheyenne SLAMS site,4/6/2020,10.0,ug/m3 SC,9.0,41.13684585,-104.8182395,,,,,,,,,,,,
61,Cheyenne SLAMS site,4/12/2020,4.0,ug/m3 SC,4.0,41.13684585,-104.8182395,,,,,,,,,,,,
62,Cheyenne SLAMS site,4/18/2020,5.0,ug/m3 SC,5.0,41.13684585,-104.8182395,,,,,,,,,,,,
63,Cheyenne SLAMS site,4/24/2020,2.0,ug/m3 SC,2.0,41.13684585,-104.8182395,,,,,,,,,,,,
64,Cheyenne SLAMS site,4/30/2020,15.0,ug/m3 SC,14.0,41.13684585,-104.8182395,,,,,,,,,,,,
