,Site Name,Date,DMean PM10,PM_UNITS,PM10 AQI,PM-WEIGHT,Lat,Lng,DMax NO2,NO2 Units,NO2 AQI,NO2-WEIGHT,DMax Ozone,Ozone Units,Ozone AQI,OZONE-WEIGHT,DMax SO2,SO2 Units,SO2 AQI,SO2-WEIGHT,DMax CO,CO Units,CO AQI,CO-WEIGHT
0,Cheyenne SLAMS site,1/1/2016,3.0,ug/m3 SC,3.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
1,Cheyenne SLAMS site,1/1/2016,14.0,ug/m3 SC,13.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
2,Cheyenne SLAMS site,1/7/2016,7.0,ug/m3 SC,6.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
3,Cheyenne SLAMS site,1/13/2016,3.0,ug/m3 SC,3.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
4,Cheyenne SLAMS site,1/13/2016,3.0,ug/m3 SC,3.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
5,Cheyenne SLAMS site,1/19/2016,3.0,ug/m3 SC,3.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
6,Cheyenne SLAMS site,1/25/2016,2.0,ug/m3 SC,2.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
7,Cheyenne SLAMS site,1/25/2016,2.0,ug/m3 SC,2.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
8,Cheyenne SLAMS site,1/31/2016,2.0,ug/m3 SC,2.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
9,Cheyenne SLAMS site,2/6/2016,4.0,ug/m3 SC,4.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
10,Cheyenne SLAMS site,2/6/2016,6.0,ug/m3 SC,6.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
11,Cheyenne SLAMS site,2/12/2016,16.0,ug/m3 SC,15.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
12,Cheyenne SLAMS site,2/18/2016,12.0,ug/m3 SC,11.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
13,Cheyenne SLAMS site,2/18/2016,15.0,ug/m3 SC,14.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
14,Cheyenne SLAMS site,2/24/2016,6.0,ug/m3 SC,6.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
15,Cheyenne SLAMS site,3/1/2016,4.0,ug/m3 SC,4.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
16,Cheyenne SLAMS site,3/1/2016,6.0,ug/m3 SC,6.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
17,Cheyenne SLAMS site,3/7/2016,8.0,ug/m3 SC,7.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
18,Cheyenne SLAMS site,3/13/2016,5.0,ug/m3 SC,5.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
19,Cheyenne SLAMS site,3/13/2016,9.0,ug/m3 SC,8.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
20,Cheyenne SLAMS site,3/19/2016,3.0,ug/m3 SC,3.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
21,Cheyenne SLAMS site,3/25/2016,3.0,ug/m3 SC,3.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
22,Cheyenne SLAMS site,3/25/2016,3.0,ug/m3 SC,3.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
23,Cheyenne SLAMS site,3/31/2016,3.0,ug/m3 SC,3.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
24,Cheyenne SLAMS site,4/6/2016,6.0,ug/m3 SC,6.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
25,Cheyenne SLAMS site,4/6/2016,6.0,ug/m3 SC,6.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
26,Cheyenne SLAMS site,4/12/2016,12.0,ug/m3 SC,11.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
27,Cheyenne SLAMS site,4/18/2016,3.0,ug/m3 SC,3.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
28,Cheyenne SLAMS site,4/18/2016,2.0,ug/m3 SC,2.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
29,Cheyenne SLAMS site,4/24/2016,3.0,ug/m3 SC,3.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
30,Cheyenne SLAMS site,4/30/2016,1.0,ug/m3 SC,1.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
31,Cheyenne SLAMS site,4/30/2016,2.0,ug/m3 SC,2.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
32,Cheyenne SLAMS site,5/6/2016,22.0,ug/m3 SC,20.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
33,Cheyenne SLAMS site,5/12/2016,10.0,ug/m3 SC,9.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
34,Cheyenne SLAMS site,5/12/2016,11.0,ug/m3 SC,10.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
35,Cheyenne SLAMS site,5/18/2016,6.0,ug/m3 SC,6.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
36,Cheyenne SLAMS site,5/24/2016,15.0,ug/m3 SC,14.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
37,Cheyenne SLAMS site,5/24/2016,15.0,ug/m3 SC,14.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
38,Cheyenne SLAMS site,5/30/2016,28.0,ug/m3 SC,26.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
39,Cheyenne SLAMS site,6/5/2016,11.0,ug/m3 SC,10.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
40,Cheyenne SLAMS site,6/5/2016,11.0,ug/m3 SC,10.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
41,Cheyenne SLAMS site,6/11/2016,17.0,ug/m3 SC,16.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
42,Cheyenne SLAMS site,6/17/2016,23.0,ug/m3 SC,21.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
43,Cheyenne SLAMS site,6/17/2016,25.0,ug/m3 SC,23.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
44,Cheyenne SLAMS site,6/23/2016,15.0,ug/m3 SC,14.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
45,Cheyenne SLAMS site,6/29/2016,16.0,ug/m3 SC,15.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
46,Cheyenne SLAMS site,6/29/2016,18.0,ug/m3 SC,17.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
47,Cheyenne SLAMS site,7/5/2016,13.0,ug/m3 SC,12.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
48,Cheyenne SLAMS site,7/11/2016,14.0,ug/m3 SC,13.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
49,Cheyenne SLAMS site,7/11/2016,27.0,ug/m3 SC,25.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
50,Cheyenne SLAMS site,7/17/2016,16.0,ug/m3 SC,15.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
51,Cheyenne SLAMS site,7/23/2016,13.0,ug/m3 SC,12.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
52,Cheyenne SLAMS site,7/23/2016,13.0,ug/m3 SC,12.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
