,Site Name,Date,DMean PM10,PM_UNITS,PM10 AQI,PM-WEIGHT,Lat,Lng,DMax NO2,NO2 Units,NO2 AQI,NO2-WEIGHT,DMax Ozone,Ozone Units,Ozone AQI,OZONE-WEIGHT,DMax SO2,SO2 Units,SO2 AQI,SO2-WEIGHT,DMax CO,CO Units,CO AQI,CO-WEIGHT
430,Cheyenne NCore,1/2/2016,7.0,ug/m3 SC,6.0,1.0,41.18222711,-104.7783342,13.6,ppb,12.0,24.0,0.047,ppm,44.0,17.0,-0.2,ppb,0.0,24.0,0.1,ppm,1.0,24.0
431,Cheyenne NCore,1/3/2016,9.0,ug/m3 SC,8.0,1.0,41.18222711,-104.7783342,36.0,ppb,34.0,22.0,0.041,ppm,38.0,17.0,0.5,ppb,0.0,21.0,0.2,ppm,2.0,24.0
432,Cheyenne NCore,1/4/2016,14.0,ug/m3 SC,13.0,1.0,41.18222711,-104.7783342,39.5,ppb,37.0,24.0,0.035,ppm,32.0,17.0,1.2,ppb,1.0,24.0,0.2,ppm,2.0,24.0
433,Cheyenne NCore,1/5/2016,8.0,ug/m3 SC,7.0,1.0,41.18222711,-104.7783342,11.3,ppb,10.0,23.0,0.04,ppm,37.0,17.0,0.1,ppb,0.0,22.0,0.2,ppm,2.0,24.0
434,Cheyenne NCore,1/6/2016,8.0,ug/m3 SC,7.0,1.0,41.18222711,-104.7783342,25.4,ppb,24.0,24.0,0.039,ppm,36.0,17.0,0.3,ppb,0.0,24.0,0.2,ppm,2.0,24.0
435,Cheyenne NCore,1/7/2016,5.0,ug/m3 SC,5.0,1.0,41.18222711,-104.7783342,13.5,ppb,12.0,23.0,0.04,ppm,37.0,17.0,0.2,ppb,0.0,22.0,0.2,ppm,2.0,24.0
436,Cheyenne NCore,1/8/2016,9.0,ug/m3 SC,8.0,1.0,41.18222711,-104.7783342,14.1,ppb,13.0,24.0,0.027,ppm,25.0,17.0,2.3,ppb,3.0,24.0,0.2,ppm,2.0,24.0
437,Cheyenne NCore,1/9/2016,11.0,ug/m3 SC,10.0,1.0,41.18222711,-104.7783342,28.7,ppb,26.0,23.0,0.036,ppm,33.0,17.0,0.4,ppb,0.0,22.0,0.2,ppm,2.0,24.0
438,Cheyenne NCore,1/10/2016,6.0,ug/m3 SC,6.0,1.0,41.18222711,-104.7783342,8.5,ppb,8.0,23.0,0.043,ppm,40.0,17.0,0.0,ppb,0.0,23.0,0.2,ppm,2.0,24.0
439,Cheyenne NCore,1/11/2016,6.0,ug/m3 SC,6.0,1.0,41.18222711,-104.7783342,11.9,ppb,10.0,23.0,0.045,ppm,42.0,17.0,0.3,ppb,0.0,22.0,0.1,ppm,1.0,21.0
440,Cheyenne NCore,1/12/2016,6.0,ug/m3 SC,6.0,1.0,41.18222711,-104.7783342,8.3,ppb,8.0,24.0,0.046,ppm,43.0,17.0,0.0,ppb,0.0,23.0,0.1,ppm,1.0,24.0
441,Cheyenne NCore,1/13/2016,5.0,ug/m3 SC,5.0,1.0,41.18222711,-104.7783342,8.4,ppb,8.0,23.0,0.046,ppm,43.0,17.0,-0.1,ppb,0.0,22.0,0.1,ppm,1.0,24.0
442,Cheyenne NCore,1/14/2016,4.0,ug/m3 SC,4.0,1.0,41.18222711,-104.7783342,3.1,ppb,3.0,24.0,0.044,ppm,41.0,17.0,0.0,ppb,0.0,24.0,0.1,ppm,1.0,24.0
443,Cheyenne NCore,1/15/2016,2.0,ug/m3 SC,2.0,1.0,41.18222711,-104.7783342,4.5,ppb,4.0,23.0,0.043,ppm,40.0,17.0,0.1,ppb,0.0,22.0,0.1,ppm,1.0,24.0
444,Cheyenne NCore,1/16/2016,3.0,ug/m3 SC,3.0,1.0,41.18222711,-104.7783342,3.3,ppb,3.0,24.0,0.044,ppm,41.0,17.0,0.0,ppb,0.0,24.0,0.1,ppm,1.0,24.0
445,Cheyenne NCore,1/17/2016,5.0,ug/m3 SC,5.0,1.0,41.18222711,-104.7783342,14.3,ppb,13.0,22.0,0.045,ppm,42.0,17.0,0.0,ppb,0.0,21.0,0.1,ppm,1.0,24.0
446,Cheyenne NCore,1/18/2016,4.0,ug/m3 SC,4.0,1.0,41.18222711,-104.7783342,3.9,ppb,3.0,24.0,0.043,ppm,40.0,17.0,-0.1,ppb,0.0,24.0,0.1,ppm,1.0,24.0
447,Cheyenne NCore,1/19/2016,5.0,ug/m3 SC,5.0,1.0,41.18222711,-104.7783342,25.5,ppb,24.0,23.0,0.041,ppm,38.0,17.0,0.2,ppb,0.0,22.0,0.1,ppm,1.0,24.0
448,Cheyenne NCore,1/20/2016,3.0,ug/m3 SC,3.0,1.0,41.18222711,-104.7783342,8.7,ppb,8.0,23.0,0.044,ppm,41.0,17.0,0.0,ppb,0.0,23.0,0.1,ppm,1.0,24.0
449,Cheyenne NCore,1/21/2016,4.0,ug/m3 SC,4.0,1.0,41.18222711,-104.7783342,5.5,ppb,5.0,22.0,0.043,ppm,40.0,17.0,0.0,ppb,0.0,21.0,0.1,ppm,1.0,24.0
450,Cheyenne NCore,1/22/2016,9.0,ug/m3 SC,8.0,1.0,41.18222711,-104.7783342,33.6,ppb,31.0,24.0,0.04,ppm,37.0,17.0,5.0,ppb,7.0,24.0,0.2,ppm,2.0,24.0
