,Site Name,Date,DMean PM10,PM10 Units,PM10 AQI,Lat,Lng,DMax NO2,NO2 Units,NO2 AQI,DMax Ozone,Ozone Units,Ozone AQI,DMax SO2,SO2 Units,SO2 AQI,DMax CO,CO Units,CO AQI
0,Ivanhoe,1/2/2018,14.0,ug/m3 SC,13.0,31.785769000000002,-106.323578,,,,0.03,ppm,28.0,,,,,,
1,Ivanhoe,1/8/2018,25.0,ug/m3 SC,23.0,31.785769000000002,-106.323578,,,,0.031,ppm,29.0,,,,,,
2,Ivanhoe,1/14/2018,15.0,ug/m3 SC,14.0,31.785769000000002,-106.323578,,,,0.038,ppm,35.0,,,,,,
3,Ivanhoe,1/20/2018,34.0,ug/m3 SC,31.0,31.785769000000002,-106.323578,,,,0.034,ppm,31.0,,,,,,
4,Ivanhoe,1/26/2018,21.0,ug/m3 SC,19.0,31.785769000000002,-106.323578,,,,,,,,,,,,
5,Ivanhoe,2/1/2018,24.0,ug/m3 SC,22.0,31.785769000000002,-106.323578,,,,0.032,ppm,30.0,,,,,,
6,Ivanhoe,2/7/2018,24.0,ug/m3 SC,22.0,31.785769000000002,-106.323578,,,,0.043,ppm,40.0,,,,,,
7,Ivanhoe,2/13/2018,23.0,ug/m3 SC,21.0,31.785769000000002,-106.323578,,,,0.03,ppm,28.0,,,,,,
8,Ivanhoe,2/19/2018,18.0,ug/m3 SC,17.0,31.785769000000002,-106.323578,,,,0.033,ppm,31.0,,,,,,
9,Ivanhoe,2/25/2018,10.0,ug/m3 SC,9.0,31.785769000000002,-106.323578,,,,0.051,ppm,47.0,,,,,,
10,Ivanhoe,3/3/2018,23.0,ug/m3 SC,21.0,31.785769000000002,-106.323578,,,,0.043,ppm,40.0,,,,,,
11,Ivanhoe,3/9/2018,13.0,ug/m3 SC,12.0,31.785769000000002,-106.323578,,,,0.044000000000000004,ppm,41.0,,,,,,
12,Ivanhoe,3/15/2018,56.0,ug/m3 SC,51.0,31.785769000000002,-106.323578,,,,0.045,ppm,42.0,,,,,,
13,Ivanhoe,3/21/2018,24.0,ug/m3 SC,22.0,31.785769000000002,-106.323578,,,,,,,,,,,,
14,Ivanhoe,3/27/2018,8.0,ug/m3 SC,7.0,31.785769000000002,-106.323578,,,,0.05,ppm,46.0,,,,,,
15,Ivanhoe,4/2/2018,15.0,ug/m3 SC,14.0,31.785769000000002,-106.323578,,,,0.05,ppm,46.0,,,,,,
16,Ivanhoe,4/8/2018,22.0,ug/m3 SC,20.0,31.785769000000002,-106.323578,,,,0.05,ppm,46.0,,,,,,
17,Ivanhoe,4/14/2018,13.0,ug/m3 SC,12.0,31.785769000000002,-106.323578,,,,0.052000000000000005,ppm,48.0,,,,,,
18,Ivanhoe,4/20/2018,31.0,ug/m3 SC,29.0,31.785769000000002,-106.323578,,,,0.063,ppm,77.0,,,,,,
