,Site Name,Date,DMean PM10,PM10 Units,PM10 AQI,Lat,Lng,DMax NO2,NO2 Units,NO2 AQI,DMax Ozone,Ozone Units,Ozone AQI,DMax SO2,SO2 Units,SO2 AQI,DMax CO,CO Units,CO AQI
0,SEATTLE - BEACON HILL,1/1/2020,4.0,ug/m3 SC,4.0,47.568236,-122.308628,6.0,ppb,6.0,0.037,ppm,34.0,0.6,ppb,0.0,0.1,ppm,1.0
1,SEATTLE - BEACON HILL,1/4/2020,7.0,ug/m3 SC,6.0,47.568236,-122.308628,10.9,ppb,9.0,0.034,ppm,31.0,,,,0.2,ppm,2.0
2,SEATTLE - BEACON HILL,1/7/2020,2.0,ug/m3 SC,2.0,47.568236,-122.308628,23.1,ppb,22.0,0.034,ppm,31.0,0.6,ppb,0.0,0.2,ppm,2.0
3,SEATTLE - BEACON HILL,1/10/2020,2.0,ug/m3 SC,2.0,47.568236,-122.308628,17.0,ppb,16.0,0.032,ppm,30.0,0.5,ppb,0.0,0.3,ppm,3.0
4,SEATTLE - BEACON HILL,1/13/2020,7.0,ug/m3 SC,6.0,47.568236,-122.308628,20.1,ppb,19.0,0.026,ppm,24.0,0.5,ppb,0.0,0.2,ppm,2.0
5,SEATTLE - BEACON HILL,1/16/2020,7.0,ug/m3 SC,6.0,47.568236,-122.308628,22.1,ppb,21.0,0.029,ppm,27.0,0.5,ppb,0.0,0.3,ppm,3.0
6,SEATTLE - BEACON HILL,1/19/2020,4.0,ug/m3 SC,4.0,47.568236,-122.308628,28.4,ppb,26.0,0.031,ppm,29.0,0.8,ppb,0.0,0.3,ppm,3.0
7,SEATTLE - BEACON HILL,1/22/2020,3.0,ug/m3 SC,3.0,47.568236,-122.308628,20.7,ppb,19.0,0.019,ppm,18.0,0.5,ppb,0.0,0.3,ppm,3.0
8,SEATTLE - BEACON HILL,1/25/2020,3.0,ug/m3 SC,3.0,47.568236,-122.308628,13.1,ppb,12.0,0.021,ppm,19.0,0.4,ppb,0.0,0.2,ppm,2.0
9,SEATTLE - BEACON HILL,1/28/2020,4.0,ug/m3 SC,4.0,47.568236,-122.308628,20.7,ppb,19.0,0.024,ppm,22.0,0.6,ppb,0.0,0.3,ppm,3.0
10,SEATTLE - BEACON HILL,1/31/2020,2.0,ug/m3 SC,2.0,47.568236,-122.308628,13.2,ppb,12.0,0.034,ppm,31.0,0.5,ppb,0.0,0.3,ppm,3.0
11,SEATTLE - BEACON HILL,2/3/2020,6.0,ug/m3 SC,6.0,47.568236,-122.308628,22.9,ppb,21.0,0.03,ppm,28.0,0.6,ppb,0.0,0.3,ppm,3.0
12,SEATTLE - BEACON HILL,2/6/2020,3.0,ug/m3 SC,3.0,47.568236,-122.308628,35.3,ppb,33.0,0.02,ppm,19.0,0.9,ppb,0.0,0.3,ppm,3.0
13,SEATTLE - BEACON HILL,2/9/2020,9.0,ug/m3 SC,8.0,47.568236,-122.308628,20.8,ppb,19.0,0.021,ppm,19.0,2.1,ppb,3.0,0.3,ppm,3.0
14,SEATTLE - BEACON HILL,2/12/2020,10.0,ug/m3 SC,9.0,47.568236,-122.308628,33.5,ppb,31.0,0.012,ppm,11.0,,,,0.4,ppm,5.0
15,SEATTLE - BEACON HILL,2/15/2020,3.0,ug/m3 SC,3.0,47.568236,-122.308628,14.5,ppb,13.0,0.033,ppm,31.0,0.5,ppb,0.0,0.2,ppm,2.0
16,SEATTLE - BEACON HILL,2/18/2020,6.0,ug/m3 SC,6.0,47.568236,-122.308628,16.3,ppb,15.0,0.026,ppm,24.0,0.5,ppb,0.0,0.3,ppm,3.0
17,SEATTLE - BEACON HILL,2/21/2020,10.0,ug/m3 SC,9.0,47.568236,-122.308628,25.3,ppb,24.0,0.028,ppm,26.0,1.9,ppb,1.0,0.3,ppm,3.0
18,SEATTLE - BEACON HILL,2/24/2020,14.0,ug/m3 SC,13.0,47.568236,-122.308628,15.2,ppb,14.0,0.036,ppm,33.0,0.4,ppb,0.0,0.2,ppm,2.0
19,SEATTLE - BEACON HILL,2/27/2020,10.0,ug/m3 SC,9.0,47.568236,-122.308628,34.6,ppb,32.0,0.022,ppm,20.0,1.4,ppb,1.0,0.3,ppm,3.0
20,SEATTLE - BEACON HILL,3/1/2020,8.0,ug/m3 SC,7.0,47.568236,-122.308628,12.2,ppb,11.0,0.032,ppm,30.0,0.7,ppb,0.0,0.2,ppm,2.0
21,SEATTLE - BEACON HILL,3/4/2020,15.0,ug/m3 SC,14.0,47.568236,-122.308628,19.7,ppb,18.0,0.034,ppm,31.0,1.0,ppb,1.0,0.3,ppm,3.0
22,SEATTLE - BEACON HILL,8/7/2020,11.0,ug/m3 SC,10.0,47.568236,-122.308628,17.7,ppb,16.0,0.031,ppm,29.0,1.0,ppb,1.0,0.2,ppm,2.0
23,SEATTLE - BEACON HILL,8/10/2020,11.0,ug/m3 SC,10.0,47.568236,-122.308628,23.6,ppb,22.0,0.029,ppm,27.0,1.6,ppb,1.0,0.2,ppm,2.0
24,SEATTLE - BEACON HILL,8/13/2020,11.0,ug/m3 SC,10.0,47.568236,-122.308628,12.5,ppb,11.0,0.039,ppm,36.0,1.0,ppb,1.0,0.2,ppm,2.0
25,SEATTLE - BEACON HILL,8/16/2020,16.0,ug/m3 SC,15.0,47.568236,-122.308628,28.0,ppb,26.0,0.051,ppm,47.0,4.3,ppb,6.0,0.3,ppm,3.0
26,SEATTLE - BEACON HILL,8/19/2020,10.0,ug/m3 SC,9.0,47.568236,-122.308628,28.1,ppb,26.0,0.03,ppm,28.0,1.6,ppb,1.0,0.2,ppm,2.0
27,SEATTLE - BEACON HILL,8/22/2020,8.0,ug/m3 SC,7.0,47.568236,-122.308628,6.1,ppb,6.0,0.033,ppm,31.0,0.9,ppb,0.0,0.2,ppm,2.0
28,SEATTLE - BEACON HILL,8/25/2020,11.0,ug/m3 SC,10.0,47.568236,-122.308628,20.8,ppb,19.0,0.027,ppm,25.0,1.7,ppb,1.0,0.2,ppm,2.0
29,SEATTLE - BEACON HILL,8/28/2020,7.0,ug/m3 SC,6.0,47.568236,-122.308628,8.9,ppb,8.0,0.027,ppm,25.0,0.9,ppb,0.0,0.2,ppm,2.0
30,SEATTLE - BEACON HILL,8/31/2020,6.0,ug/m3 SC,6.0,47.568236,-122.308628,26.5,ppb,25.0,0.029,ppm,27.0,1.0,ppb,1.0,0.2,ppm,2.0
31,SEATTLE - BEACON HILL,9/3/2020,9.0,ug/m3 SC,8.0,47.568236,-122.308628,19.0,ppb,18.0,0.028,ppm,26.0,1.7,ppb,1.0,0.2,ppm,2.0
32,SEATTLE - BEACON HILL,9/6/2020,12.0,ug/m3 SC,11.0,47.568236,-122.308628,39.0,ppb,37.0,0.027,ppm,25.0,1.4,ppb,1.0,0.3,ppm,3.0
33,SEATTLE - BEACON HILL,9/9/2020,38.0,ug/m3 SC,35.0,47.568236,-122.308628,34.5,ppb,32.0,0.057,ppm,58.0,1.5,ppb,1.0,0.4,ppm,5.0
34,SEATTLE - BEACON HILL,9/18/2020,46.0,ug/m3 SC,43.0,47.568236,-122.308628,24.9,ppb,23.0,0.014,ppm,13.0,1.5,ppb,1.0,0.8,ppm,9.0
35,SEATTLE - BEACON HILL,9/21/2020,10.0,ug/m3 SC,9.0,47.568236,-122.308628,23.9,ppb,22.0,0.021,ppm,19.0,2.9,ppb,3.0,0.5,ppm,6.0
36,SEATTLE - BEACON HILL,9/24/2020,8.0,ug/m3 SC,7.0,47.568236,-122.308628,12.3,ppb,11.0,0.026,ppm,24.0,0.9,ppb,0.0,0.2,ppm,2.0
37,SEATTLE - BEACON HILL,9/27/2020,7.0,ug/m3 SC,6.0,47.568236,-122.308628,12.0,ppb,11.0,0.029,ppm,27.0,0.9,ppb,0.0,0.2,ppm,2.0
38,SEATTLE - BEACON HILL,9/30/2020,19.0,ug/m3 SC,18.0,47.568236,-122.308628,38.3,ppb,36.0,0.002,ppm,2.0,4.7,ppb,6.0,0.5,ppm,6.0
39,SEATTLE - BEACON HILL,10/3/2020,15.0,ug/m3 SC,14.0,47.568236,-122.308628,23.3,ppb,22.0,0.01,ppm,9.0,2.2,ppb,3.0,0.4,ppm,5.0
40,SEATTLE - BEACON HILL,10/6/2020,13.0,ug/m3 SC,12.0,47.568236,-122.308628,15.6,ppb,14.0,0.017,ppm,16.0,1.6,ppb,1.0,0.3,ppm,3.0
41,SEATTLE - BEACON HILL,10/9/2020,8.0,ug/m3 SC,7.0,47.568236,-122.308628,15.6,ppb,14.0,0.023,ppm,21.0,1.3,ppb,1.0,0.2,ppm,2.0
42,SEATTLE - BEACON HILL,10/12/2020,8.0,ug/m3 SC,7.0,47.568236,-122.308628,16.8,ppb,15.0,0.031,ppm,29.0,1.1,ppb,1.0,0.2,ppm,2.0
43,SEATTLE - BEACON HILL,10/15/2020,12.0,ug/m3 SC,11.0,47.568236,-122.308628,33.3,ppb,31.0,0.023,ppm,21.0,1.2,ppb,1.0,0.3,ppm,3.0
44,SEATTLE - BEACON HILL,10/18/2020,5.0,ug/m3 SC,5.0,47.568236,-122.308628,14.6,ppb,13.0,0.026,ppm,24.0,1.3,ppb,1.0,0.3,ppm,3.0
45,SEATTLE - BEACON HILL,10/21/2020,9.0,ug/m3 SC,8.0,47.568236,-122.308628,18.4,ppb,17.0,0.026,ppm,24.0,1.1,ppb,1.0,0.3,ppm,3.0
46,SEATTLE - BEACON HILL,10/24/2020,9.0,ug/m3 SC,8.0,47.568236,-122.308628,9.8,ppb,8.0,0.028,ppm,26.0,0.9,ppb,0.0,0.2,ppm,2.0
47,SEATTLE - BEACON HILL,10/27/2020,13.0,ug/m3 SC,12.0,47.568236,-122.308628,23.2,ppb,22.0,0.017,ppm,16.0,2.0,ppb,3.0,0.4,ppm,5.0
48,SEATTLE - BEACON HILL,10/30/2020,12.0,ug/m3 SC,11.0,47.568236,-122.308628,11.5,ppb,10.0,0.032,ppm,30.0,,,,0.3,ppm,3.0
49,SEATTLE - BEACON HILL,11/2/2020,17.0,ug/m3 SC,16.0,47.568236,-122.308628,31.2,ppb,29.0,0.019,ppm,18.0,,,,0.5,ppm,6.0
50,SEATTLE - BEACON HILL,11/5/2020,8.0,ug/m3 SC,7.0,47.568236,-122.308628,27.5,ppb,25.0,0.029,ppm,27.0,,,,0.3,ppm,3.0
51,SEATTLE - BEACON HILL,11/8/2020,7.0,ug/m3 SC,6.0,47.568236,-122.308628,20.0,ppb,19.0,0.033,ppm,31.0,1.1,ppb,1.0,0.2,ppm,2.0
52,SEATTLE - BEACON HILL,11/11/2020,7.0,ug/m3 SC,6.0,47.568236,-122.308628,14.7,ppb,13.0,0.013,ppm,12.0,1.1,ppb,1.0,0.3,ppm,3.0
53,SEATTLE - BEACON HILL,11/14/2020,6.0,ug/m3 SC,6.0,47.568236,-122.308628,11.7,ppb,10.0,0.029,ppm,27.0,1.1,ppb,1.0,0.2,ppm,2.0
54,SEATTLE - BEACON HILL,11/17/2020,5.0,ug/m3 SC,5.0,47.568236,-122.308628,22.2,ppb,21.0,0.034,ppm,31.0,2.1,ppb,3.0,0.3,ppm,3.0
55,SEATTLE - BEACON HILL,11/20/2020,7.0,ug/m3 SC,6.0,47.568236,-122.308628,24.5,ppb,23.0,0.017,ppm,16.0,1.9,ppb,1.0,0.3,ppm,3.0
56,SEATTLE - BEACON HILL,11/23/2020,8.0,ug/m3 SC,7.0,47.568236,-122.308628,22.4,ppb,21.0,0.015,ppm,14.0,1.1,ppb,1.0,0.3,ppm,3.0
57,SEATTLE - BEACON HILL,11/26/2020,6.0,ug/m3 SC,6.0,47.568236,-122.308628,15.8,ppb,14.0,0.024,ppm,22.0,0.9,ppb,0.0,0.3,ppm,3.0
58,SEATTLE - BEACON HILL,11/29/2020,11.0,ug/m3 SC,10.0,47.568236,-122.308628,23.5,ppb,22.0,0.01,ppm,9.0,3.4,ppb,4.0,0.5,ppm,6.0
59,SEATTLE - BEACON HILL,12/2/2020,10.0,ug/m3 SC,9.0,47.568236,-122.308628,35.2,ppb,33.0,0.012,ppm,11.0,3.8,ppb,4.0,0.4,ppm,5.0
60,SEATTLE - BEACON HILL,12/5/2020,13.0,ug/m3 SC,12.0,47.568236,-122.308628,23.5,ppb,22.0,0.027,ppm,25.0,2.0,ppb,3.0,0.5,ppm,6.0
61,SEATTLE - BEACON HILL,12/8/2020,4.0,ug/m3 SC,4.0,47.568236,-122.308628,20.0,ppb,19.0,0.029,ppm,27.0,1.6,ppb,1.0,0.2,ppm,2.0
62,SEATTLE - BEACON HILL,12/11/2020,9.0,ug/m3 SC,8.0,47.568236,-122.308628,34.7,ppb,32.0,,,,1.5,ppb,1.0,0.3,ppm,3.0
63,SEATTLE - BEACON HILL,12/14/2020,8.0,ug/m3 SC,7.0,47.568236,-122.308628,27.1,ppb,25.0,0.025,ppm,23.0,1.3,ppb,1.0,0.3,ppm,3.0
64,SEATTLE - BEACON HILL,12/17/2020,6.0,ug/m3 SC,6.0,47.568236,-122.308628,9.7,ppb,8.0,0.027,ppm,25.0,1.1,ppb,1.0,0.2,ppm,2.0
65,SEATTLE - BEACON HILL,12/20/2020,7.0,ug/m3 SC,6.0,47.568236,-122.308628,21.7,ppb,20.0,0.034,ppm,31.0,0.2,ppb,0.0,0.3,ppm,3.0
66,SEATTLE - BEACON HILL,12/23/2020,9.0,ug/m3 SC,8.0,47.568236,-122.308628,24.2,ppb,23.0,,,,,,,,,
67,SEATTLE - BEACON HILL,12/26/2020,5.0,ug/m3 SC,5.0,47.568236,-122.308628,12.8,ppb,11.0,0.033,ppm,31.0,0.1,ppb,0.0,0.2,ppm,2.0
68,SEATTLE - BEACON HILL,12/29/2020,13.0,ug/m3 SC,12.0,47.568236,-122.308628,21.5,ppb,20.0,0.004,ppm,4.0,0.8,ppb,0.0,0.5,ppm,6.0
69,Seattle-10th & Weller,1/1/2020,,,,,,30.5,ppb,28.0,,,,,,,0.3,ppm,3.0
70,Seattle-10th & Weller,1/2/2020,,,,,,46.8,ppb,43.0,,,,,,,0.4,ppm,5.0
71,Seattle-10th & Weller,1/3/2020,,,,,,45.3,ppb,42.0,,,,,,,0.8,ppm,9.0
72,Seattle-10th & Weller,1/4/2020,,,,,,17.9,ppb,16.0,,,,,,,0.4,ppm,5.0
73,Seattle-10th & Weller,1/5/2020,,,,,,15.3,ppb,14.0,,,,,,,0.4,ppm,5.0
74,Seattle-10th & Weller,1/7/2020,,,,,,29.8,ppb,27.0,,,,,,,0.4,ppm,5.0
75,Seattle-10th & Weller,1/8/2020,,,,,,38.2,ppb,36.0,,,,,,,0.4,ppm,5.0
76,Seattle-10th & Weller,1/9/2020,,,,,,34.7,ppb,32.0,,,,,,,0.5,ppm,6.0
77,Seattle-10th & Weller,1/10/2020,,,,,,28.3,ppb,26.0,,,,,,,0.4,ppm,5.0
78,Seattle-10th & Weller,1/11/2020,,,,,,28.2,ppb,26.0,,,,,,,0.4,ppm,5.0
79,Seattle-10th & Weller,1/12/2020,,,,,,17.8,ppb,16.0,,,,,,,0.4,ppm,5.0
80,Seattle-10th & Weller,1/13/2020,,,,,,35.4,ppb,33.0,,,,,,,0.4,ppm,5.0
81,Seattle-10th & Weller,1/14/2020,,,,,,28.6,ppb,26.0,,,,,,,0.4,ppm,5.0
82,Seattle-10th & Weller,1/15/2020,,,,,,23.0,ppb,22.0,,,,,,,0.3,ppm,3.0
83,Seattle-10th & Weller,1/16/2020,,,,,,40.9,ppb,38.0,,,,,,,0.4,ppm,5.0
84,Seattle-10th & Weller,1/17/2020,,,,,,31.5,ppb,29.0,,,,,,,0.5,ppm,6.0
85,Seattle-10th & Weller,1/18/2020,,,,,,29.5,ppb,27.0,,,,,,,0.5,ppm,6.0
86,Seattle-10th & Weller,1/19/2020,,,,,,35.6,ppb,33.0,,,,,,,0.7,ppm,8.0
87,Seattle-10th & Weller,1/21/2020,,,,,,33.9,ppb,31.0,,,,,,,0.7,ppm,8.0
88,Seattle-10th & Weller,1/22/2020,,,,,,41.7,ppb,39.0,,,,,,,0.3,ppm,3.0
89,Seattle-10th & Weller,1/23/2020,,,,,,38.0,ppb,36.0,,,,,,,0.4,ppm,5.0
90,Seattle-10th & Weller,1/24/2020,,,,,,40.6,ppb,38.0,,,,,,,0.4,ppm,5.0
91,Seattle-10th & Weller,1/25/2020,,,,,,28.3,ppb,26.0,,,,,,,0.5,ppm,6.0
92,Seattle-10th & Weller,1/26/2020,,,,,,18.7,ppb,17.0,,,,,,,0.4,ppm,5.0
93,Seattle-10th & Weller,1/27/2020,,,,,,31.5,ppb,29.0,,,,,,,0.4,ppm,5.0
94,Seattle-10th & Weller,1/28/2020,,,,,,44.6,ppb,42.0,,,,,,,0.5,ppm,6.0
95,Seattle-10th & Weller,1/29/2020,,,,,,35.2,ppb,33.0,,,,,,,0.5,ppm,6.0
96,Seattle-10th & Weller,1/30/2020,,,,,,30.1,ppb,28.0,,,,,,,0.5,ppm,6.0
97,Seattle-10th & Weller,1/31/2020,,,,,,33.3,ppb,31.0,,,,,,,0.4,ppm,5.0
98,Seattle-10th & Weller,2/1/2020,,,,,,16.4,ppb,15.0,,,,,,,0.3,ppm,3.0
99,Seattle-10th & Weller,2/2/2020,,,,,,30.1,ppb,28.0,,,,,,,0.5,ppm,6.0
100,Seattle-10th & Weller,2/3/2020,,,,,,28.3,ppb,26.0,,,,,,,0.5,ppm,6.0
101,Seattle-10th & Weller,2/4/2020,,,,,,36.3,ppb,34.0,,,,,,,0.5,ppm,6.0
102,Seattle-10th & Weller,2/5/2020,,,,,,38.3,ppb,36.0,,,,,,,0.6,ppm,7.0
103,Seattle-10th & Weller,2/6/2020,,,,,,37.2,ppb,35.0,,,,,,,0.5,ppm,6.0
104,Seattle-10th & Weller,2/7/2020,,,,,,35.7,ppb,33.0,,,,,,,0.5,ppm,6.0
105,Seattle-10th & Weller,2/8/2020,,,,,,14.3,ppb,13.0,,,,,,,0.4,ppm,5.0
106,Seattle-10th & Weller,2/9/2020,,,,,,30.1,ppb,28.0,,,,,,,0.6,ppm,7.0
107,Seattle-10th & Weller,2/10/2020,,,,,,28.6,ppb,26.0,,,,,,,0.6,ppm,7.0
108,Seattle-10th & Weller,2/11/2020,,,,,,26.1,ppb,25.0,,,,,,,0.6,ppm,7.0
109,Seattle-10th & Weller,2/12/2020,,,,,,38.0,ppb,36.0,,,,,,,0.7,ppm,8.0
110,Seattle-10th & Weller,2/13/2020,,,,,,30.7,ppb,28.0,,,,,,,0.7,ppm,8.0
111,Seattle-10th & Weller,2/14/2020,,,,,,36.2,ppb,34.0,,,,,,,0.4,ppm,5.0
112,Seattle-10th & Weller,2/15/2020,,,,,,16.3,ppb,15.0,,,,,,,0.4,ppm,5.0
113,Seattle-10th & Weller,2/16/2020,,,,,,19.4,ppb,18.0,,,,,,,0.4,ppm,5.0
114,Seattle-10th & Weller,2/17/2020,,,,,,39.5,ppb,37.0,,,,,,,0.5,ppm,6.0
115,Seattle-10th & Weller,2/18/2020,,,,,,21.3,ppb,20.0,,,,,,,0.4,ppm,5.0
116,Seattle-10th & Weller,2/19/2020,,,,,,44.5,ppb,42.0,,,,,,,0.8,ppm,9.0
117,Seattle-10th & Weller,2/20/2020,,,,,,53.0,ppb,50.0,,,,,,,0.9,ppm,10.0
118,Seattle-10th & Weller,2/21/2020,,,,,,39.0,ppb,37.0,,,,,,,0.9,ppm,10.0
119,Seattle-10th & Weller,2/22/2020,,,,,,41.4,ppb,39.0,,,,,,,0.5,ppm,6.0
120,Seattle-10th & Weller,2/23/2020,,,,,,17.7,ppb,16.0,,,,,,,0.5,ppm,6.0
121,Seattle-10th & Weller,2/24/2020,,,,,,48.5,ppb,45.0,,,,,,,0.4,ppm,5.0
122,Seattle-10th & Weller,2/25/2020,,,,,,42.6,ppb,40.0,,,,,,,0.6,ppm,7.0
123,Seattle-10th & Weller,2/26/2020,,,,,,43.4,ppb,41.0,,,,,,,0.5,ppm,6.0
124,Seattle-10th & Weller,2/27/2020,,,,,,37.9,ppb,35.0,,,,,,,0.5,ppm,6.0
125,Seattle-10th & Weller,2/28/2020,,,,,,25.4,ppb,24.0,,,,,,,0.6,ppm,7.0
126,Seattle-10th & Weller,2/29/2020,,,,,,21.5,ppb,20.0,,,,,,,0.4,ppm,5.0
127,Seattle-10th & Weller,3/1/2020,,,,,,31.0,ppb,29.0,,,,,,,0.5,ppm,6.0
128,Seattle-10th & Weller,3/2/2020,,,,,,41.4,ppb,39.0,,,,,,,0.4,ppm,5.0
129,Seattle-10th & Weller,3/3/2020,,,,,,33.0,ppb,31.0,,,,,,,0.4,ppm,5.0
130,Seattle-10th & Weller,3/4/2020,,,,,,34.7,ppb,32.0,,,,,,,0.3,ppm,3.0
131,Seattle-10th & Weller,3/5/2020,,,,,,34.7,ppb,32.0,,,,,,,,,
132,Seattle-10th & Weller,3/6/2020,,,,,,41.9,ppb,39.0,,,,,,,,,
133,Seattle-10th & Weller,3/7/2020,,,,,,28.1,ppb,26.0,,,,,,,,,
134,Seattle-10th & Weller,3/8/2020,,,,,,25.1,ppb,24.0,,,,,,,,,
135,Seattle-10th & Weller,3/9/2020,,,,,,33.7,ppb,31.0,,,,,,,0.5,ppm,6.0
136,Seattle-10th & Weller,3/10/2020,,,,,,30.9,ppb,28.0,,,,,,,0.5,ppm,6.0
137,Seattle-10th & Weller,3/11/2020,,,,,,30.8,ppb,28.0,,,,,,,0.5,ppm,6.0
138,Seattle-10th & Weller,3/12/2020,,,,,,34.1,ppb,32.0,,,,,,,0.5,ppm,6.0
139,Seattle-10th & Weller,3/13/2020,,,,,,17.0,ppb,16.0,,,,,,,0.4,ppm,5.0
140,Seattle-10th & Weller,3/14/2020,,,,,,11.3,ppb,10.0,,,,,,,0.4,ppm,5.0
141,Seattle-10th & Weller,3/15/2020,,,,,,12.4,ppb,11.0,,,,,,,0.4,ppm,5.0
142,Seattle-10th & Weller,3/16/2020,,,,,,25.4,ppb,24.0,,,,,,,0.5,ppm,6.0
143,Seattle-10th & Weller,3/17/2020,,,,,,41.4,ppb,39.0,,,,,,,0.7,ppm,8.0
144,Seattle-10th & Weller,3/18/2020,,,,,,53.9,ppb,50.0,,,,,,,0.5,ppm,6.0
145,Seattle-10th & Weller,3/19/2020,,,,,,58.0,ppb,55.0,,,,,,,0.6,ppm,7.0
146,Seattle-10th & Weller,3/20/2020,,,,,,45.7,ppb,42.0,,,,,,,0.6,ppm,7.0
147,Seattle-10th & Weller,3/21/2020,,,,,,44.2,ppb,42.0,,,,,,,0.6,ppm,7.0
148,Seattle-10th & Weller,3/22/2020,,,,,,26.5,ppb,25.0,,,,,,,0.6,ppm,7.0
149,Seattle-10th & Weller,3/23/2020,,,,,,77.6,ppb,76.0,,,,,,,0.3,ppm,3.0
150,Seattle-10th & Weller,3/24/2020,,,,,,24.1,ppb,23.0,,,,,,,0.4,ppm,5.0
151,Seattle-10th & Weller,3/25/2020,,,,,,31.5,ppb,29.0,,,,,,,0.4,ppm,5.0
152,Seattle-10th & Weller,3/26/2020,,,,,,32.4,ppb,30.0,,,,,,,0.4,ppm,5.0
153,Seattle-10th & Weller,3/27/2020,,,,,,28.0,ppb,26.0,,,,,,,0.4,ppm,5.0
154,Seattle-10th & Weller,3/28/2020,,,,,,13.0,ppb,12.0,,,,,,,0.3,ppm,3.0
155,Seattle-10th & Weller,3/29/2020,,,,,,20.4,ppb,19.0,,,,,,,0.3,ppm,3.0
156,Seattle-10th & Weller,3/30/2020,,,,,,22.8,ppb,21.0,,,,,,,0.3,ppm,3.0
157,Seattle-10th & Weller,3/31/2020,,,,,,29.7,ppb,27.0,,,,,,,0.3,ppm,3.0
158,Seattle-10th & Weller,4/1/2020,,,,,,26.0,ppb,25.0,,,,,,,0.4,ppm,5.0
159,Seattle-10th & Weller,4/2/2020,,,,,,25.2,ppb,24.0,,,,,,,0.3,ppm,3.0
160,Seattle-10th & Weller,4/3/2020,,,,,,21.6,ppb,20.0,,,,,,,0.3,ppm,3.0
161,Seattle-10th & Weller,4/4/2020,,,,,,20.9,ppb,19.0,,,,,,,0.4,ppm,5.0
162,Seattle-10th & Weller,4/5/2020,,,,,,10.4,ppb,9.0,,,,,,,0.3,ppm,3.0
163,Seattle-10th & Weller,4/6/2020,,,,,,25.8,ppb,24.0,,,,,,,0.4,ppm,5.0
164,Seattle-10th & Weller,4/7/2020,,,,,,21.6,ppb,20.0,,,,,,,0.4,ppm,5.0
165,Seattle-10th & Weller,4/8/2020,,,,,,17.3,ppb,16.0,,,,,,,0.4,ppm,5.0
166,Seattle-10th & Weller,4/9/2020,,,,,,30.9,ppb,28.0,,,,,,,0.4,ppm,5.0
167,Seattle-10th & Weller,4/10/2020,,,,,,31.3,ppb,29.0,,,,,,,0.5,ppm,6.0
168,Seattle-10th & Weller,4/11/2020,,,,,,24.1,ppb,23.0,,,,,,,0.3,ppm,3.0
169,Seattle-10th & Weller,4/12/2020,,,,,,21.6,ppb,20.0,,,,,,,0.3,ppm,3.0
170,Seattle-10th & Weller,4/13/2020,,,,,,28.2,ppb,26.0,,,,,,,0.5,ppm,6.0
171,Seattle-10th & Weller,4/14/2020,,,,,,35.1,ppb,33.0,,,,,,,0.5,ppm,6.0
172,Seattle-10th & Weller,4/15/2020,,,,,,24.9,ppb,23.0,,,,,,,0.4,ppm,5.0
