,Site Name,Date,DMean PM10,PM_UNITS,PM10 AQI,PM-WEIGHT,Lat,Lng,DMax NO2,NO2 Units,NO2 AQI,NO2-WEIGHT,DMax Ozone,Ozone Units,Ozone AQI,OZONE-WEIGHT,DMax SO2,SO2 Units,SO2 AQI,SO2-WEIGHT,DMax CO,CO Units,CO AQI,CO-WEIGHT
0,Azusa,1/4/2020,25.0,ug/m3 SC,23.0,1.0,34.1365,-117.92391,43.9,ppb,41.0,24.0,0.026,ppm,24.0,17.0,,,,,0.7,ppm,8.0,24.0
1,Azusa,1/10/2020,20.0,ug/m3 SC,19.0,1.0,34.1365,-117.92391,28.7,ppb,26.0,24.0,0.024,ppm,22.0,17.0,,,,,0.4,ppm,5.0,24.0
2,Azusa,1/16/2020,32.0,ug/m3 SC,30.0,1.0,34.1365,-117.92391,35.5,ppb,33.0,24.0,0.038,ppm,35.0,17.0,,,,,0.6,ppm,7.0,24.0
3,Azusa,1/22/2020,21.0,ug/m3 SC,19.0,1.0,34.1365,-117.92391,23.4,ppb,22.0,24.0,0.027,ppm,25.0,17.0,,,,,0.3,ppm,3.0,24.0
4,Azusa,1/28/2020,23.0,ug/m3 SC,21.0,1.0,34.1365,-117.92391,34.3,ppb,32.0,24.0,0.028,ppm,26.0,17.0,,,,,0.4,ppm,5.0,24.0
5,Azusa,2/3/2020,25.0,ug/m3 SC,23.0,1.0,34.1365,-117.92391,6.0,ppb,6.0,24.0,0.044,ppm,41.0,17.0,,,,,0.2,ppm,2.0,24.0
6,Azusa,2/9/2020,18.0,ug/m3 SC,17.0,1.0,34.1365,-117.92391,12.1,ppb,11.0,24.0,0.038,ppm,35.0,17.0,,,,,0.4,ppm,5.0,24.0
7,Azusa,2/15/2020,32.0,ug/m3 SC,30.0,1.0,34.1365,-117.92391,28.6,ppb,26.0,24.0,0.05,ppm,46.0,17.0,,,,,0.5,ppm,6.0,24.0
8,Azusa,2/21/2020,27.0,ug/m3 SC,25.0,1.0,34.1365,-117.92391,,,,,,,,,,,,,0.3,ppm,3.0,12.0
9,Azusa,2/27/2020,19.0,ug/m3 SC,18.0,1.0,34.1365,-117.92391,21.3,ppb,20.0,24.0,0.039,ppm,36.0,17.0,,,,,0.3,ppm,3.0,24.0
10,Azusa,3/4/2020,35.0,ug/m3 SC,32.0,1.0,34.1365,-117.92391,35.3,ppb,33.0,24.0,0.038,ppm,35.0,17.0,,,,,0.5,ppm,6.0,24.0
11,Azusa,3/10/2020,5.0,ug/m3 SC,5.0,1.0,34.1365,-117.92391,14.4,ppb,13.0,24.0,0.024,ppm,22.0,17.0,,,,,0.2,ppm,2.0,24.0
12,Azusa,3/18/2020,11.0,ug/m3 SC,10.0,1.0,34.1365,-117.92391,22.6,ppb,21.0,24.0,0.037,ppm,34.0,17.0,,,,,0.3,ppm,3.0,24.0
13,Azusa,3/22/2020,7.0,ug/m3 SC,6.0,1.0,34.1365,-117.92391,9.2,ppb,8.0,24.0,0.04,ppm,37.0,17.0,,,,,0.2,ppm,2.0,24.0
14,Azusa,7/2/2020,29.0,ug/m3 SC,27.0,1.0,34.1365,-117.92391,14.1,ppb,13.0,24.0,0.066,ppm,87.0,17.0,,,,,0.3,ppm,3.0,24.0
15,Azusa,7/8/2020,50.0,ug/m3 SC,46.0,1.0,34.1365,-117.92391,13.8,ppb,12.0,24.0,0.067,ppm,90.0,17.0,,,,,0.3,ppm,3.0,24.0
