Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2018,AQS,481410037,1,24.3,ppb,23,El Paso UTEP,24,100,42602,Nitrogen dioxide (NO2),21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/2/2018,AQS,481410037,1,22.7,ppb,21,El Paso UTEP,24,100,42602,Nitrogen dioxide (NO2),21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/3/2018,AQS,481410037,1,37.6,ppb,35,El Paso UTEP,24,100,42602,Nitrogen dioxide (NO2),21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/4/2018,AQS,481410037,1,53.6,ppb,50,El Paso UTEP,24,100,42602,Nitrogen dioxide (NO2),21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/5/2018,AQS,481410037,1,40.6,ppb,38,El Paso UTEP,24,100,42602,Nitrogen dioxide (NO2),21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/6/2018,AQS,481410037,1,42.1,ppb,40,El Paso UTEP,24,100,42602,Nitrogen dioxide (NO2),21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/7/2018,AQS,481410037,1,32,ppb,30,El Paso UTEP,19,79,42602,Nitrogen dioxide (NO2),21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/8/2018,AQS,481410037,1,44.4,ppb,42,El Paso UTEP,24,100,42602,Nitrogen dioxide (NO2),21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/9/2018,AQS,481410037,1,35.8,ppb,33,El Paso UTEP,24,100,42602,Nitrogen dioxide (NO2),21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/10/2018,AQS,481410037,1,38.5,ppb,36,El Paso UTEP,22,92,42602,Nitrogen dioxide (NO2),21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/11/2018,AQS,481410037,1,33.2,ppb,31,El Paso UTEP,24,100,42602,Nitrogen dioxide (NO2),21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/12/2018,AQS,481410037,1,36.3,ppb,34,El Paso UTEP,24,100,42602,Nitrogen dioxide (NO2),21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/13/2018,AQS,481410037,1,40.2,ppb,38,El Paso UTEP,24,100,42602,Nitrogen dioxide (NO2),21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/14/2018,AQS,481410037,1,55.4,ppb,52,El Paso UTEP,20,83,42602,Nitrogen dioxide (NO2),21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/15/2018,AQS,481410037,1,38.1,ppb,36,El Paso UTEP,24,100,42602,Nitrogen dioxide (NO2),21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/17/2018,AQS,481410037,1,35.7,ppb,33,El Paso UTEP,24,100,42602,Nitrogen dioxide (NO2),21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/18/2018,AQS,481410037,1,40.6,ppb,38,El Paso UTEP,24,100,42602,Nitrogen dioxide (NO2),21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/19/2018,AQS,481410037,1,45.7,ppb,42,El Paso UTEP,24,100,42602,Nitrogen dioxide (NO2),21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/20/2018,AQS,481410037,1,71.1,ppb,69,El Paso UTEP,24,100,42602,Nitrogen dioxide (NO2),21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/21/2018,AQS,481410037,1,7.7,ppb,7,El Paso UTEP,19,79,42602,Nitrogen dioxide (NO2),21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/22/2018,AQS,481410037,1,37.6,ppb,35,El Paso UTEP,24,100,42602,Nitrogen dioxide (NO2),21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/23/2018,AQS,481410037,1,43.9,ppb,41,El Paso UTEP,24,100,42602,Nitrogen dioxide (NO2),21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/24/2018,AQS,481410037,1,38.8,ppb,36,El Paso UTEP,24,100,42602,Nitrogen dioxide (NO2),21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/25/2018,AQS,481410037,1,47.4,ppb,44,El Paso UTEP,24,100,42602,Nitrogen dioxide (NO2),21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/26/2018,AQS,481410037,1,43.7,ppb,41,El Paso UTEP,24,100,42602,Nitrogen dioxide (NO2),21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/27/2018,AQS,481410037,1,35.4,ppb,33,El Paso UTEP,24,100,42602,Nitrogen dioxide (NO2),21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/28/2018,AQS,481410037,1,49.8,ppb,46,El Paso UTEP,19,79,42602,Nitrogen dioxide (NO2),21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
