Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2018,AQS,371830014,1,7.2,ppb,7,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/2/2018,AQS,371830014,1,33.6,ppb,31,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/3/2018,AQS,371830014,1,30.3,ppb,28,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/4/2018,AQS,371830014,1,5.4,ppb,5,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/5/2018,AQS,371830014,1,18.2,ppb,17,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/6/2018,AQS,371830014,1,10.1,ppb,9,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/7/2018,AQS,371830014,1,19.4,ppb,18,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/8/2018,AQS,371830014,1,34.8,ppb,32,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/9/2018,AQS,371830014,1,32.8,ppb,30,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/10/2018,AQS,371830014,1,7.8,ppb,7,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/11/2018,AQS,371830014,1,11.5,ppb,10,Millbrook School,19,79,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/12/2018,AQS,371830014,1,6.2,ppb,6,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/13/2018,AQS,371830014,1,3.4,ppb,3,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/14/2018,AQS,371830014,1,4.6,ppb,4,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/15/2018,AQS,371830014,1,29.1,ppb,27,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/16/2018,AQS,371830014,1,34.2,ppb,32,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/17/2018,AQS,371830014,1,27.6,ppb,25,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/18/2018,AQS,371830014,1,18.1,ppb,17,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/19/2018,AQS,371830014,1,38.2,ppb,36,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/20/2018,AQS,371830014,1,35.1,ppb,33,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/21/2018,AQS,371830014,1,29.3,ppb,27,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/22/2018,AQS,371830014,1,25.9,ppb,24,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/23/2018,AQS,371830014,1,8.8,ppb,8,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/24/2018,AQS,371830014,1,12.3,ppb,11,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/25/2018,AQS,371830014,1,30.2,ppb,28,Millbrook School,19,79,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/26/2018,AQS,371830014,1,29,ppb,27,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/27/2018,AQS,371830014,1,22.8,ppb,21,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/28/2018,AQS,371830014,1,8.6,ppb,8,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/29/2018,AQS,371830014,1,4.3,ppb,4,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/30/2018,AQS,371830014,1,11.6,ppb,10,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/31/2018,AQS,371830014,1,24.5,ppb,23,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/7/2018,AQS,371830014,1,9.4,ppb,8,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/8/2018,AQS,371830014,1,23.9,ppb,22,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/9/2018,AQS,371830014,1,27.5,ppb,25,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/10/2018,AQS,371830014,1,13.9,ppb,12,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/11/2018,AQS,371830014,1,2.9,ppb,2,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/12/2018,AQS,371830014,1,8.7,ppb,8,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/13/2018,AQS,371830014,1,3.9,ppb,3,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/14/2018,AQS,371830014,1,13.2,ppb,12,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/15/2018,AQS,371830014,1,13.9,ppb,12,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/16/2018,AQS,371830014,1,4.4,ppb,4,Millbrook School,23,96,42602,Nitrogen dioxide (NO2),39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
