Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2020,AQS,560210003,1,0.043,ppm,40,Laramie County Mobile,17,100,44201,Ozone,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.08536,-104.52277
1/2/2020,AQS,560210003,1,0.039,ppm,36,Laramie County Mobile,17,100,44201,Ozone,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.08536,-104.52277
1/3/2020,AQS,560210003,1,0.039,ppm,36,Laramie County Mobile,17,100,44201,Ozone,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.08536,-104.52277
1/4/2020,AQS,560210003,1,0.04,ppm,37,Laramie County Mobile,17,100,44201,Ozone,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.08536,-104.52277
1/5/2020,AQS,560210003,1,0.038,ppm,35,Laramie County Mobile,17,100,44201,Ozone,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.08536,-104.52277
1/6/2020,AQS,560210003,1,0.041,ppm,38,Laramie County Mobile,17,100,44201,Ozone,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.08536,-104.52277
1/7/2020,AQS,560210003,1,0.041,ppm,38,Laramie County Mobile,17,100,44201,Ozone,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.08536,-104.52277
1/8/2020,AQS,560210003,1,0.037,ppm,34,Laramie County Mobile,17,100,44201,Ozone,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.08536,-104.52277
1/9/2020,AQS,560210003,1,0.039,ppm,36,Laramie County Mobile,17,100,44201,Ozone,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.08536,-104.52277
1/10/2020,AQS,560210003,1,0.029,ppm,27,Laramie County Mobile,17,100,44201,Ozone,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.08536,-104.52277
1/11/2020,AQS,560210003,1,0.04,ppm,37,Laramie County Mobile,17,100,44201,Ozone,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.08536,-104.52277
1/12/2020,AQS,560210003,1,0.038,ppm,35,Laramie County Mobile,17,100,44201,Ozone,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.08536,-104.52277
