Date,Source,Site ID,POC,Daily Mean Pb Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2016,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/7/2016,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/13/2016,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/19/2016,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
5/6/2016,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
5/12/2016,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
5/18/2016,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
5/24/2016,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
5/30/2016,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
6/5/2016,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
6/11/2016,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
6/17/2016,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
6/23/2016,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
6/29/2016,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
7/5/2016,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
7/11/2016,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
7/17/2016,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
7/23/2016,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
7/29/2016,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
