Date,Source,Site ID,POC,Daily Mean Pb Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2016,AQS,340130003,1,0.001,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/7/2016,AQS,340130003,1,0.007,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/13/2016,AQS,340130003,1,0.002,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/19/2016,AQS,340130003,1,0.001,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/25/2016,AQS,340130003,1,0.003,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/31/2016,AQS,340130003,1,0.005,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/6/2016,AQS,340130003,1,0.004,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/12/2016,AQS,340130003,1,0.001,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/18/2016,AQS,340130003,1,0.003,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/24/2016,AQS,340130003,1,0.002,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
3/1/2016,AQS,340130003,1,0.002,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
3/7/2016,AQS,340130003,1,0.007,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
