Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2016,AQS,560210001,1,3,ug/m3 SC,3,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
1/7/2016,AQS,560210001,1,7,ug/m3 SC,6,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
1/13/2016,AQS,560210001,1,3,ug/m3 SC,3,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
1/19/2016,AQS,560210001,1,3,ug/m3 SC,3,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
1/25/2016,AQS,560210001,1,2,ug/m3 SC,2,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
1/31/2016,AQS,560210001,1,2,ug/m3 SC,2,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
2/6/2016,AQS,560210001,1,4,ug/m3 SC,4,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
2/12/2016,AQS,560210001,1,16,ug/m3 SC,15,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
2/18/2016,AQS,560210001,1,12,ug/m3 SC,11,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
2/24/2016,AQS,560210001,1,6,ug/m3 SC,6,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
3/1/2016,AQS,560210001,1,4,ug/m3 SC,4,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
3/7/2016,AQS,560210001,1,8,ug/m3 SC,7,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
3/13/2016,AQS,560210001,1,5,ug/m3 SC,5,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
3/19/2016,AQS,560210001,1,3,ug/m3 SC,3,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
3/25/2016,AQS,560210001,1,3,ug/m3 SC,3,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
3/31/2016,AQS,560210001,1,3,ug/m3 SC,3,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
4/6/2016,AQS,560210001,1,6,ug/m3 SC,6,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
4/12/2016,AQS,560210001,1,12,ug/m3 SC,11,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
4/18/2016,AQS,560210001,1,3,ug/m3 SC,3,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
4/24/2016,AQS,560210001,1,3,ug/m3 SC,3,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
4/30/2016,AQS,560210001,1,1,ug/m3 SC,1,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
5/6/2016,AQS,560210001,1,22,ug/m3 SC,20,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
5/12/2016,AQS,560210001,1,10,ug/m3 SC,9,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
5/18/2016,AQS,560210001,1,6,ug/m3 SC,6,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
