Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2016,AQS,340130003,1,3,ug/m3 SC,3,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/4/2016,AQS,340130003,1,4,ug/m3 SC,4,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/7/2016,AQS,340130003,1,45,ug/m3 SC,42,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/10/2016,AQS,340130003,1,12,ug/m3 SC,11,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/13/2016,AQS,340130003,1,10,ug/m3 SC,9,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/16/2016,AQS,340130003,1,7,ug/m3 SC,6,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/19/2016,AQS,340130003,1,6,ug/m3 SC,6,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/22/2016,AQS,340130003,1,6,ug/m3 SC,6,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/25/2016,AQS,340130003,1,23,ug/m3 SC,21,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/28/2016,AQS,340130003,1,26,ug/m3 SC,24,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/31/2016,AQS,340130003,1,21,ug/m3 SC,19,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/3/2016,AQS,340130003,1,16,ug/m3 SC,15,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/6/2016,AQS,340130003,1,13,ug/m3 SC,12,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/9/2016,AQS,340130003,1,17,ug/m3 SC,16,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/12/2016,AQS,340130003,1,8,ug/m3 SC,7,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/15/2016,AQS,340130003,1,20,ug/m3 SC,19,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/18/2016,AQS,340130003,1,6,ug/m3 SC,6,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/21/2016,AQS,340130003,1,10,ug/m3 SC,9,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/24/2016,AQS,340130003,1,8,ug/m3 SC,7,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/27/2016,AQS,340130003,1,6,ug/m3 SC,6,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
3/1/2016,AQS,340130003,1,13,ug/m3 SC,12,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
3/4/2016,AQS,340130003,1,12,ug/m3 SC,11,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
3/7/2016,AQS,340130003,1,20,ug/m3 SC,19,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
3/10/2016,AQS,340130003,1,24,ug/m3 SC,22,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
3/13/2016,AQS,340130003,1,11,ug/m3 SC,10,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
3/16/2016,AQS,340130003,1,19,ug/m3 SC,18,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
3/19/2016,AQS,340130003,1,4,ug/m3 SC,4,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
3/22/2016,AQS,340130003,1,10,ug/m3 SC,9,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
3/25/2016,AQS,340130003,1,27,ug/m3 SC,25,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
3/28/2016,AQS,340130003,1,6,ug/m3 SC,6,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
3/31/2016,AQS,340130003,1,20,ug/m3 SC,19,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
