Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
8/27/2016,AQS,371830014,3,7,ug/m3 SC,6,Millbrook School,1,100,81102,PM10 Total 0-10um STP,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
8/28/2016,AQS,371830014,3,7,ug/m3 SC,6,Millbrook School,1,100,81102,PM10 Total 0-10um STP,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
9/1/2016,AQS,371830014,3,15,ug/m3 SC,14,Millbrook School,1,100,81102,PM10 Total 0-10um STP,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
9/2/2016,AQS,371830014,3,9,ug/m3 SC,8,Millbrook School,1,100,81102,PM10 Total 0-10um STP,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
9/10/2016,AQS,371830014,3,23,ug/m3 SC,21,Millbrook School,1,100,81102,PM10 Total 0-10um STP,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
9/11/2016,AQS,371830014,3,17,ug/m3 SC,16,Millbrook School,1,100,81102,PM10 Total 0-10um STP,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
9/12/2016,AQS,371830014,3,18,ug/m3 SC,17,Millbrook School,1,100,81102,PM10 Total 0-10um STP,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
9/13/2016,AQS,371830014,3,16,ug/m3 SC,15,Millbrook School,1,100,81102,PM10 Total 0-10um STP,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
9/14/2016,AQS,371830014,3,19,ug/m3 SC,18,Millbrook School,1,100,81102,PM10 Total 0-10um STP,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
9/15/2016,AQS,371830014,3,23,ug/m3 SC,21,Millbrook School,1,100,81102,PM10 Total 0-10um STP,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
9/16/2016,AQS,371830014,3,22,ug/m3 SC,20,Millbrook School,1,100,81102,PM10 Total 0-10um STP,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
9/17/2016,AQS,371830014,3,16,ug/m3 SC,15,Millbrook School,1,100,81102,PM10 Total 0-10um STP,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
9/18/2016,AQS,371830014,3,10,ug/m3 SC,9,Millbrook School,1,100,81102,PM10 Total 0-10um STP,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
9/20/2016,AQS,371830014,3,10,ug/m3 SC,9,Millbrook School,1,100,81102,PM10 Total 0-10um STP,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
9/22/2016,AQS,371830014,3,9,ug/m3 SC,8,Millbrook School,1,100,81102,PM10 Total 0-10um STP,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
9/23/2016,AQS,371830014,3,15,ug/m3 SC,14,Millbrook School,1,100,81102,PM10 Total 0-10um STP,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
