Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/4/2020,AQS,481410029,1,37,ug/m3 SC,34,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
1/10/2020,AQS,481410029,1,8,ug/m3 SC,7,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
1/16/2020,AQS,481410029,1,20,ug/m3 SC,19,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
1/22/2020,AQS,481410029,1,8,ug/m3 SC,7,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
1/28/2020,AQS,481410029,1,12,ug/m3 SC,11,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
2/3/2020,AQS,481410029,1,51,ug/m3 SC,47,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
2/9/2020,AQS,481410029,1,13,ug/m3 SC,12,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
2/15/2020,AQS,481410029,1,36,ug/m3 SC,33,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
2/21/2020,AQS,481410029,1,16,ug/m3 SC,15,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
2/27/2020,AQS,481410029,1,33,ug/m3 SC,31,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
