Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/4/2020,AQS,340410007,1,6.9,ug/m3 LC,29,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
1/10/2020,AQS,340410007,1,8.5,ug/m3 LC,35,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
1/16/2020,AQS,340410007,1,7.9,ug/m3 LC,33,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
1/22/2020,AQS,340410007,1,13.2,ug/m3 LC,53,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
1/28/2020,AQS,340410007,1,1.5,ug/m3 LC,6,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2/3/2020,AQS,340410007,1,6.3,ug/m3 LC,26,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2/9/2020,AQS,340410007,1,10.4,ug/m3 LC,43,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2/15/2020,AQS,340410007,1,4.2,ug/m3 LC,18,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2/21/2020,AQS,340410007,1,4.2,ug/m3 LC,18,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2/27/2020,AQS,340410007,1,1.8,ug/m3 LC,8,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
