Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2020,AQS,530330080,2,4,ug/m3 SC,4,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
1/4/2020,AQS,530330080,2,7,ug/m3 SC,6,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
1/7/2020,AQS,530330080,2,2,ug/m3 SC,2,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
1/10/2020,AQS,530330080,2,2,ug/m3 SC,2,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
1/13/2020,AQS,530330080,2,7,ug/m3 SC,6,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
1/16/2020,AQS,530330080,2,7,ug/m3 SC,6,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
1/19/2020,AQS,530330080,2,4,ug/m3 SC,4,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
1/22/2020,AQS,530330080,2,3,ug/m3 SC,3,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
1/25/2020,AQS,530330080,2,3,ug/m3 SC,3,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
1/28/2020,AQS,530330080,2,4,ug/m3 SC,4,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
1/31/2020,AQS,530330080,2,2,ug/m3 SC,2,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
2/3/2020,AQS,530330080,2,6,ug/m3 SC,6,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
2/6/2020,AQS,530330080,2,3,ug/m3 SC,3,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
2/9/2020,AQS,530330080,2,9,ug/m3 SC,8,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
2/12/2020,AQS,530330080,2,10,ug/m3 SC,9,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
2/15/2020,AQS,530330080,2,3,ug/m3 SC,3,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
2/18/2020,AQS,530330080,2,6,ug/m3 SC,6,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
2/21/2020,AQS,530330080,2,10,ug/m3 SC,9,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
2/24/2020,AQS,530330080,2,14,ug/m3 SC,13,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
2/27/2020,AQS,530330080,2,10,ug/m3 SC,9,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
3/1/2020,AQS,530330080,2,8,ug/m3 SC,7,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
3/4/2020,AQS,530330080,2,15,ug/m3 SC,14,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
8/7/2020,AQS,530330080,2,11,ug/m3 SC,10,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
8/10/2020,AQS,530330080,2,11,ug/m3 SC,10,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
8/13/2020,AQS,530330080,2,11,ug/m3 SC,10,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
8/16/2020,AQS,530330080,2,16,ug/m3 SC,15,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
8/19/2020,AQS,530330080,2,10,ug/m3 SC,9,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
8/22/2020,AQS,530330080,2,8,ug/m3 SC,7,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
8/25/2020,AQS,530330080,2,11,ug/m3 SC,10,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
8/28/2020,AQS,530330080,2,7,ug/m3 SC,6,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
8/31/2020,AQS,530330080,2,6,ug/m3 SC,6,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
9/3/2020,AQS,530330080,2,9,ug/m3 SC,8,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
9/6/2020,AQS,530330080,2,12,ug/m3 SC,11,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
9/9/2020,AQS,530330080,2,38,ug/m3 SC,35,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
9/18/2020,AQS,530330080,2,46,ug/m3 SC,43,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
9/21/2020,AQS,530330080,2,10,ug/m3 SC,9,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
9/24/2020,AQS,530330080,2,8,ug/m3 SC,7,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
9/27/2020,AQS,530330080,2,7,ug/m3 SC,6,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
9/30/2020,AQS,530330080,2,19,ug/m3 SC,18,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
10/3/2020,AQS,530330080,2,15,ug/m3 SC,14,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
10/6/2020,AQS,530330080,2,13,ug/m3 SC,12,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
10/9/2020,AQS,530330080,2,8,ug/m3 SC,7,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
10/12/2020,AQS,530330080,2,8,ug/m3 SC,7,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
10/15/2020,AQS,530330080,2,12,ug/m3 SC,11,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
10/18/2020,AQS,530330080,2,5,ug/m3 SC,5,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
10/21/2020,AQS,530330080,2,9,ug/m3 SC,8,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
10/24/2020,AQS,530330080,2,9,ug/m3 SC,8,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
10/27/2020,AQS,530330080,2,13,ug/m3 SC,12,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
10/30/2020,AQS,530330080,2,12,ug/m3 SC,11,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
11/2/2020,AQS,530330080,2,17,ug/m3 SC,16,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
