Date,Source,Site ID,POC,Daily Max 1-hour SO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
3/30/2016,AQS,560210002,1,-0.4,ppb,0,Cheyenne Mobile,22,92,42401,Sulfur dioxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13069,-104.75308
3/31/2016,AQS,560210002,1,-0.2,ppb,0,Cheyenne Mobile,22,92,42401,Sulfur dioxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13069,-104.75308
4/1/2016,AQS,560210002,1,-0.2,ppb,0,Cheyenne Mobile,23,96,42401,Sulfur dioxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13069,-104.75308
4/2/2016,AQS,560210002,1,0.5,ppb,0,Cheyenne Mobile,23,96,42401,Sulfur dioxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13069,-104.75308
4/3/2016,AQS,560210002,1,0,ppb,0,Cheyenne Mobile,23,96,42401,Sulfur dioxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13069,-104.75308
4/4/2016,AQS,560210002,1,0,ppb,0,Cheyenne Mobile,22,92,42401,Sulfur dioxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13069,-104.75308
4/5/2016,AQS,560210002,1,0,ppb,0,Cheyenne Mobile,20,83,42401,Sulfur dioxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13069,-104.75308
4/6/2016,AQS,560210002,1,-0.4,ppb,0,Cheyenne Mobile,23,96,42401,Sulfur dioxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13069,-104.75308
4/7/2016,AQS,560210002,1,-0.2,ppb,0,Cheyenne Mobile,23,96,42401,Sulfur dioxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13069,-104.75308
4/8/2016,AQS,560210002,1,0.5,ppb,0,Cheyenne Mobile,23,96,42401,Sulfur dioxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13069,-104.75308
4/9/2016,AQS,560210002,1,0.2,ppb,0,Cheyenne Mobile,23,96,42401,Sulfur dioxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13069,-104.75308
4/10/2016,AQS,560210002,1,0,ppb,0,Cheyenne Mobile,23,96,42401,Sulfur dioxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13069,-104.75308
4/11/2016,AQS,560210002,1,0,ppb,0,Cheyenne Mobile,22,92,42401,Sulfur dioxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13069,-104.75308
4/12/2016,AQS,560210002,1,0.5,ppb,0,Cheyenne Mobile,22,92,42401,Sulfur dioxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13069,-104.75308
4/13/2016,AQS,560210002,1,0.6,ppb,0,Cheyenne Mobile,23,96,42401,Sulfur dioxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13069,-104.75308
4/14/2016,AQS,560210002,1,0.6,ppb,0,Cheyenne Mobile,23,96,42401,Sulfur dioxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13069,-104.75308
4/15/2016,AQS,560210002,1,0.4,ppb,0,Cheyenne Mobile,23,96,42401,Sulfur dioxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13069,-104.75308
4/16/2016,AQS,560210002,1,0.4,ppb,0,Cheyenne Mobile,23,96,42401,Sulfur dioxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13069,-104.75308
4/17/2016,AQS,560210002,1,0.4,ppb,0,Cheyenne Mobile,23,96,42401,Sulfur dioxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13069,-104.75308
4/18/2016,AQS,560210002,1,0.3,ppb,0,Cheyenne Mobile,22,92,42401,Sulfur dioxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13069,-104.75308
4/19/2016,AQS,560210002,1,0.4,ppb,0,Cheyenne Mobile,22,92,42401,Sulfur dioxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13069,-104.75308
4/20/2016,AQS,560210002,1,0.4,ppb,0,Cheyenne Mobile,23,96,42401,Sulfur dioxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13069,-104.75308
4/21/2016,AQS,560210002,1,0.5,ppb,0,Cheyenne Mobile,23,96,42401,Sulfur dioxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13069,-104.75308
4/22/2016,AQS,560210002,1,1.3,ppb,1,Cheyenne Mobile,22,92,42401,Sulfur dioxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13069,-104.75308
4/23/2016,AQS,560210002,1,1.7,ppb,1,Cheyenne Mobile,23,96,42401,Sulfur dioxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13069,-104.75308
4/24/2016,AQS,560210002,1,3,ppb,4,Cheyenne Mobile,23,96,42401,Sulfur dioxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13069,-104.75308
4/25/2016,AQS,560210002,1,0.5,ppb,0,Cheyenne Mobile,22,92,42401,Sulfur dioxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13069,-104.75308
4/26/2016,AQS,560210002,1,0.4,ppb,0,Cheyenne Mobile,22,92,42401,Sulfur dioxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13069,-104.75308
4/27/2016,AQS,560210002,1,0.4,ppb,0,Cheyenne Mobile,23,96,42401,Sulfur dioxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13069,-104.75308
4/28/2016,AQS,560210002,1,0.5,ppb,0,Cheyenne Mobile,23,96,42401,Sulfur dioxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13069,-104.75308
4/29/2016,AQS,560210002,1,0.3,ppb,0,Cheyenne Mobile,23,96,42401,Sulfur dioxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13069,-104.75308
4/30/2016,AQS,560210002,1,0.6,ppb,0,Cheyenne Mobile,23,96,42401,Sulfur dioxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13069,-104.75308
5/1/2016,AQS,560210002,1,0.6,ppb,0,Cheyenne Mobile,23,96,42401,Sulfur dioxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13069,-104.75308
5/2/2016,AQS,560210002,1,0.5,ppb,0,Cheyenne Mobile,22,92,42401,Sulfur dioxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13069,-104.75308
