Date,Source,Site ID,POC,Daily Max 1-hour SO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2016,AQS,60371103,9,0.6,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/2/2016,AQS,60371103,9,0.7,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/3/2016,AQS,60371103,9,1.6,ppb,1,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/4/2016,AQS,60371103,9,0.4,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/5/2016,AQS,60371103,9,0.1,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/6/2016,AQS,60371103,9,0,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/7/2016,AQS,60371103,9,0,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/8/2016,AQS,60371103,9,0.3,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/9/2016,AQS,60371103,9,0.4,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/10/2016,AQS,60371103,9,0.2,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/11/2016,AQS,60371103,9,0.5,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/12/2016,AQS,60371103,9,0.9,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/13/2016,AQS,60371103,9,0.9,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/14/2016,AQS,60371103,9,0.4,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/15/2016,AQS,60371103,9,0.3,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/16/2016,AQS,60371103,9,0.1,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/17/2016,AQS,60371103,9,0.2,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/18/2016,AQS,60371103,9,0.1,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/19/2016,AQS,60371103,9,0.3,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/20/2016,AQS,60371103,9,0.1,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/21/2016,AQS,60371103,9,0.6,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/22/2016,AQS,60371103,9,0.8,ppb,0,Los Angeles-North Main Street,18,75,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/23/2016,AQS,60371103,9,0.6,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/24/2016,AQS,60371103,9,0.1,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/25/2016,AQS,60371103,9,0.5,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/26/2016,AQS,60371103,9,1,ppb,1,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/27/2016,AQS,60371103,9,0.7,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/28/2016,AQS,60371103,9,0.8,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/29/2016,AQS,60371103,9,2,ppb,3,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/30/2016,AQS,60371103,9,0.2,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/31/2016,AQS,60371103,9,0.2,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
2/1/2016,AQS,60371103,9,0,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
2/2/2016,AQS,60371103,9,0.9,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
2/3/2016,AQS,60371103,9,0.3,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
2/4/2016,AQS,60371103,9,0.4,ppb,0,Los Angeles-North Main Street,23,96,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
2/5/2016,AQS,60371103,9,1.1,ppb,1,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
2/6/2016,AQS,60371103,9,0.5,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
2/7/2016,AQS,60371103,9,0.6,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
2/8/2016,AQS,60371103,9,1.5,ppb,1,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
