Date,Source,Site ID,POC,Daily Max 1-hour SO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2018,AQS,481410044,1,1.2,ppb,1,El Paso Chamizal,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.765685,-106.455227
1/2/2018,AQS,481410044,1,1.2,ppb,1,El Paso Chamizal,23,96,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.765685,-106.455227
1/3/2018,AQS,481410044,1,2.7,ppb,3,El Paso Chamizal,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.765685,-106.455227
1/4/2018,AQS,481410044,1,6.8,ppb,9,El Paso Chamizal,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.765685,-106.455227
1/5/2018,AQS,481410044,1,6.7,ppb,9,El Paso Chamizal,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.765685,-106.455227
1/6/2018,AQS,481410044,1,8.8,ppb,11,El Paso Chamizal,23,96,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.765685,-106.455227
1/7/2018,AQS,481410044,1,1.8,ppb,1,El Paso Chamizal,23,96,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.765685,-106.455227
1/8/2018,AQS,481410044,1,6.5,ppb,9,El Paso Chamizal,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.765685,-106.455227
1/9/2018,AQS,481410044,1,8.8,ppb,11,El Paso Chamizal,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.765685,-106.455227
1/10/2018,AQS,481410044,1,5.8,ppb,7,El Paso Chamizal,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.765685,-106.455227
1/11/2018,AQS,481410044,1,3.8,ppb,4,El Paso Chamizal,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.765685,-106.455227
1/12/2018,AQS,481410044,1,4.1,ppb,6,El Paso Chamizal,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.765685,-106.455227
1/13/2018,AQS,481410044,1,3.8,ppb,4,El Paso Chamizal,22,92,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.765685,-106.455227
1/14/2018,AQS,481410044,1,3.3,ppb,4,El Paso Chamizal,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.765685,-106.455227
1/15/2018,AQS,481410044,1,3.3,ppb,4,El Paso Chamizal,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.765685,-106.455227
1/16/2018,AQS,481410044,1,0.3,ppb,0,El Paso Chamizal,23,96,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.765685,-106.455227
1/17/2018,AQS,481410044,1,1.4,ppb,1,El Paso Chamizal,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.765685,-106.455227
1/18/2018,AQS,481410044,1,3.7,ppb,4,El Paso Chamizal,22,92,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.765685,-106.455227
1/19/2018,AQS,481410044,1,16.2,ppb,23,El Paso Chamizal,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.765685,-106.455227
1/20/2018,AQS,481410044,1,10.3,ppb,14,El Paso Chamizal,23,96,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.765685,-106.455227
1/21/2018,AQS,481410044,1,0.3,ppb,0,El Paso Chamizal,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.765685,-106.455227
1/22/2018,AQS,481410044,1,1.7,ppb,1,El Paso Chamizal,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.765685,-106.455227
1/23/2018,AQS,481410044,1,1.7,ppb,1,El Paso Chamizal,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.765685,-106.455227
