Date,Source,Site ID,POC,Daily Max 1-hour SO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/21/2020,AQS,371830014,2,1.3,ppb,1,Millbrook School,23,96,42401,Sulfur dioxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/22/2020,AQS,371830014,2,1.7,ppb,1,Millbrook School,23,96,42401,Sulfur dioxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/23/2020,AQS,371830014,2,0.5,ppb,0,Millbrook School,23,96,42401,Sulfur dioxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/24/2020,AQS,371830014,2,0.1,ppb,0,Millbrook School,23,96,42401,Sulfur dioxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/25/2020,AQS,371830014,2,0,ppb,0,Millbrook School,23,96,42401,Sulfur dioxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/26/2020,AQS,371830014,2,1,ppb,1,Millbrook School,23,96,42401,Sulfur dioxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/27/2020,AQS,371830014,2,0.9,ppb,0,Millbrook School,23,96,42401,Sulfur dioxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/28/2020,AQS,371830014,2,0.7,ppb,0,Millbrook School,23,96,42401,Sulfur dioxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/29/2020,AQS,371830014,2,0.9,ppb,0,Millbrook School,23,96,42401,Sulfur dioxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/30/2020,AQS,371830014,2,0.4,ppb,0,Millbrook School,23,96,42401,Sulfur dioxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
