,Site Name,Date,DMean PM10,PM_UNITS,PM10 AQI,PM-WEIGHT,LAt,Lng,DMax NO2,NO2 Units,NO2 AQI,NO2-WEIGHT,DMax Ozone,Ozone Units,Ozone AQI,OZONE-WEIGHT,DMax SO2,SO2 Units,SO2 AQI,SO2-WEIGHT,DMax CO,CO Units,CO AQI,CO-WEIGHT
0,SEATTLE - BEACON HILL,1/2/2018,13.0,ug/m3 SC,12.0,1.0,47.568236,-122.308628,26.5,ppb,25.0,24.0,0.004,ppm,4.0,17.0,1.2,ppb,1.0,23.0,0.4,ppm,5.0,24.0
2,SEATTLE - BEACON HILL,1/11/2018,3.0,ug/m3 SC,3.0,1.0,47.568236,-122.308628,24.1,ppb,23.0,24.0,0.032,ppm,30.0,17.0,0.5,ppb,0.0,24.0,0.3,ppm,3.0,24.0
3,SEATTLE - BEACON HILL,1/14/2018,11.0,ug/m3 SC,10.0,1.0,47.568236,-122.308628,24.0,ppb,23.0,23.0,0.003,ppm,3.0,17.0,2.2,ppb,3.0,19.0,0.4,ppm,5.0,24.0
4,SEATTLE - BEACON HILL,1/20/2018,4.0,ug/m3 SC,4.0,1.0,47.568236,-122.308628,14.8,ppb,13.0,23.0,0.036,ppm,33.0,17.0,0.3,ppb,0.0,22.0,0.2,ppm,2.0,24.0
5,SEATTLE - BEACON HILL,1/23/2018,3.0,ug/m3 SC,3.0,1.0,47.568236,-122.308628,34.6,ppb,32.0,22.0,0.027,ppm,25.0,17.0,1.1,ppb,1.0,22.0,0.3,ppm,3.0,24.0
6,SEATTLE - BEACON HILL,1/26/2018,2.0,ug/m3 SC,2.0,1.0,47.568236,-122.308628,16.4,ppb,15.0,23.0,0.03,ppm,28.0,17.0,0.3,ppb,0.0,20.0,0.2,ppm,2.0,24.0
8,SEATTLE - BEACON HILL,2/1/2018,5.0,ug/m3 SC,5.0,1.0,47.568236,-122.308628,27.0,ppb,25.0,24.0,0.017,ppm,16.0,17.0,1.2,ppb,1.0,21.0,0.3,ppm,3.0,24.0
10,SEATTLE - BEACON HILL,2/7/2018,7.0,ug/m3 SC,6.0,1.0,47.568236,-122.308628,21.9,ppb,20.0,24.0,0.017,ppm,16.0,17.0,1.6,ppb,1.0,21.0,0.3,ppm,3.0,24.0
11,SEATTLE - BEACON HILL,2/10/2018,10.0,ug/m3 SC,9.0,1.0,47.568236,-122.308628,29.0,ppb,27.0,22.0,0.021,ppm,19.0,17.0,1.2,ppb,1.0,24.0,0.3,ppm,3.0,24.0
12,SEATTLE - BEACON HILL,2/13/2018,14.0,ug/m3 SC,13.0,1.0,47.568236,-122.308628,31.4,ppb,29.0,23.0,0.031,ppm,29.0,17.0,2.1,ppb,3.0,21.0,0.4,ppm,5.0,24.0
13,SEATTLE - BEACON HILL,2/16/2018,3.0,ug/m3 SC,3.0,1.0,47.568236,-122.308628,9.6,ppb,8.0,22.0,0.031,ppm,29.0,17.0,1.1,ppb,1.0,24.0,0.2,ppm,2.0,24.0
14,SEATTLE - BEACON HILL,2/19/2018,6.0,ug/m3 SC,6.0,1.0,47.568236,-122.308628,17.8,ppb,16.0,23.0,0.037,ppm,34.0,17.0,1.0,ppb,1.0,22.0,0.3,ppm,3.0,24.0
15,SEATTLE - BEACON HILL,2/22/2018,5.0,ug/m3 SC,5.0,1.0,47.568236,-122.308628,19.7,ppb,18.0,22.0,0.035,ppm,32.0,17.0,1.0,ppb,1.0,21.0,0.2,ppm,2.0,24.0
16,SEATTLE - BEACON HILL,2/25/2018,5.0,ug/m3 SC,5.0,1.0,47.568236,-122.308628,12.0,ppb,11.0,24.0,0.038,ppm,35.0,17.0,1.2,ppb,1.0,20.0,0.2,ppm,2.0,24.0
17,SEATTLE - BEACON HILL,2/28/2018,7.0,ug/m3 SC,6.0,1.0,47.568236,-122.308628,20.7,ppb,19.0,24.0,0.032,ppm,30.0,17.0,1.3,ppb,1.0,21.0,0.3,ppm,3.0,24.0
18,SEATTLE - BEACON HILL,3/3/2018,7.0,ug/m3 SC,6.0,1.0,47.568236,-122.308628,16.8,ppb,15.0,24.0,0.031,ppm,29.0,17.0,1.1,ppb,1.0,22.0,0.3,ppm,3.0,24.0
19,SEATTLE - BEACON HILL,3/6/2018,7.0,ug/m3 SC,6.0,1.0,47.568236,-122.308628,14.1,ppb,13.0,24.0,0.032,ppm,30.0,17.0,1.2,ppb,1.0,24.0,0.3,ppm,3.0,24.0
20,SEATTLE - BEACON HILL,3/9/2018,8.0,ug/m3 SC,7.0,1.0,47.568236,-122.308628,16.6,ppb,15.0,24.0,0.037,ppm,34.0,17.0,1.4,ppb,1.0,22.0,0.2,ppm,2.0,10.0
21,SEATTLE - BEACON HILL,3/12/2018,15.0,ug/m3 SC,14.0,1.0,47.568236,-122.308628,36.7,ppb,34.0,24.0,0.042,ppm,39.0,17.0,2.9,ppb,3.0,21.0,0.4,ppm,5.0,12.0
22,SEATTLE - BEACON HILL,3/15/2018,9.0,ug/m3 SC,8.0,1.0,47.568236,-122.308628,25.0,ppb,24.0,23.0,0.032,ppm,30.0,17.0,2.1,ppb,3.0,22.0,0.3,ppm,3.0,24.0
23,SEATTLE - BEACON HILL,3/18/2018,5.0,ug/m3 SC,5.0,1.0,47.568236,-122.308628,15.4,ppb,14.0,23.0,0.038,ppm,35.0,17.0,1.3,ppb,1.0,19.0,0.2,ppm,2.0,24.0
24,SEATTLE - BEACON HILL,3/21/2018,16.0,ug/m3 SC,15.0,1.0,47.568236,-122.308628,39.7,ppb,37.0,23.0,0.021,ppm,19.0,17.0,3.3,ppb,4.0,24.0,0.4,ppm,5.0,24.0
25,SEATTLE - BEACON HILL,3/24/2018,4.0,ug/m3 SC,4.0,1.0,47.568236,-122.308628,25.0,ppb,24.0,22.0,0.039,ppm,36.0,17.0,6.3,ppb,9.0,20.0,0.2,ppm,2.0,24.0
26,SEATTLE - BEACON HILL,3/27/2018,3.0,ug/m3 SC,3.0,1.0,47.568236,-122.308628,7.9,ppb,7.0,24.0,0.036,ppm,33.0,17.0,0.2,ppb,0.0,22.0,0.2,ppm,2.0,24.0
27,SEATTLE - BEACON HILL,3/30/2018,6.0,ug/m3 SC,6.0,1.0,47.568236,-122.308628,32.7,ppb,30.0,24.0,0.035,ppm,32.0,17.0,0.4,ppb,0.0,22.0,0.2,ppm,2.0,24.0
28,SEATTLE - BEACON HILL,4/2/2018,7.0,ug/m3 SC,6.0,1.0,47.568236,-122.308628,22.0,ppb,21.0,23.0,0.039,ppm,36.0,17.0,0.7,ppb,0.0,21.0,0.2,ppm,2.0,24.0
29,SEATTLE - BEACON HILL,4/5/2018,6.0,ug/m3 SC,6.0,1.0,47.568236,-122.308628,24.7,ppb,23.0,18.0,0.018,ppm,17.0,17.0,1.8,ppb,1.0,20.0,0.3,ppm,3.0,24.0
31,SEATTLE - BEACON HILL,4/11/2018,5.0,ug/m3 SC,5.0,1.0,47.568236,-122.308628,11.5,ppb,10.0,21.0,0.045,ppm,42.0,17.0,0.5,ppb,0.0,18.0,0.2,ppm,2.0,24.0
32,SEATTLE - BEACON HILL,4/14/2018,3.0,ug/m3 SC,3.0,1.0,47.568236,-122.308628,19.1,ppb,18.0,24.0,0.035,ppm,32.0,17.0,0.3,ppb,0.0,22.0,0.2,ppm,2.0,24.0
33,SEATTLE - BEACON HILL,4/17/2018,8.0,ug/m3 SC,7.0,1.0,47.568236,-122.308628,12.3,ppb,11.0,24.0,0.041,ppm,38.0,17.0,0.3,ppb,0.0,22.0,0.2,ppm,2.0,24.0
34,SEATTLE - BEACON HILL,4/20/2018,9.0,ug/m3 SC,8.0,1.0,47.568236,-122.308628,20.5,ppb,19.0,24.0,0.043,ppm,40.0,17.0,1.1,ppb,1.0,22.0,0.3,ppm,3.0,24.0
35,SEATTLE - BEACON HILL,4/23/2018,10.0,ug/m3 SC,9.0,1.0,47.568236,-122.308628,39.3,ppb,37.0,24.0,0.039,ppm,36.0,17.0,0.6,ppb,0.0,21.0,0.2,ppm,2.0,24.0
