,Site Name,Date,DMean PM10,PM_UNITS,PM10 AQI,PM-WEIGHT,Lat,Lng,DMax NO2,NO2 Units,NO2 AQI,NO2-WEIGHT,DMax Ozone,Ozone Units,Ozone AQI,OZONE-WEIGHT,DMax SO2,SO2 Units,SO2 AQI,SO2-WEIGHT,DMax CO,CO Units,CO AQI,CO-WEIGHT
0,Cheyenne SLAMS site,1/2/2018,12.0,ug/m3 SC,11.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
1,Cheyenne SLAMS site,1/2/2018,12.0,ug/m3 SC,11.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
2,Cheyenne SLAMS site,1/8/2018,14.0,ug/m3 SC,13.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
3,Cheyenne SLAMS site,1/14/2018,3.0,ug/m3 SC,3.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
4,Cheyenne SLAMS site,1/14/2018,3.0,ug/m3 SC,3.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
5,Cheyenne SLAMS site,1/20/2018,3.0,ug/m3 SC,3.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
6,Cheyenne SLAMS site,1/26/2018,4.0,ug/m3 SC,4.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
7,Cheyenne SLAMS site,1/26/2018,4.0,ug/m3 SC,4.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
8,Cheyenne SLAMS site,2/1/2018,10.0,ug/m3 SC,9.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
9,Cheyenne SLAMS site,2/7/2018,5.0,ug/m3 SC,5.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
10,Cheyenne SLAMS site,2/7/2018,6.0,ug/m3 SC,6.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
11,Cheyenne SLAMS site,2/13/2018,9.0,ug/m3 SC,8.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
12,Cheyenne SLAMS site,2/19/2018,6.0,ug/m3 SC,6.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
13,Cheyenne SLAMS site,2/19/2018,5.0,ug/m3 SC,5.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
14,Cheyenne SLAMS site,2/25/2018,3.0,ug/m3 SC,3.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
15,Cheyenne SLAMS site,3/3/2018,11.0,ug/m3 SC,10.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
16,Cheyenne SLAMS site,3/3/2018,12.0,ug/m3 SC,11.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
17,Cheyenne SLAMS site,3/9/2018,8.0,ug/m3 SC,7.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
18,Cheyenne SLAMS site,3/15/2018,12.0,ug/m3 SC,11.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
19,Cheyenne SLAMS site,3/15/2018,11.0,ug/m3 SC,10.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
20,Cheyenne SLAMS site,3/21/2018,7.0,ug/m3 SC,6.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
21,Cheyenne SLAMS site,3/27/2018,7.0,ug/m3 SC,6.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
22,Cheyenne SLAMS site,3/27/2018,8.0,ug/m3 SC,7.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
23,Cheyenne SLAMS site,4/2/2018,10.0,ug/m3 SC,9.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
24,Cheyenne SLAMS site,4/8/2018,4.0,ug/m3 SC,4.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
25,Cheyenne SLAMS site,4/8/2018,4.0,ug/m3 SC,4.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
26,Cheyenne SLAMS site,4/14/2018,4.0,ug/m3 SC,4.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
27,Cheyenne SLAMS site,4/14/2018,5.0,ug/m3 SC,5.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
28,Cheyenne SLAMS site,4/20/2018,22.0,ug/m3 SC,20.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
29,Cheyenne SLAMS site,4/20/2018,22.0,ug/m3 SC,20.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
30,Cheyenne SLAMS site,4/26/2018,12.0,ug/m3 SC,11.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
31,Cheyenne SLAMS site,5/2/2018,5.0,ug/m3 SC,5.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
32,Cheyenne SLAMS site,5/2/2018,5.0,ug/m3 SC,5.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
33,Cheyenne SLAMS site,5/8/2018,10.0,ug/m3 SC,9.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
34,Cheyenne SLAMS site,5/8/2018,10.0,ug/m3 SC,9.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
35,Cheyenne SLAMS site,5/14/2018,6.0,ug/m3 SC,6.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
36,Cheyenne SLAMS site,5/14/2018,7.0,ug/m3 SC,6.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
37,Cheyenne SLAMS site,5/20/2018,4.0,ug/m3 SC,4.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
38,Cheyenne SLAMS site,5/26/2018,17.0,ug/m3 SC,16.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
