,Site Name,Date,DMean PM10,PM_UNITS,PM10 AQI,PM-WEIGHT,NYt,Lng,DMax NO2,NO2 Units,NO2 AQI,NO2-WEIGHT,DMax Ozone,Ozone Units,Ozone AQI,OZONE-WEIGHT,DMax SO2,SO2 Units,SO2 AQI,SO2-WEIGHT,DMax CO,CO Units,CO AQI,CO-WEIGHT
0,Newark Firehouse,1/2/2018,16.0,ug/m3 SC,15.0,1.0,40.720989,-74.192892,29.0,ppb,27.0,24.0,0.025,ppm,23.0,17.0,1.4,ppb,1.0,24.0,0.3,ppm,3.0,24.0
1,Newark Firehouse,1/5/2018,6.0,ug/m3 SC,6.0,1.0,40.720989,-74.192892,10.0,ppb,9.0,24.0,0.033,ppm,31.0,17.0,0.5,ppb,0.0,24.0,0.2,ppm,2.0,24.0
2,Newark Firehouse,1/8/2018,26.0,ug/m3 SC,24.0,1.0,40.720989,-74.192892,36.0,ppb,34.0,24.0,0.013,ppm,12.0,17.0,3.3,ppb,4.0,23.0,0.4,ppm,5.0,24.0
3,Newark Firehouse,1/11/2018,40.0,ug/m3 SC,37.0,1.0,40.720989,-74.192892,77.0,ppb,76.0,24.0,0.001,ppm,1.0,17.0,4.9,ppb,6.0,24.0,1.6,ppm,18.0,24.0
4,Newark Firehouse,1/17/2018,16.0,ug/m3 SC,15.0,1.0,40.720989,-74.192892,34.0,ppb,32.0,24.0,0.019,ppm,18.0,17.0,0.7,ppb,0.0,24.0,1.0,ppm,11.0,24.0
5,Newark Firehouse,1/20/2018,20.0,ug/m3 SC,19.0,1.0,40.720989,-74.192892,43.0,ppb,41.0,24.0,0.033,ppm,31.0,17.0,1.7,ppb,1.0,24.0,0.6,ppm,7.0,24.0
6,Newark Firehouse,1/23/2018,13.0,ug/m3 SC,12.0,1.0,40.720989,-74.192892,48.0,ppb,45.0,24.0,0.027,ppm,25.0,17.0,0.8,ppb,0.0,24.0,0.9,ppm,10.0,24.0
7,Newark Firehouse,1/26/2018,14.0,ug/m3 SC,13.0,1.0,40.720989,-74.192892,37.0,ppb,35.0,24.0,0.019,ppm,18.0,17.0,0.7,ppb,0.0,24.0,0.5,ppm,6.0,24.0
8,Newark Firehouse,1/29/2018,13.0,ug/m3 SC,12.0,1.0,40.720989,-74.192892,29.0,ppb,27.0,24.0,0.021,ppm,19.0,17.0,0.3,ppb,0.0,21.0,0.4,ppm,5.0,24.0
9,Newark Firehouse,2/1/2018,18.0,ug/m3 SC,17.0,1.0,40.720989,-74.192892,38.0,ppb,36.0,24.0,0.015,ppm,14.0,17.0,1.4,ppb,1.0,24.0,0.6,ppm,7.0,24.0
