Site Num,SO2 1st Max Value,Address,State Code,N,O3 1st Max Hour,O3 Units,County,City,State,O3 1st Max Value,SO2 Units,Date Local,CO 1st Max Value,CO Units,SO2 1st Max Hour,SO2 Mean,NO2 AQI,CO Mean,NO2 1st Max Value,NO2 1st Max Hour,SO2 AQI,CO 1st Max Hour,County Code,O3 AQI,NO2 Mean,O3 Mean,CO AQI,NO2 Units
80,0.9,4103 BEACON HILL S,53,132994,9,Parts per million,King,Seattle,Washington,0.02,Parts per billion,8/1/2013,0.162,Parts per million,4,0.4625,7,0.129708,7,6,0,6,33,19,3.704167,0.017042,,Parts per billion
80,0.9,4103 BEACON HILL S,53,132995,9,Parts per million,King,Seattle,Washington,0.02,Parts per billion,8/1/2013,0.3,Parts per million,4,0.4625,7,0.129167,7,6,0,0,33,19,3.704167,0.017042,3,Parts per billion
80,0.8,4103 BEACON HILL S,53,132996,9,Parts per million,King,Seattle,Washington,0.02,Parts per billion,8/1/2013,0.162,Parts per million,5,0.4375,7,0.129708,7,6,,6,33,19,3.704167,0.017042,,Parts per billion
80,0.8,4103 BEACON HILL S,53,132997,9,Parts per million,King,Seattle,Washington,0.02,Parts per billion,8/1/2013,0.3,Parts per million,5,0.4375,7,0.129167,7,6,,0,33,19,3.704167,0.017042,3,Parts per billion
80,0.9,4103 BEACON HILL S,53,132998,0,Parts per million,King,Seattle,Washington,0.014,Parts per billion,8/2/2013,0.293,Parts per million,4,0.508696,21,0.170652,22.7,22,0,22,33,13,8.225,0.008958,,Parts per billion
80,0.9,4103 BEACON HILL S,53,132999,0,Parts per million,King,Seattle,Washington,0.014,Parts per billion,8/2/2013,0.2,Parts per million,4,0.508696,21,0.145833,22.7,22,0,13,33,13,8.225,0.008958,2,Parts per billion
80,0.7,4103 BEACON HILL S,53,133000,0,Parts per million,King,Seattle,Washington,0.014,Parts per billion,8/2/2013,0.293,Parts per million,5,0.5,21,0.170652,22.7,22,,22,33,13,8.225,0.008958,,Parts per billion
80,0.7,4103 BEACON HILL S,53,133001,0,Parts per million,King,Seattle,Washington,0.014,Parts per billion,8/2/2013,0.2,Parts per million,5,0.5,21,0.145833,22.7,22,,13,33,13,8.225,0.008958,2,Parts per billion
80,8.9,4103 BEACON HILL S,53,133002,12,Parts per million,King,Seattle,Washington,0.026,Parts per billion,8/3/2013,0.237,Parts per million,21,1.678261,23,0.198083,24,21,11,22,33,24,12.573913,0.012833,,Parts per billion
80,8.9,4103 BEACON HILL S,53,133003,12,Parts per million,King,Seattle,Washington,0.026,Parts per billion,8/3/2013,0.2,Parts per million,21,1.678261,23,0.2,24,21,11,0,33,24,12.573913,0.012833,2,Parts per billion
