D-AQI,PM10 AQI,NO2 AQI,Ozone AQI,SO2 AQI,CO AQI,PM-WEIGHT,DMax NO2,NO2-WEIGHT,DMax Ozone,OZONE-WEIGHT,DMax SO2,SO2-WEIGHT,DMax CO,CO-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
12,6,12,44,0,1,1,13.6,24,0.047,17,-0.2,24,0.1,24,2016,1,2,Cheyenne NCore,41.18222711,-104.7783342,1/2/2016
34,8,34,38,0,2,1,36,22,0.041,17,0.5,21,0.2,24,2016,1,3,Cheyenne NCore,41.18222711,-104.7783342,1/3/2016
37,13,37,32,1,2,1,39.5,24,0.035,17,1.2,24,0.2,24,2016,1,4,Cheyenne NCore,41.18222711,-104.7783342,1/4/2016
10,7,10,37,0,2,1,11.3,23,0.04,17,0.1,22,0.2,24,2016,1,5,Cheyenne NCore,41.18222711,-104.7783342,1/5/2016
24,7,24,36,0,2,1,25.4,24,0.039,17,0.3,24,0.2,24,2016,1,6,Cheyenne NCore,41.18222711,-104.7783342,1/6/2016
12,5,12,37,0,2,1,13.5,23,0.04,17,0.2,22,0.2,24,2016,1,7,Cheyenne NCore,41.18222711,-104.7783342,1/7/2016
13,8,13,25,3,2,1,14.1,24,0.027,17,2.3,24,0.2,24,2016,1,8,Cheyenne NCore,41.18222711,-104.7783342,1/8/2016
26,10,26,33,0,2,1,28.7,23,0.036,17,0.4,22,0.2,24,2016,1,9,Cheyenne NCore,41.18222711,-104.7783342,1/9/2016
8,6,8,40,0,2,1,8.5,23,0.043,17,0,23,0.2,24,2016,1,10,Cheyenne NCore,41.18222711,-104.7783342,1/10/2016
10,6,10,42,0,1,1,11.9,23,0.045,17,0.3,22,0.1,21,2016,1,11,Cheyenne NCore,41.18222711,-104.7783342,1/11/2016
8,6,8,43,0,1,1,8.3,24,0.046,17,0,23,0.1,24,2016,1,12,Cheyenne NCore,41.18222711,-104.7783342,1/12/2016
8,5,8,43,0,1,1,8.4,23,0.046,17,-0.1,22,0.1,24,2016,1,13,Cheyenne NCore,41.18222711,-104.7783342,1/13/2016
3,4,3,41,0,1,1,3.1,24,0.044,17,0,24,0.1,24,2016,1,14,Cheyenne NCore,41.18222711,-104.7783342,1/14/2016
4,2,4,40,0,1,1,4.5,23,0.043,17,0.1,22,0.1,24,2016,1,15,Cheyenne NCore,41.18222711,-104.7783342,1/15/2016
3,3,3,41,0,1,1,3.3,24,0.044,17,0,24,0.1,24,2016,1,16,Cheyenne NCore,41.18222711,-104.7783342,1/16/2016
13,5,13,42,0,1,1,14.3,22,0.045,17,0,21,0.1,24,2016,1,17,Cheyenne NCore,41.18222711,-104.7783342,1/17/2016
3,4,3,40,0,1,1,3.9,24,0.043,17,-0.1,24,0.1,24,2016,1,18,Cheyenne NCore,41.18222711,-104.7783342,1/18/2016
24,5,24,38,0,1,1,25.5,23,0.041,17,0.2,22,0.1,24,2016,1,19,Cheyenne NCore,41.18222711,-104.7783342,1/19/2016
8,3,8,41,0,1,1,8.7,23,0.044,17,0,23,0.1,24,2016,1,20,Cheyenne NCore,41.18222711,-104.7783342,1/20/2016
5,4,5,40,0,1,1,5.5,22,0.043,17,0,21,0.1,24,2016,1,21,Cheyenne NCore,41.18222711,-104.7783342,1/21/2016
31,8,31,37,7,2,1,33.6,24,0.04,17,5,24,0.2,24,2016,1,22,Cheyenne NCore,41.18222711,-104.7783342,1/22/2016
31,5,31,41,0,2,1,33.9,23,0.044,17,0.1,22,0.2,24,2016,1,23,Cheyenne NCore,41.18222711,-104.7783342,1/23/2016
8,4,8,41,0,1,1,9.1,23,0.044,17,0.1,23,0.1,24,2016,1,24,Cheyenne NCore,41.18222711,-104.7783342,1/24/2016
1,2,1,33,0,1,1,1.9,23,0.036,17,0,22,0.1,21,2016,1,25,Cheyenne NCore,41.18222711,-104.7783342,1/25/2016
8,5,8,40,0,1,1,9,24,0.043,17,-0.1,23,0.1,24,2016,1,26,Cheyenne NCore,41.18222711,-104.7783342,1/26/2016
3,4,3,40,0,1,1,3.4,23,0.043,17,-0.1,22,0.1,24,2016,1,27,Cheyenne NCore,41.18222711,-104.7783342,1/27/2016
4,3,4,39,0,1,1,4,24,0.042,17,-0.1,24,0.1,24,2016,1,28,Cheyenne NCore,41.18222711,-104.7783342,1/28/2016
10,6,10,41,0,1,1,11.6,23,0.044,17,0.3,22,0.1,24,2016,1,29,Cheyenne NCore,41.18222711,-104.7783342,1/29/2016
4,3,4,38,0,1,1,4.3,24,0.041,17,0.3,24,0.1,24,2016,1,30,Cheyenne NCore,41.18222711,-104.7783342,1/30/2016
2,4,2,41,0,1,1,2.8,22,0.044,17,0,21,0.1,24,2016,1,31,Cheyenne NCore,41.18222711,-104.7783342,1/31/2016
2,6,2,37,0,1,1,2.7,24,0.04,17,0.1,24,0.1,24,2016,2,1,Cheyenne NCore,41.18222711,-104.7783342,2/1/2016
1,2,1,38,0,1,1,1.7,23,0.041,17,0.1,22,0.1,24,2016,2,2,Cheyenne NCore,41.18222711,-104.7783342,2/2/2016
4,5,4,42,0,1,1,4.9,24,0.045,17,0.1,24,0.1,24,2016,2,3,Cheyenne NCore,41.18222711,-104.7783342,2/3/2016
2,7,2,44,0,1,1,2.4,23,0.048,17,-0.1,22,0.1,24,2016,2,4,Cheyenne NCore,41.18222711,-104.7783342,2/4/2016
2,4,2,43,0,1,1,2.5,24,0.046,17,-0.1,24,0.1,24,2016,2,5,Cheyenne NCore,41.18222711,-104.7783342,2/5/2016
1,7,1,44,0,1,1,1.9,23,0.048,17,-0.1,22,0.1,24,2016,2,6,Cheyenne NCore,41.18222711,-104.7783342,2/6/2016
2,5,2,41,0,1,1,2.7,23,0.044,17,0.1,23,0.1,24,2016,2,7,Cheyenne NCore,41.18222711,-104.7783342,2/7/2016
