D-AQI,DMean PM10,PM10 AQI,PM-WEIGHT,DMax NO2,NO2 AQI,NO2-WEIGHT,DMax Ozone,Ozone AQI,OZONE-WEIGHT,DMax SO2,SO2 AQI,SO2-WEIGHT,DMax CO,CO AQI,CO-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
,3,3,1,15,14,24,0.027,25,17,0.6,0,24,0.2,2,18,2016,01,01,Newark Firehouse,40.720989,-74.192892,1/1/2016
,4,4,1,20,19,24,0.03,28,17,0.4,0,23,0.4,5,24,2016,01,04,Newark Firehouse,40.720989,-74.192892,1/4/2016
,45,42,1,70,68,24,0.003,3,17,5.5,7,24,1.2,14,24,2016,01,07,Newark Firehouse,40.720989,-74.192892,1/7/2016
,12,11,1,27,25,21,0.028,26,17,0.5,0,24,0.4,5,24,2016,01,10,Newark Firehouse,40.720989,-74.192892,1/10/2016
,10,9,1,19,18,24,0.028,26,17,2.5,3,24,0.4,5,24,2016,01,13,Newark Firehouse,40.720989,-74.192892,1/13/2016
,7,6,1,47,44,24,0.028,26,17,0.9,0,24,0.9,10,24,2016,01,16,Newark Firehouse,40.720989,-74.192892,1/16/2016
,6,6,1,13,12,24,0.03,28,17,1,1,24,0.2,2,24,2016,01,19,Newark Firehouse,40.720989,-74.192892,1/19/2016
,6,6,1,34,32,24,0.029,27,17,0.8,0,24,0.3,3,24,2016,01,22,Newark Firehouse,40.720989,-74.192892,1/22/2016
,23,21,1,49,46,24,0.014,13,17,2.1,3,23,1,11,24,2016,01,25,Newark Firehouse,40.720989,-74.192892,1/25/2016
,26,24,1,95,95,21,0.018,17,17,3.5,4,24,2.3,26,24,2016,01,28,Newark Firehouse,40.720989,-74.192892,1/28/2016
,21,19,1,50,47,21,0.023,21,17,1.8,1,24,1,11,24,2016,01,31,Newark Firehouse,40.720989,-74.192892,1/31/2016
,16,15,1,47,44,24,0.009,8,17,0.9,0,24,0.6,7,24,2016,02,03,Newark Firehouse,40.720989,-74.192892,2/3/2016
,13,12,1,37,35,24,0.026,24,17,1.3,1,24,0.5,6,24,2016,02,06,Newark Firehouse,40.720989,-74.192892,2/6/2016
,17,16,1,38,36,24,0.019,18,17,0.6,0,24,0.5,6,24,2016,02,09,Newark Firehouse,40.720989,-74.192892,2/9/2016
,8,7,1,25,24,24,0.032,30,17,1.2,1,24,0.3,3,24,2016,02,12,Newark Firehouse,40.720989,-74.192892,2/12/2016
,6,6,1,21,20,24,0.033,31,17,0.3,0,24,0.3,3,24,2016,02,18,Newark Firehouse,40.720989,-74.192892,2/18/2016
,10,9,1,44,42,21,0.031,29,17,1.5,1,24,0.7,8,24,2016,02,21,Newark Firehouse,40.720989,-74.192892,2/21/2016
