Day-Result,D-AQI,PM10 AQI,NO2 AQI,Ozone AQI,SO2 AQI,CO AQI,DMean PM10,PM-WEIGHT,DMax NO2,NO2-WEIGHT,DMax Ozone,OZONE-WEIGHT,DMax SO2,SO2-WEIGHT,DMax CO,CO-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
Good,25,3,14,25,0,2,3,1,15,24,0.027,17,0.6,24,0.2,18,2016,1,1,Newark Firehouse,40.720989,-74.192892,1/1/2016
Good,28,4,19,28,0,5,4,1,20,24,0.03,17,0.4,23,0.4,24,2016,1,4,Newark Firehouse,40.720989,-74.192892,1/4/2016
Moderate Pollution,68,42,68,3,7,14,45,1,70,24,0.003,17,5.5,24,1.2,24,2016,1,7,Newark Firehouse,40.720989,-74.192892,1/7/2016
Good,26,11,25,26,0,5,12,1,27,21,0.028,17,0.5,24,0.4,24,2016,1,10,Newark Firehouse,40.720989,-74.192892,1/10/2016
Good,26,9,18,26,3,5,10,1,19,24,0.028,17,2.5,24,0.4,24,2016,1,13,Newark Firehouse,40.720989,-74.192892,1/13/2016
Good,44,6,44,26,0,10,7,1,47,24,0.028,17,0.9,24,0.9,24,2016,1,16,Newark Firehouse,40.720989,-74.192892,1/16/2016
Good,28,6,12,28,1,2,6,1,13,24,0.03,17,1,24,0.2,24,2016,1,19,Newark Firehouse,40.720989,-74.192892,1/19/2016
Good,32,6,32,27,0,3,6,1,34,24,0.029,17,0.8,24,0.3,24,2016,1,22,Newark Firehouse,40.720989,-74.192892,1/22/2016
Good,46,21,46,13,3,11,23,1,49,24,0.014,17,2.1,23,1,24,2016,1,25,Newark Firehouse,40.720989,-74.192892,1/25/2016
Moderate Pollution,95,24,95,17,4,26,26,1,95,21,0.018,17,3.5,24,2.3,24,2016,1,28,Newark Firehouse,40.720989,-74.192892,1/28/2016
Good,47,19,47,21,1,11,21,1,50,21,0.023,17,1.8,24,1,24,2016,1,31,Newark Firehouse,40.720989,-74.192892,1/31/2016
Good,44,15,44,8,0,7,16,1,47,24,0.009,17,0.9,24,0.6,24,2016,2,3,Newark Firehouse,40.720989,-74.192892,2/3/2016
Good,35,12,35,24,1,6,13,1,37,24,0.026,17,1.3,24,0.5,24,2016,2,6,Newark Firehouse,40.720989,-74.192892,2/6/2016
Good,36,16,36,18,0,6,17,1,38,24,0.019,17,0.6,24,0.5,24,2016,2,9,Newark Firehouse,40.720989,-74.192892,2/9/2016
Good,30,7,24,30,1,3,8,1,25,24,0.032,17,1.2,24,0.3,24,2016,2,12,Newark Firehouse,40.720989,-74.192892,2/12/2016
Good,31,6,20,31,0,3,6,1,21,24,0.033,17,0.3,24,0.3,24,2016,2,18,Newark Firehouse,40.720989,-74.192892,2/18/2016
Good,42,9,42,29,1,8,10,1,44,21,0.031,17,1.5,24,0.7,24,2016,2,21,Newark Firehouse,40.720989,-74.192892,2/21/2016
Good,39,7,39,24,0,6,8,1,41,24,0.026,17,0.5,24,0.5,24,2016,2,24,Newark Firehouse,40.720989,-74.192892,2/24/2016
Good,33,6,33,32,0,3,6,1,35,24,0.035,17,0.9,24,0.3,24,2016,2,27,Newark Firehouse,40.720989,-74.192892,2/27/2016
Good,31,12,30,31,1,3,13,1,32,24,0.033,17,1,24,0.3,24,2016,3,1,Newark Firehouse,40.720989,-74.192892,3/1/2016
Moderate Pollution,57,18,57,15,3,16,19,1,60,24,0.016,17,2.5,24,1.4,24,2016,3,16,Newark Firehouse,40.720989,-74.192892,3/16/2016
Good,34,4,31,34,0,3,4,1,33,24,0.037,17,0.3,24,0.3,24,2016,3,19,Newark Firehouse,40.720989,-74.192892,3/19/2016
Good,37,9,31,37,1,3,10,1,33,21,0.04,17,1,24,0.3,24,2016,3,22,Newark Firehouse,40.720989,-74.192892,3/22/2016
Good,37,25,37,37,1,8,27,1,39,24,0.04,17,1.1,24,0.7,24,2016,3,25,Newark Firehouse,40.720989,-74.192892,3/25/2016
Good,37,6,31,37,0,5,6,1,33,24,0.04,17,0.2,23,0.4,24,2016,3,28,Newark Firehouse,40.720989,-74.192892,3/28/2016
Good,46,19,46,44,1,3,20,1,49,24,0.047,17,1.3,24,0.3,24,2016,3,31,Newark Firehouse,40.720989,-74.192892,3/31/2016
Good,37,4,13,37,0,2,4,1,14,21,0.04,17,0.1,24,0.2,24,2016,4,3,Newark Firehouse,40.720989,-74.192892,4/3/2016
Good,43,13,43,35,0,5,14,1,46,24,0.038,17,0.9,24,0.4,24,2016,4,6,Newark Firehouse,40.720989,-74.192892,4/6/2016
Good,37,6,37,32,0,7,7,1,39,24,0.035,17,0.8,24,0.6,24,2016,4,9,Newark Firehouse,40.720989,-74.192892,4/9/2016
