Day-Result,D-AQI,PM10 AQI,NO2 AQI,Ozone AQI,SO2 AQI,CO AQI,DMean PM10,PM-WEIGHT,DMax NO2,NO2-WEIGHT,DMax Ozone,OZONE-WEIGHT,DMax SO2,SO2-WEIGHT,DMax CO,CO-WEIGHT,Year,Month,Day,Site Name,LAt,Lng,Date
Good,46,6,8,46,0,3,7,1,8,23,0.05,17,0.3,23,0.3,24,2016,8,27,Millbrook School,35.856111,-78.574167,8/27/2016
Good,44,6,2,44,0,2,7,1,2,23,0.047,17,0.2,23,0.2,24,2016,8,28,Millbrook School,35.856111,-78.574167,8/28/2016
Good,44,14,2,44,0,2,15,1,2,23,0.047,17,0.2,23,0.2,24,2016,8,28,Millbrook School,35.856111,-78.574167,8/28/2016
Good,44,14,2,44,0,2,15,1,2,23,0.047,17,0.2,23,0.2,24,2016,8,28,Millbrook School,35.856111,-78.574167,8/28/2016
Good,27,8,6,27,0,2,9,1,6.7,23,0.029,17,0.2,23,0.2,24,2016,9,2,Millbrook School,35.856111,-78.574167,9/2/2016
Good,44,21,5,44,0,3,23,1,5.2,23,0.047,17,0.5,23,0.3,24,2016,9,10,Millbrook School,35.856111,-78.574167,9/10/2016
Good,48,16,3,48,0,2,17,1,3,23,0.052,17,0.5,23,0.2,24,2016,9,11,Millbrook School,35.856111,-78.574167,9/11/2016
Good,43,17,7,43,0,2,18,1,7.2,23,0.046,17,0.4,23,0.2,24,2016,9,12,Millbrook School,35.856111,-78.574167,9/12/2016
Good,43,14,7,43,0,2,15,1,7.2,23,0.046,17,0.4,23,0.2,24,2016,9,12,Millbrook School,35.856111,-78.574167,9/12/2016
Good,44,15,10,44,0,2,16,1,11.3,23,0.047,17,0.3,23,0.2,24,2016,9,13,Millbrook School,35.856111,-78.574167,9/13/2016
Moderate Pollution,67,18,12,67,0,3,19,1,13.9,23,0.06,17,0.5,23,0.3,24,2016,9,14,Millbrook School,35.856111,-78.574167,9/14/2016
