D-AQI,DMean PM10,PM10 AQI,PM-WEIGHT,DMax NO2,NO2 AQI,NO2-WEIGHT,DMax Ozone,Ozone AQI,OZONE-WEIGHT,DMax SO2,SO2 AQI,SO2-WEIGHT,DMax CO,CO AQI,CO-WEIGHT,Year,Month,Day,Site Name,LAt,Lng,Date
,13,12,1,26.5,25,24,0.004,4,17,1.2,1,23,0.4,5,24,2018,01,02,SEATTLE - BEACON HILL,47.568236,-122.308628,1/2/2018
,3,3,1,24.1,23,24,0.032,30,17,0.5,0,24,0.3,3,24,2018,01,11,SEATTLE - BEACON HILL,47.568236,-122.308628,1/11/2018
,11,10,1,24,23,23,0.003,3,17,2.2,3,19,0.4,5,24,2018,01,14,SEATTLE - BEACON HILL,47.568236,-122.308628,1/14/2018
,4,4,1,14.8,13,23,0.036,33,17,0.3,0,22,0.2,2,24,2018,01,20,SEATTLE - BEACON HILL,47.568236,-122.308628,1/20/2018
,3,3,1,34.6,32,22,0.027,25,17,1.1,1,22,0.3,3,24,2018,01,23,SEATTLE - BEACON HILL,47.568236,-122.308628,1/23/2018
,2,2,1,16.4,15,23,0.03,28,17,0.3,0,20,0.2,2,24,2018,01,26,SEATTLE - BEACON HILL,47.568236,-122.308628,1/26/2018
,5,5,1,27,25,24,0.017,16,17,1.2,1,21,0.3,3,24,2018,02,01,SEATTLE - BEACON HILL,47.568236,-122.308628,2/1/2018
,7,6,1,21.9,20,24,0.017,16,17,1.6,1,21,0.3,3,24,2018,02,07,SEATTLE - BEACON HILL,47.568236,-122.308628,2/7/2018
,10,9,1,29,27,22,0.021,19,17,1.2,1,24,0.3,3,24,2018,02,10,SEATTLE - BEACON HILL,47.568236,-122.308628,2/10/2018
,14,13,1,31.4,29,23,0.031,29,17,2.1,3,21,0.4,5,24,2018,02,13,SEATTLE - BEACON HILL,47.568236,-122.308628,2/13/2018
,3,3,1,9.6,8,22,0.031,29,17,1.1,1,24,0.2,2,24,2018,02,16,SEATTLE - BEACON HILL,47.568236,-122.308628,2/16/2018
,6,6,1,17.8,16,23,0.037,34,17,1,1,22,0.3,3,24,2018,02,19,SEATTLE - BEACON HILL,47.568236,-122.308628,2/19/2018
,5,5,1,19.7,18,22,0.035,32,17,1,1,21,0.2,2,24,2018,02,22,SEATTLE - BEACON HILL,47.568236,-122.308628,2/22/2018
,5,5,1,12,11,24,0.038,35,17,1.2,1,20,0.2,2,24,2018,02,25,SEATTLE - BEACON HILL,47.568236,-122.308628,2/25/2018
,7,6,1,20.7,19,24,0.032,30,17,1.3,1,21,0.3,3,24,2018,02,28,SEATTLE - BEACON HILL,47.568236,-122.308628,2/28/2018
,7,6,1,16.8,15,24,0.031,29,17,1.1,1,22,0.3,3,24,2018,03,03,SEATTLE - BEACON HILL,47.568236,-122.308628,3/3/2018
,7,6,1,14.1,13,24,0.032,30,17,1.2,1,24,0.3,3,24,2018,03,06,SEATTLE - BEACON HILL,47.568236,-122.308628,3/6/2018
,8,7,1,16.6,15,24,0.037,34,17,1.4,1,22,0.2,2,10,2018,03,09,SEATTLE - BEACON HILL,47.568236,-122.308628,3/9/2018
,15,14,1,36.7,34,24,0.042,39,17,2.9,3,21,0.4,5,12,2018,03,12,SEATTLE - BEACON HILL,47.568236,-122.308628,3/12/2018
,9,8,1,25,24,23,0.032,30,17,2.1,3,22,0.3,3,24,2018,03,15,SEATTLE - BEACON HILL,47.568236,-122.308628,3/15/2018
,5,5,1,15.4,14,23,0.038,35,17,1.3,1,19,0.2,2,24,2018,03,18,SEATTLE - BEACON HILL,47.568236,-122.308628,3/18/2018
,16,15,1,39.7,37,23,0.021,19,17,3.3,4,24,0.4,5,24,2018,03,21,SEATTLE - BEACON HILL,47.568236,-122.308628,3/21/2018
,4,4,1,25,24,22,0.039,36,17,6.3,9,20,0.2,2,24,2018,03,24,SEATTLE - BEACON HILL,47.568236,-122.308628,3/24/2018
,3,3,1,7.9,7,24,0.036,33,17,0.2,0,22,0.2,2,24,2018,03,27,SEATTLE - BEACON HILL,47.568236,-122.308628,3/27/2018
,6,6,1,32.7,30,24,0.035,32,17,0.4,0,22,0.2,2,24,2018,03,30,SEATTLE - BEACON HILL,47.568236,-122.308628,3/30/2018
,7,6,1,22,21,23,0.039,36,17,0.7,0,21,0.2,2,24,2018,04,02,SEATTLE - BEACON HILL,47.568236,-122.308628,4/2/2018
,6,6,1,24.7,23,18,0.018,17,17,1.8,1,20,0.3,3,24,2018,04,05,SEATTLE - BEACON HILL,47.568236,-122.308628,4/5/2018
,5,5,1,11.5,10,21,0.045,42,17,0.5,0,18,0.2,2,24,2018,04,11,SEATTLE - BEACON HILL,47.568236,-122.308628,4/11/2018
,3,3,1,19.1,18,24,0.035,32,17,0.3,0,22,0.2,2,24,2018,04,14,SEATTLE - BEACON HILL,47.568236,-122.308628,4/14/2018
