Day-Result,D-AQI,PM10 AQI,NO2 AQI,Ozone AQI,SO2 AQI,CO AQI,DMean PM10,PM-WEIGHT,DMax NO2,NO2-WEIGHT,DMax Ozone,OZONE-WEIGHT,DMax SO2,SO2-WEIGHT,DMax CO,CO-WEIGHT,Year,Month,Day,Site Name,LAt,Lng,Date
Good,25,,25,4,1,5,13,1,26.5,24,0.004,17,1.2,23,0.4,24,2018,1,2,SEATTLE - BEACON HILL,47.568236,-122.308628,1/2/2018
Good,30,3,23,30,0,3,3,1,24.1,24,0.032,17,0.5,24,0.3,24,2018,1,11,SEATTLE - BEACON HILL,47.568236,-122.308628,1/11/2018
Good,23,10,23,3,3,5,11,1,24,23,0.003,17,2.2,19,0.4,24,2018,1,14,SEATTLE - BEACON HILL,47.568236,-122.308628,1/14/2018
Good,33,4,13,33,0,2,4,1,14.8,23,0.036,17,0.3,22,0.2,24,2018,1,20,SEATTLE - BEACON HILL,47.568236,-122.308628,1/20/2018
Good,32,3,32,25,1,3,3,1,34.6,22,0.027,17,1.1,22,0.3,24,2018,1,23,SEATTLE - BEACON HILL,47.568236,-122.308628,1/23/2018
Good,28,2,15,28,0,2,2,1,16.4,23,0.03,17,0.3,20,0.2,24,2018,1,26,SEATTLE - BEACON HILL,47.568236,-122.308628,1/26/2018
Good,25,5,25,16,1,3,5,1,27,24,0.017,17,1.2,21,0.3,24,2018,2,1,SEATTLE - BEACON HILL,47.568236,-122.308628,2/1/2018
Good,20,6,20,16,1,3,7,1,21.9,24,0.017,17,1.6,21,0.3,24,2018,2,7,SEATTLE - BEACON HILL,47.568236,-122.308628,2/7/2018
Good,27,9,27,19,1,3,10,1,29,22,0.021,17,1.2,24,0.3,24,2018,2,10,SEATTLE - BEACON HILL,47.568236,-122.308628,2/10/2018
Good,29,13,29,29,3,5,14,1,31.4,23,0.031,17,2.1,21,0.4,24,2018,2,13,SEATTLE - BEACON HILL,47.568236,-122.308628,2/13/2018
Good,29,3,8,29,1,2,3,1,9.6,22,0.031,17,1.1,24,0.2,24,2018,2,16,SEATTLE - BEACON HILL,47.568236,-122.308628,2/16/2018
Good,34,6,16,34,1,3,6,1,17.8,23,0.037,17,1,22,0.3,24,2018,2,19,SEATTLE - BEACON HILL,47.568236,-122.308628,2/19/2018
Good,32,5,18,32,1,2,5,1,19.7,22,0.035,17,1,21,0.2,24,2018,2,22,SEATTLE - BEACON HILL,47.568236,-122.308628,2/22/2018
Good,35,5,11,35,1,2,5,1,12,24,0.038,17,1.2,20,0.2,24,2018,2,25,SEATTLE - BEACON HILL,47.568236,-122.308628,2/25/2018
Good,30,6,19,30,1,3,7,1,20.7,24,0.032,17,1.3,21,0.3,24,2018,2,28,SEATTLE - BEACON HILL,47.568236,-122.308628,2/28/2018
Good,29,6,15,29,1,3,7,1,16.8,24,0.031,17,1.1,22,0.3,24,2018,3,3,SEATTLE - BEACON HILL,47.568236,-122.308628,3/3/2018
Good,30,6,13,30,1,3,7,1,14.1,24,0.032,17,1.2,24,0.3,24,2018,3,6,SEATTLE - BEACON HILL,47.568236,-122.308628,3/6/2018
Good,34,7,15,34,1,2,8,1,16.6,24,0.037,17,1.4,22,0.2,10,2018,3,9,SEATTLE - BEACON HILL,47.568236,-122.308628,3/9/2018
Good,39,14,34,39,3,5,15,1,36.7,24,0.042,17,2.9,21,0.4,12,2018,3,12,SEATTLE - BEACON HILL,47.568236,-122.308628,3/12/2018
Good,30,8,24,30,3,3,9,1,25,23,0.032,17,2.1,22,0.3,24,2018,3,15,SEATTLE - BEACON HILL,47.568236,-122.308628,3/15/2018
Good,35,5,14,35,1,2,5,1,15.4,23,0.038,17,1.3,19,0.2,24,2018,3,18,SEATTLE - BEACON HILL,47.568236,-122.308628,3/18/2018
Good,37,15,37,19,4,5,16,1,39.7,23,0.021,17,3.3,24,0.4,24,2018,3,21,SEATTLE - BEACON HILL,47.568236,-122.308628,3/21/2018
Good,36,4,24,36,9,2,4,1,25,22,0.039,17,6.3,20,0.2,24,2018,3,24,SEATTLE - BEACON HILL,47.568236,-122.308628,3/24/2018
Good,33,3,7,33,0,2,3,1,7.9,24,0.036,17,0.2,22,0.2,24,2018,3,27,SEATTLE - BEACON HILL,47.568236,-122.308628,3/27/2018
Good,32,6,30,32,0,2,6,1,32.7,24,0.035,17,0.4,22,0.2,24,2018,3,30,SEATTLE - BEACON HILL,47.568236,-122.308628,3/30/2018
Good,36,6,21,36,0,2,7,1,22,23,0.039,17,0.7,21,0.2,24,2018,4,2,SEATTLE - BEACON HILL,47.568236,-122.308628,4/2/2018
Good,23,6,23,17,1,3,6,1,24.7,18,0.018,17,1.8,20,0.3,24,2018,4,5,SEATTLE - BEACON HILL,47.568236,-122.308628,4/5/2018
Good,42,5,10,42,0,2,5,1,11.5,21,0.045,17,0.5,18,0.2,24,2018,4,11,SEATTLE - BEACON HILL,47.568236,-122.308628,4/11/2018
Good,32,3,18,32,0,2,3,1,19.1,24,0.035,17,0.3,22,0.2,24,2018,4,14,SEATTLE - BEACON HILL,47.568236,-122.308628,4/14/2018
Good,38,7,11,38,0,2,8,1,12.3,24,0.041,17,0.3,22,0.2,24,2018,4,17,SEATTLE - BEACON HILL,47.568236,-122.308628,4/17/2018
Good,40,8,19,40,1,3,9,1,20.5,24,0.043,17,1.1,22,0.3,24,2018,4,20,SEATTLE - BEACON HILL,47.568236,-122.308628,4/20/2018
Good,37,9,37,36,0,2,10,1,39.3,24,0.039,17,0.6,21,0.2,24,2018,4,23,SEATTLE - BEACON HILL,47.568236,-122.308628,4/23/2018
Good,40,19,26,40,1,3,21,1,28.1,24,0.043,17,1.3,24,0.3,24,2018,4,26,SEATTLE - BEACON HILL,47.568236,-122.308628,4/26/2018
Good,31,13,31,31,1,3,14,1,33.4,23,0.034,17,1.5,20,0.3,24,2018,5,2,SEATTLE - BEACON HILL,47.568236,-122.308628,5/2/2018
Good,27,9,22,27,1,3,10,1,23.6,22,0.029,17,1.8,22,0.3,24,2018,5,5,SEATTLE - BEACON HILL,47.568236,-122.308628,5/5/2018
Good,31,10,23,31,1,2,11,1,24.4,23,0.033,17,1.2,19,0.2,24,2018,5,8,SEATTLE - BEACON HILL,47.568236,-122.308628,5/8/2018
Good,29,9,29,29,0,2,10,1,31.2,22,0.031,17,0.7,22,0.2,24,2018,5,11,SEATTLE - BEACON HILL,47.568236,-122.308628,5/11/2018
Good,41,19,35,41,3,5,21,1,37.8,23,0.044,17,2.6,20,0.4,13,2018,5,14,SEATTLE - BEACON HILL,47.568236,-122.308628,5/14/2018
Good,30,6,10,30,0,2,7,1,11.8,24,0.032,17,0.5,24,0.2,24,2018,5,17,SEATTLE - BEACON HILL,47.568236,-122.308628,5/17/2018
Good,35,13,30,35,1,2,14,1,32.6,24,0.038,17,1.3,22,0.2,24,2018,5,23,SEATTLE - BEACON HILL,47.568236,-122.308628,5/23/2018
Good,34,9,22,34,0,2,10,1,23.8,23,0.037,17,0.4,22,0.2,24,2018,5,26,SEATTLE - BEACON HILL,47.568236,-122.308628,5/26/2018
Good,28,14,12,28,0,2,15,1,13.5,22,0.03,17,0.6,24,0.2,24,2018,5,29,SEATTLE - BEACON HILL,47.568236,-122.308628,5/29/2018
Good,34,5,15,34,0,2,5,1,16,23,0.037,17,0.7,20,0.2,24,2018,6,1,SEATTLE - BEACON HILL,47.568236,-122.308628,6/1/2018
Good,31,6,12,31,0,2,6,1,13.1,22,0.034,17,0.3,22,0.2,24,2018,6,4,SEATTLE - BEACON HILL,47.568236,-122.308628,6/4/2018
Good,41,8,7,41,0,2,9,1,7.6,23,0.044,17,0.8,22,0.2,24,2018,6,7,SEATTLE - BEACON HILL,47.568236,-122.308628,6/7/2018
Good,28,3,8,28,0,2,3,1,8.9,24,0.03,17,0.4,24,0.2,24,2018,6,10,SEATTLE - BEACON HILL,47.568236,-122.308628,6/10/2018
Good,24,4,15,24,0,2,4,1,16.4,24,0.026,17,0.5,22,0.2,24,2018,6,13,SEATTLE - BEACON HILL,47.568236,-122.308628,6/13/2018
Good,34,9,12,34,0,2,10,1,13,24,0.037,17,0.6,24,0.2,24,2018,6,16,SEATTLE - BEACON HILL,47.568236,-122.308628,6/16/2018
Good,34,16,34,26,1,2,17,1,36.3,24,0.028,17,1.4,20,0.2,24,2018,6,19,SEATTLE - BEACON HILL,47.568236,-122.308628,6/19/2018
Good,19,6,14,19,0,1,7,1,15,24,0.02,17,0.6,24,0.1,24,2018,6,22,SEATTLE - BEACON HILL,47.568236,-122.308628,6/22/2018
Good,28,6,20,28,1,1,6,1,21.8,20,0.03,17,1.3,19,0.1,24,2018,6,25,SEATTLE - BEACON HILL,47.568236,-122.308628,6/25/2018
Good,22,11,11,22,0,2,12,1,12.1,22,0.024,17,0.7,24,0.2,24,2018,6,28,SEATTLE - BEACON HILL,47.568236,-122.308628,6/28/2018
Good,24,5,15,24,0,1,5,1,16.7,23,0.026,17,0.5,19,0.1,24,2018,7,7,SEATTLE - BEACON HILL,47.568236,-122.308628,7/7/2018
