NO2 AQI,DMax NO2,NO2-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
12,13.6,24,2016,1,2,Cheyenne NCore,41.18222711,-104.7783342,1/2/2016
34,36,22,2016,1,3,Cheyenne NCore,41.18222711,-104.7783342,1/3/2016
37,39.5,24,2016,1,4,Cheyenne NCore,41.18222711,-104.7783342,1/4/2016
10,11.3,23,2016,1,5,Cheyenne NCore,41.18222711,-104.7783342,1/5/2016
24,25.4,24,2016,1,6,Cheyenne NCore,41.18222711,-104.7783342,1/6/2016
12,13.5,23,2016,1,7,Cheyenne NCore,41.18222711,-104.7783342,1/7/2016
13,14.1,24,2016,1,8,Cheyenne NCore,41.18222711,-104.7783342,1/8/2016
26,28.7,23,2016,1,9,Cheyenne NCore,41.18222711,-104.7783342,1/9/2016
8,8.5,23,2016,1,10,Cheyenne NCore,41.18222711,-104.7783342,1/10/2016
10,11.9,23,2016,1,11,Cheyenne NCore,41.18222711,-104.7783342,1/11/2016
8,8.3,24,2016,1,12,Cheyenne NCore,41.18222711,-104.7783342,1/12/2016
8,8.4,23,2016,1,13,Cheyenne NCore,41.18222711,-104.7783342,1/13/2016
3,3.1,24,2016,1,14,Cheyenne NCore,41.18222711,-104.7783342,1/14/2016
4,4.5,23,2016,1,15,Cheyenne NCore,41.18222711,-104.7783342,1/15/2016
3,3.3,24,2016,1,16,Cheyenne NCore,41.18222711,-104.7783342,1/16/2016
13,14.3,22,2016,1,17,Cheyenne NCore,41.18222711,-104.7783342,1/17/2016
3,3.9,24,2016,1,18,Cheyenne NCore,41.18222711,-104.7783342,1/18/2016
24,25.5,23,2016,1,19,Cheyenne NCore,41.18222711,-104.7783342,1/19/2016
8,8.7,23,2016,1,20,Cheyenne NCore,41.18222711,-104.7783342,1/20/2016
5,5.5,22,2016,1,21,Cheyenne NCore,41.18222711,-104.7783342,1/21/2016
31,33.6,24,2016,1,22,Cheyenne NCore,41.18222711,-104.7783342,1/22/2016
31,33.9,23,2016,1,23,Cheyenne NCore,41.18222711,-104.7783342,1/23/2016
8,9.1,23,2016,1,24,Cheyenne NCore,41.18222711,-104.7783342,1/24/2016
1,1.9,23,2016,1,25,Cheyenne NCore,41.18222711,-104.7783342,1/25/2016
8,9,24,2016,1,26,Cheyenne NCore,41.18222711,-104.7783342,1/26/2016
3,3.4,23,2016,1,27,Cheyenne NCore,41.18222711,-104.7783342,1/27/2016
4,4,24,2016,1,28,Cheyenne NCore,41.18222711,-104.7783342,1/28/2016
10,11.6,23,2016,1,29,Cheyenne NCore,41.18222711,-104.7783342,1/29/2016
4,4.3,24,2016,1,30,Cheyenne NCore,41.18222711,-104.7783342,1/30/2016
2,2.8,22,2016,1,31,Cheyenne NCore,41.18222711,-104.7783342,1/31/2016
2,2.7,24,2016,2,1,Cheyenne NCore,41.18222711,-104.7783342,2/1/2016
1,1.7,23,2016,2,2,Cheyenne NCore,41.18222711,-104.7783342,2/2/2016
4,4.9,24,2016,2,3,Cheyenne NCore,41.18222711,-104.7783342,2/3/2016
2,2.4,23,2016,2,4,Cheyenne NCore,41.18222711,-104.7783342,2/4/2016
2,2.5,24,2016,2,5,Cheyenne NCore,41.18222711,-104.7783342,2/5/2016
1,1.9,23,2016,2,6,Cheyenne NCore,41.18222711,-104.7783342,2/6/2016
2,2.7,23,2016,2,7,Cheyenne NCore,41.18222711,-104.7783342,2/7/2016
1,1.7,23,2016,2,8,Cheyenne NCore,41.18222711,-104.7783342,2/8/2016
3,3.2,24,2016,2,9,Cheyenne NCore,41.18222711,-104.7783342,2/9/2016
2,2.4,23,2016,2,10,Cheyenne NCore,41.18222711,-104.7783342,2/10/2016
4,4.4,24,2016,2,11,Cheyenne NCore,41.18222711,-104.7783342,2/11/2016
21,22.8,23,2016,2,12,Cheyenne NCore,41.18222711,-104.7783342,2/12/2016
16,17.8,24,2016,2,13,Cheyenne NCore,41.18222711,-104.7783342,2/13/2016
2,2.9,22,2016,2,14,Cheyenne NCore,41.18222711,-104.7783342,2/14/2016
3,3.6,24,2016,2,15,Cheyenne NCore,41.18222711,-104.7783342,2/15/2016
9,10.1,23,2016,2,16,Cheyenne NCore,41.18222711,-104.7783342,2/16/2016
28,30.2,24,2016,2,17,Cheyenne NCore,41.18222711,-104.7783342,2/17/2016
11,12.4,23,2016,2,18,Cheyenne NCore,41.18222711,-104.7783342,2/18/2016
16,17.9,23,2016,2,21,Cheyenne NCore,41.18222711,-104.7783342,2/21/2016
18,19.2,22,2016,2,22,Cheyenne NCore,41.18222711,-104.7783342,2/22/2016
2,2.6,24,2016,2,23,Cheyenne NCore,41.18222711,-104.7783342,2/23/2016
2,2.5,23,2016,2,24,Cheyenne NCore,41.18222711,-104.7783342,2/24/2016
26,28.5,24,2016,2,25,Cheyenne NCore,41.18222711,-104.7783342,2/25/2016
16,17.4,23,2016,2,26,Cheyenne NCore,41.18222711,-104.7783342,2/26/2016
4,4.9,24,2016,2,27,Cheyenne NCore,41.18222711,-104.7783342,2/27/2016
8,8.6,22,2016,2,28,Cheyenne NCore,41.18222711,-104.7783342,2/28/2016
4,4.3,24,2016,2,29,Cheyenne NCore,41.18222711,-104.7783342,2/29/2016
3,3,23,2016,3,1,Cheyenne NCore,41.18222711,-104.7783342,3/1/2016
1,1.3,24,2016,3,2,Cheyenne NCore,41.18222711,-104.7783342,3/2/2016
10,11.6,23,2016,3,3,Cheyenne NCore,41.18222711,-104.7783342,3/3/2016
16,17.2,24,2016,3,4,Cheyenne NCore,41.18222711,-104.7783342,3/4/2016
33,35.7,23,2016,3,5,Cheyenne NCore,41.18222711,-104.7783342,3/5/2016
3,3.6,23,2016,3,6,Cheyenne NCore,41.18222711,-104.7783342,3/6/2016
10,11.1,24,2016,3,12,Cheyenne NCore,41.18222711,-104.7783342,3/12/2016
3,3.4,22,2016,3,13,Cheyenne NCore,41.18222711,-104.7783342,3/13/2016
17,18,24,2016,3,14,Cheyenne NCore,41.18222711,-104.7783342,3/14/2016
1,1.4,23,2016,3,15,Cheyenne NCore,41.18222711,-104.7783342,3/15/2016
2,2.8,24,2016,3,16,Cheyenne NCore,41.18222711,-104.7783342,3/16/2016
3,3.5,23,2016,3,17,Cheyenne NCore,41.18222711,-104.7783342,3/17/2016
2,2.6,24,2016,3,18,Cheyenne NCore,41.18222711,-104.7783342,3/18/2016
4,4.2,23,2016,3,19,Cheyenne NCore,41.18222711,-104.7783342,3/19/2016
23,24.5,23,2016,3,20,Cheyenne NCore,41.18222711,-104.7783342,3/20/2016
18,19.3,23,2016,3,21,Cheyenne NCore,41.18222711,-104.7783342,3/21/2016
25,26.5,24,2016,3,22,Cheyenne NCore,41.18222711,-104.7783342,3/22/2016
2,2,23,2016,3,23,Cheyenne NCore,41.18222711,-104.7783342,3/23/2016
8,8.9,24,2016,3,24,Cheyenne NCore,41.18222711,-104.7783342,3/24/2016
9,10.9,23,2016,3,25,Cheyenne NCore,41.18222711,-104.7783342,3/25/2016
25,27.6,24,2016,3,26,Cheyenne NCore,41.18222711,-104.7783342,3/26/2016
22,23.5,22,2016,3,27,Cheyenne NCore,41.18222711,-104.7783342,3/27/2016
21,22.6,23,2016,3,28,Cheyenne NCore,41.18222711,-104.7783342,3/28/2016
1,1.6,24,2016,3,30,Cheyenne NCore,41.18222711,-104.7783342,3/30/2016
1,1.3,23,2016,3,31,Cheyenne NCore,41.18222711,-104.7783342,3/31/2016
1,1.9,24,2016,4,1,Cheyenne NCore,41.18222711,-104.7783342,4/1/2016
5,5.2,23,2016,4,2,Cheyenne NCore,41.18222711,-104.7783342,4/2/2016
24,25,23,2016,4,3,Cheyenne NCore,41.18222711,-104.7783342,4/3/2016
3,3.4,24,2016,4,5,Cheyenne NCore,41.18222711,-104.7783342,4/5/2016
1,1.6,23,2016,4,6,Cheyenne NCore,41.18222711,-104.7783342,4/6/2016
10,11.4,24,2016,4,7,Cheyenne NCore,41.18222711,-104.7783342,4/7/2016
6,6.9,23,2016,4,8,Cheyenne NCore,41.18222711,-104.7783342,4/8/2016
20,21.2,24,2016,4,9,Cheyenne NCore,41.18222711,-104.7783342,4/9/2016
3,3.3,22,2016,4,10,Cheyenne NCore,41.18222711,-104.7783342,4/10/2016
15,16.7,24,2016,4,11,Cheyenne NCore,41.18222711,-104.7783342,4/11/2016
13,14.2,23,2016,4,12,Cheyenne NCore,41.18222711,-104.7783342,4/12/2016
12,13.8,24,2016,4,13,Cheyenne NCore,41.18222711,-104.7783342,4/13/2016
11,12.5,23,2016,4,14,Cheyenne NCore,41.18222711,-104.7783342,4/14/2016
2,2.1,24,2016,4,15,Cheyenne NCore,41.18222711,-104.7783342,4/15/2016
1,1.3,23,2016,4,16,Cheyenne NCore,41.18222711,-104.7783342,4/16/2016
2,2,23,2016,4,17,Cheyenne NCore,41.18222711,-104.7783342,4/17/2016
14,15.6,24,2016,4,19,Cheyenne NCore,41.18222711,-104.7783342,4/19/2016
9,10,23,2016,4,20,Cheyenne NCore,41.18222711,-104.7783342,4/20/2016
23,24.8,23,2016,4,22,Cheyenne NCore,41.18222711,-104.7783342,4/22/2016
14,15.3,24,2016,4,23,Cheyenne NCore,41.18222711,-104.7783342,4/23/2016
2,2.6,22,2016,4,24,Cheyenne NCore,41.18222711,-104.7783342,4/24/2016
11,12.7,24,2016,4,25,Cheyenne NCore,41.18222711,-104.7783342,4/25/2016
1,1.7,23,2016,4,26,Cheyenne NCore,41.18222711,-104.7783342,4/26/2016
1,1.7,24,2016,4,27,Cheyenne NCore,41.18222711,-104.7783342,4/27/2016
