NO2 AQI,DMax NO2,NO2-WEIGHT,Year,Month,Day,Site Name,LAt,Lng,Date
25,26.5,24,2018,01,02,SEATTLE - BEACON HILL,47.568236,-122.308628,1/2/2018
23,24.1,24,2018,01,11,SEATTLE - BEACON HILL,47.568236,-122.308628,1/11/2018
23,24,23,2018,01,14,SEATTLE - BEACON HILL,47.568236,-122.308628,1/14/2018
13,14.8,23,2018,01,20,SEATTLE - BEACON HILL,47.568236,-122.308628,1/20/2018
32,34.6,22,2018,01,23,SEATTLE - BEACON HILL,47.568236,-122.308628,1/23/2018
15,16.4,23,2018,01,26,SEATTLE - BEACON HILL,47.568236,-122.308628,1/26/2018
25,27,24,2018,02,01,SEATTLE - BEACON HILL,47.568236,-122.308628,2/1/2018
20,21.9,24,2018,02,07,SEATTLE - BEACON HILL,47.568236,-122.308628,2/7/2018
27,29,22,2018,02,10,SEATTLE - BEACON HILL,47.568236,-122.308628,2/10/2018
29,31.4,23,2018,02,13,SEATTLE - BEACON HILL,47.568236,-122.308628,2/13/2018
8,9.6,22,2018,02,16,SEATTLE - BEACON HILL,47.568236,-122.308628,2/16/2018
16,17.8,23,2018,02,19,SEATTLE - BEACON HILL,47.568236,-122.308628,2/19/2018
18,19.7,22,2018,02,22,SEATTLE - BEACON HILL,47.568236,-122.308628,2/22/2018
11,12,24,2018,02,25,SEATTLE - BEACON HILL,47.568236,-122.308628,2/25/2018
19,20.7,24,2018,02,28,SEATTLE - BEACON HILL,47.568236,-122.308628,2/28/2018
15,16.8,24,2018,03,03,SEATTLE - BEACON HILL,47.568236,-122.308628,3/3/2018
13,14.1,24,2018,03,06,SEATTLE - BEACON HILL,47.568236,-122.308628,3/6/2018
15,16.6,24,2018,03,09,SEATTLE - BEACON HILL,47.568236,-122.308628,3/9/2018
34,36.7,24,2018,03,12,SEATTLE - BEACON HILL,47.568236,-122.308628,3/12/2018
24,25,23,2018,03,15,SEATTLE - BEACON HILL,47.568236,-122.308628,3/15/2018
14,15.4,23,2018,03,18,SEATTLE - BEACON HILL,47.568236,-122.308628,3/18/2018
37,39.7,23,2018,03,21,SEATTLE - BEACON HILL,47.568236,-122.308628,3/21/2018
24,25,22,2018,03,24,SEATTLE - BEACON HILL,47.568236,-122.308628,3/24/2018
7,7.9,24,2018,03,27,SEATTLE - BEACON HILL,47.568236,-122.308628,3/27/2018
30,32.7,24,2018,03,30,SEATTLE - BEACON HILL,47.568236,-122.308628,3/30/2018
21,22,23,2018,04,02,SEATTLE - BEACON HILL,47.568236,-122.308628,4/2/2018
23,24.7,18,2018,04,05,SEATTLE - BEACON HILL,47.568236,-122.308628,4/5/2018
10,11.5,21,2018,04,11,SEATTLE - BEACON HILL,47.568236,-122.308628,4/11/2018
18,19.1,24,2018,04,14,SEATTLE - BEACON HILL,47.568236,-122.308628,4/14/2018
11,12.3,24,2018,04,17,SEATTLE - BEACON HILL,47.568236,-122.308628,4/17/2018
19,20.5,24,2018,04,20,SEATTLE - BEACON HILL,47.568236,-122.308628,4/20/2018
37,39.3,24,2018,04,23,SEATTLE - BEACON HILL,47.568236,-122.308628,4/23/2018
26,28.1,24,2018,04,26,SEATTLE - BEACON HILL,47.568236,-122.308628,4/26/2018
31,33.4,23,2018,05,02,SEATTLE - BEACON HILL,47.568236,-122.308628,5/2/2018
22,23.6,22,2018,05,05,SEATTLE - BEACON HILL,47.568236,-122.308628,5/5/2018
23,24.4,23,2018,05,08,SEATTLE - BEACON HILL,47.568236,-122.308628,5/8/2018
29,31.2,22,2018,05,11,SEATTLE - BEACON HILL,47.568236,-122.308628,5/11/2018
35,37.8,23,2018,05,14,SEATTLE - BEACON HILL,47.568236,-122.308628,5/14/2018
10,11.8,24,2018,05,17,SEATTLE - BEACON HILL,47.568236,-122.308628,5/17/2018
30,32.6,24,2018,05,23,SEATTLE - BEACON HILL,47.568236,-122.308628,5/23/2018
22,23.8,23,2018,05,26,SEATTLE - BEACON HILL,47.568236,-122.308628,5/26/2018
12,13.5,22,2018,05,29,SEATTLE - BEACON HILL,47.568236,-122.308628,5/29/2018
15,16,23,2018,06,01,SEATTLE - BEACON HILL,47.568236,-122.308628,6/1/2018
12,13.1,22,2018,06,04,SEATTLE - BEACON HILL,47.568236,-122.308628,6/4/2018
7,7.6,23,2018,06,07,SEATTLE - BEACON HILL,47.568236,-122.308628,6/7/2018
8,8.9,24,2018,06,10,SEATTLE - BEACON HILL,47.568236,-122.308628,6/10/2018
15,16.4,24,2018,06,13,SEATTLE - BEACON HILL,47.568236,-122.308628,6/13/2018
12,13,24,2018,06,16,SEATTLE - BEACON HILL,47.568236,-122.308628,6/16/2018
34,36.3,24,2018,06,19,SEATTLE - BEACON HILL,47.568236,-122.308628,6/19/2018
14,15,24,2018,06,22,SEATTLE - BEACON HILL,47.568236,-122.308628,6/22/2018
20,21.8,20,2018,06,25,SEATTLE - BEACON HILL,47.568236,-122.308628,6/25/2018
11,12.1,22,2018,06,28,SEATTLE - BEACON HILL,47.568236,-122.308628,6/28/2018
15,16.7,23,2018,07,07,SEATTLE - BEACON HILL,47.568236,-122.308628,7/7/2018
8,9.1,22,2018,07,10,SEATTLE - BEACON HILL,47.568236,-122.308628,7/10/2018
