Ozone AQI,DMax Ozone,OZONE-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
25,0.027,17,2016,1,1,Newark Firehouse,40.720989,-74.192892,1/1/2016
28,0.03,17,2016,1,4,Newark Firehouse,40.720989,-74.192892,1/4/2016
3,0.003,17,2016,1,7,Newark Firehouse,40.720989,-74.192892,1/7/2016
26,0.028,17,2016,1,10,Newark Firehouse,40.720989,-74.192892,1/10/2016
26,0.028,17,2016,1,13,Newark Firehouse,40.720989,-74.192892,1/13/2016
26,0.028,17,2016,1,16,Newark Firehouse,40.720989,-74.192892,1/16/2016
28,0.03,17,2016,1,19,Newark Firehouse,40.720989,-74.192892,1/19/2016
27,0.029,17,2016,1,22,Newark Firehouse,40.720989,-74.192892,1/22/2016
13,0.014,17,2016,1,25,Newark Firehouse,40.720989,-74.192892,1/25/2016
17,0.018,17,2016,1,28,Newark Firehouse,40.720989,-74.192892,1/28/2016
21,0.023,17,2016,1,31,Newark Firehouse,40.720989,-74.192892,1/31/2016
8,0.009,17,2016,2,3,Newark Firehouse,40.720989,-74.192892,2/3/2016
24,0.026,17,2016,2,6,Newark Firehouse,40.720989,-74.192892,2/6/2016
18,0.019,17,2016,2,9,Newark Firehouse,40.720989,-74.192892,2/9/2016
30,0.032,17,2016,2,12,Newark Firehouse,40.720989,-74.192892,2/12/2016
31,0.033,17,2016,2,18,Newark Firehouse,40.720989,-74.192892,2/18/2016
29,0.031,17,2016,2,21,Newark Firehouse,40.720989,-74.192892,2/21/2016
24,0.026,17,2016,2,24,Newark Firehouse,40.720989,-74.192892,2/24/2016
32,0.035,17,2016,2,27,Newark Firehouse,40.720989,-74.192892,2/27/2016
31,0.033,17,2016,3,1,Newark Firehouse,40.720989,-74.192892,3/1/2016
15,0.016,17,2016,3,16,Newark Firehouse,40.720989,-74.192892,3/16/2016
34,0.037,17,2016,3,19,Newark Firehouse,40.720989,-74.192892,3/19/2016
37,0.04,17,2016,3,22,Newark Firehouse,40.720989,-74.192892,3/22/2016
37,0.04,17,2016,3,25,Newark Firehouse,40.720989,-74.192892,3/25/2016
37,0.04,17,2016,3,28,Newark Firehouse,40.720989,-74.192892,3/28/2016
44,0.047,17,2016,3,31,Newark Firehouse,40.720989,-74.192892,3/31/2016
37,0.04,17,2016,4,3,Newark Firehouse,40.720989,-74.192892,4/3/2016
35,0.038,17,2016,4,6,Newark Firehouse,40.720989,-74.192892,4/6/2016
32,0.035,17,2016,4,9,Newark Firehouse,40.720989,-74.192892,4/9/2016
34,0.037,17,2016,4,12,Newark Firehouse,40.720989,-74.192892,4/12/2016
32,0.035,17,2016,4,15,Newark Firehouse,40.720989,-74.192892,4/15/2016
50,0.054,17,2016,4,18,Newark Firehouse,40.720989,-74.192892,4/18/2016
54,0.056,17,2016,4,21,Newark Firehouse,40.720989,-74.192892,4/21/2016
44,0.047,17,2016,4,24,Newark Firehouse,40.720989,-74.192892,4/24/2016
23,0.025,17,2016,4,27,Newark Firehouse,40.720989,-74.192892,4/27/2016
41,0.044,17,2016,4,30,Newark Firehouse,40.720989,-74.192892,4/30/2016
14,0.015,17,2016,5,3,Newark Firehouse,40.720989,-74.192892,5/3/2016
14,0.015,17,2016,5,6,Newark Firehouse,40.720989,-74.192892,5/6/2016
43,0.046,17,2016,5,9,Newark Firehouse,40.720989,-74.192892,5/9/2016
45,0.049,17,2016,5,12,Newark Firehouse,40.720989,-74.192892,5/12/2016
26,0.028,17,2016,5,15,Newark Firehouse,40.720989,-74.192892,5/15/2016
32,0.035,17,2016,5,18,Newark Firehouse,40.720989,-74.192892,5/18/2016
33,0.036,17,2016,5,21,Newark Firehouse,40.720989,-74.192892,5/21/2016
35,0.038,17,2016,5,24,Newark Firehouse,40.720989,-74.192892,5/24/2016
45,0.049,17,2016,5,27,Newark Firehouse,40.720989,-74.192892,5/27/2016
34,0.037,17,2016,5,30,Newark Firehouse,40.720989,-74.192892,5/30/2016
29,0.031,17,2016,6,2,Newark Firehouse,40.720989,-74.192892,6/2/2016
23,0.025,17,2016,6,5,Newark Firehouse,40.720989,-74.192892,6/5/2016
25,0.027,17,2016,6,8,Newark Firehouse,40.720989,-74.192892,6/8/2016
84,0.065,17,2016,6,11,Newark Firehouse,40.720989,-74.192892,6/11/2016
34,0.037,17,2016,6,14,Newark Firehouse,40.720989,-74.192892,6/14/2016
38,0.041,17,2016,6,17,Newark Firehouse,40.720989,-74.192892,6/17/2016
49,0.053,17,2016,6,20,Newark Firehouse,40.720989,-74.192892,6/20/2016
44,0.047,17,2016,6,23,Newark Firehouse,40.720989,-74.192892,6/23/2016
67,0.06,17,2016,6,26,Newark Firehouse,40.720989,-74.192892,6/26/2016
44,0.047,17,2016,6,29,Newark Firehouse,40.720989,-74.192892,6/29/2016
30,0.032,17,2016,7,2,Newark Firehouse,40.720989,-74.192892,7/2/2016
35,0.038,17,2016,7,5,Newark Firehouse,40.720989,-74.192892,7/5/2016
33,0.036,17,2016,7,11,Newark Firehouse,40.720989,-74.192892,7/11/2016
45,0.049,17,2016,7,14,Newark Firehouse,40.720989,-74.192892,7/14/2016
61,0.058,17,2016,7,17,Newark Firehouse,40.720989,-74.192892,7/17/2016
44,0.048,17,2016,7,20,Newark Firehouse,40.720989,-74.192892,7/20/2016
47,0.051,17,2016,7,23,Newark Firehouse,40.720989,-74.192892,7/23/2016
39,0.042,17,2016,7,26,Newark Firehouse,40.720989,-74.192892,7/26/2016
74,0.062,17,2016,7,29,Newark Firehouse,40.720989,-74.192892,7/29/2016
