PM10 AQI,DMean PM10,PM-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
16,17,1,2016,1,1,Los Angeles-North Main Street,34.06659,-118.22688,1/1/2016
16,17,1,2016,1,1,Los Angeles-North Main Street,34.06659,-118.22688,1/1/2016
6,7,1,2016,1,7,Los Angeles-North Main Street,34.06659,-118.22688,1/7/2016
20,22,1,2016,1,13,Los Angeles-North Main Street,34.06659,-118.22688,1/13/2016
20,22,1,2016,1,13,Los Angeles-North Main Street,34.06659,-118.22688,1/13/2016
17,18,1,2016,1,19,Los Angeles-North Main Street,34.06659,-118.22688,1/19/2016
17,18,1,2016,1,19,Los Angeles-North Main Street,34.06659,-118.22688,1/19/2016
24,26,1,2016,1,25,Los Angeles-North Main Street,34.06659,-118.22688,1/25/2016
24,26,1,2016,1,25,Los Angeles-North Main Street,34.06659,-118.22688,1/25/2016
9,10,1,2016,1,31,Los Angeles-North Main Street,34.06659,-118.22688,1/31/2016
16,17,1,2016,2,6,Los Angeles-North Main Street,34.06659,-118.22688,2/6/2016
35,38,1,2016,2,12,Los Angeles-North Main Street,34.06659,-118.22688,2/12/2016
12,13,1,2016,2,18,Los Angeles-North Main Street,34.06659,-118.22688,2/18/2016
20,22,1,2016,2,24,Los Angeles-North Main Street,34.06659,-118.22688,2/24/2016
11,12,1,2016,3,7,Los Angeles-North Main Street,34.06659,-118.22688,3/7/2016
11,12,1,2016,3,7,Los Angeles-North Main Street,34.06659,-118.22688,3/7/2016
18,19,1,2016,3,13,Los Angeles-North Main Street,34.06659,-118.22688,3/13/2016
18,19,1,2016,3,13,Los Angeles-North Main Street,34.06659,-118.22688,3/13/2016
38,41,1,2016,3,19,Los Angeles-North Main Street,34.06659,-118.22688,3/19/2016
38,41,1,2016,3,19,Los Angeles-North Main Street,34.06659,-118.22688,3/19/2016
26,28,1,2016,3,25,Los Angeles-North Main Street,34.06659,-118.22688,3/25/2016
26,28,1,2016,3,25,Los Angeles-North Main Street,34.06659,-118.22688,3/25/2016
23,25,1,2016,3,31,Los Angeles-North Main Street,34.06659,-118.22688,3/31/2016
23,25,1,2016,3,31,Los Angeles-North Main Street,34.06659,-118.22688,3/31/2016
24,26,1,2016,4,6,Los Angeles-North Main Street,34.06659,-118.22688,4/6/2016
24,26,1,2016,4,6,Los Angeles-North Main Street,34.06659,-118.22688,4/6/2016
17,18,1,2016,4,12,Los Angeles-North Main Street,34.06659,-118.22688,4/12/2016
17,18,1,2016,4,12,Los Angeles-North Main Street,34.06659,-118.22688,4/12/2016
24,26,1,2016,4,18,Los Angeles-North Main Street,34.06659,-118.22688,4/18/2016
24,26,1,2016,4,18,Los Angeles-North Main Street,34.06659,-118.22688,4/18/2016
26,28,1,2016,4,24,Los Angeles-North Main Street,34.06659,-118.22688,4/24/2016
26,28,1,2016,4,24,Los Angeles-North Main Street,34.06659,-118.22688,4/24/2016
22,24,1,2016,4,30,Los Angeles-North Main Street,34.06659,-118.22688,4/30/2016
22,24,1,2016,4,30,Los Angeles-North Main Street,34.06659,-118.22688,4/30/2016
9,10,1,2016,5,7,Los Angeles-North Main Street,34.06659,-118.22688,5/7/2016
9,10,1,2016,5,7,Los Angeles-North Main Street,34.06659,-118.22688,5/7/2016
17,18,1,2016,5,18,Los Angeles-North Main Street,34.06659,-118.22688,5/18/2016
17,18,1,2016,5,18,Los Angeles-North Main Street,34.06659,-118.22688,5/18/2016
12,13,1,2016,5,24,Los Angeles-North Main Street,34.06659,-118.22688,5/24/2016
12,13,1,2016,5,24,Los Angeles-North Main Street,34.06659,-118.22688,5/24/2016
15,16,1,2016,5,30,Los Angeles-North Main Street,34.06659,-118.22688,5/30/2016
15,16,1,2016,5,30,Los Angeles-North Main Street,34.06659,-118.22688,5/30/2016
11,12,1,2016,6,5,Los Angeles-North Main Street,34.06659,-118.22688,6/5/2016
11,12,1,2016,6,5,Los Angeles-North Main Street,34.06659,-118.22688,6/5/2016
6,7,1,2016,6,11,Los Angeles-North Main Street,34.06659,-118.22688,6/11/2016
6,7,1,2016,6,11,Los Angeles-North Main Street,34.06659,-118.22688,6/11/2016
42,45,1,2016,6,17,Los Angeles-North Main Street,34.06659,-118.22688,6/17/2016
42,45,1,2016,6,17,Los Angeles-North Main Street,34.06659,-118.22688,6/17/2016
27,29,1,2016,6,23,Los Angeles-North Main Street,34.06659,-118.22688,6/23/2016
27,29,1,2016,6,23,Los Angeles-North Main Street,34.06659,-118.22688,6/23/2016
28,30,1,2016,6,29,Los Angeles-North Main Street,34.06659,-118.22688,6/29/2016
28,30,1,2016,6,29,Los Angeles-North Main Street,34.06659,-118.22688,6/29/2016
18,19,1,2016,7,5,Los Angeles-North Main Street,34.06659,-118.22688,7/5/2016
18,19,1,2016,7,5,Los Angeles-North Main Street,34.06659,-118.22688,7/5/2016
27,29,1,2016,7,11,Los Angeles-North Main Street,34.06659,-118.22688,7/11/2016
27,29,1,2016,7,11,Los Angeles-North Main Street,34.06659,-118.22688,7/11/2016
18,19,1,2016,7,17,Los Angeles-North Main Street,34.06659,-118.22688,7/17/2016
18,19,1,2016,7,17,Los Angeles-North Main Street,34.06659,-118.22688,7/17/2016
44,48,1,2016,7,23,Los Angeles-North Main Street,34.06659,-118.22688,7/23/2016
44,48,1,2016,7,23,Los Angeles-North Main Street,34.06659,-118.22688,7/23/2016
21,23,1,2016,8,4,Los Angeles-North Main Street,34.06659,-118.22688,8/4/2016
21,23,1,2016,8,4,Los Angeles-North Main Street,34.06659,-118.22688,8/4/2016
22,24,1,2016,8,10,Los Angeles-North Main Street,34.06659,-118.22688,8/10/2016
22,24,1,2016,8,10,Los Angeles-North Main Street,34.06659,-118.22688,8/10/2016
27,29,1,2016,8,22,Los Angeles-North Main Street,34.06659,-118.22688,8/22/2016
27,29,1,2016,8,22,Los Angeles-North Main Street,34.06659,-118.22688,8/22/2016
22,24,1,2016,8,28,Los Angeles-North Main Street,34.06659,-118.22688,8/28/2016
22,24,1,2016,8,28,Los Angeles-North Main Street,34.06659,-118.22688,8/28/2016
22,24,1,2016,9,3,Los Angeles-North Main Street,34.06659,-118.22688,9/3/2016
22,24,1,2016,9,3,Los Angeles-North Main Street,34.06659,-118.22688,9/3/2016
