DMax Ozone,Year,Month,Day,OZONE-WEIGHT,Flag,Site Name,Lat,Lng,Date
0.037,2016,1,1,17,0,Los Angeles-North Main Street,34.06659,-118.22688,1/1/2016
0.037,2016,1,1,17,0,Los Angeles-North Main Street,34.06659,-118.22688,1/1/2016
0.03,2016,1,7,13,0,Los Angeles-North Main Street,34.06659,-118.22688,1/7/2016
0.017,2016,1,13,17,0,Los Angeles-North Main Street,34.06659,-118.22688,1/13/2016
0.017,2016,1,13,17,0,Los Angeles-North Main Street,34.06659,-118.22688,1/13/2016
0.017,2016,1,19,17,0,Los Angeles-North Main Street,34.06659,-118.22688,1/19/2016
0.017,2016,1,19,17,0,Los Angeles-North Main Street,34.06659,-118.22688,1/19/2016
0.027,2016,1,25,17,0,Los Angeles-North Main Street,34.06659,-118.22688,1/25/2016
0.027,2016,1,25,17,0,Los Angeles-North Main Street,34.06659,-118.22688,1/25/2016
0.036,2016,1,31,17,0,Los Angeles-North Main Street,34.06659,-118.22688,1/31/2016
0.037,2016,2,6,17,0,Los Angeles-North Main Street,34.06659,-118.22688,2/6/2016
0.044,2016,2,12,17,0,Los Angeles-North Main Street,34.06659,-118.22688,2/12/2016
0.033,2016,2,18,17,0,Los Angeles-North Main Street,34.06659,-118.22688,2/18/2016
0.044,2016,2,24,17,0,Los Angeles-North Main Street,34.06659,-118.22688,2/24/2016
0.041,2016,3,7,17,0,Los Angeles-North Main Street,34.06659,-118.22688,3/7/2016
0.041,2016,3,7,17,0,Los Angeles-North Main Street,34.06659,-118.22688,3/7/2016
0.042,2016,3,13,17,0,Los Angeles-North Main Street,34.06659,-118.22688,3/13/2016
0.042,2016,3,13,17,0,Los Angeles-North Main Street,34.06659,-118.22688,3/13/2016
0.055,2016,3,19,17,0,Los Angeles-North Main Street,34.06659,-118.22688,3/19/2016
0.055,2016,3,19,17,0,Los Angeles-North Main Street,34.06659,-118.22688,3/19/2016
0.045,2016,3,25,17,0,Los Angeles-North Main Street,34.06659,-118.22688,3/25/2016
0.045,2016,3,25,17,0,Los Angeles-North Main Street,34.06659,-118.22688,3/25/2016
0.041,2016,3,31,17,0,Los Angeles-North Main Street,34.06659,-118.22688,3/31/2016
0.041,2016,3,31,17,0,Los Angeles-North Main Street,34.06659,-118.22688,3/31/2016
0.046,2016,4,6,17,0,Los Angeles-North Main Street,34.06659,-118.22688,4/6/2016
0.046,2016,4,6,17,0,Los Angeles-North Main Street,34.06659,-118.22688,4/6/2016
0.037,2016,4,12,14,0,Los Angeles-North Main Street,34.06659,-118.22688,4/12/2016
0.037,2016,4,12,14,0,Los Angeles-North Main Street,34.06659,-118.22688,4/12/2016
0.062,2016,4,18,17,0,Los Angeles-North Main Street,34.06659,-118.22688,4/18/2016
0.062,2016,4,18,17,0,Los Angeles-North Main Street,34.06659,-118.22688,4/18/2016
0.056,2016,4,24,17,0,Los Angeles-North Main Street,34.06659,-118.22688,4/24/2016
0.056,2016,4,24,17,0,Los Angeles-North Main Street,34.06659,-118.22688,4/24/2016
0.049,2016,4,30,17,0,Los Angeles-North Main Street,34.06659,-118.22688,4/30/2016
0.049,2016,4,30,17,0,Los Angeles-North Main Street,34.06659,-118.22688,4/30/2016
0.04,2016,5,7,17,0,Los Angeles-North Main Street,34.06659,-118.22688,5/7/2016
0.04,2016,5,7,17,0,Los Angeles-North Main Street,34.06659,-118.22688,5/7/2016
0.043,2016,5,18,14,0,Los Angeles-North Main Street,34.06659,-118.22688,5/18/2016
0.043,2016,5,18,14,0,Los Angeles-North Main Street,34.06659,-118.22688,5/18/2016
0.033,2016,5,24,14,0,Los Angeles-North Main Street,34.06659,-118.22688,5/24/2016
0.033,2016,5,24,14,0,Los Angeles-North Main Street,34.06659,-118.22688,5/24/2016
0.05,2016,5,30,17,0,Los Angeles-North Main Street,34.06659,-118.22688,5/30/2016
0.05,2016,5,30,17,0,Los Angeles-North Main Street,34.06659,-118.22688,5/30/2016
0.046,2016,6,5,17,0,Los Angeles-North Main Street,34.06659,-118.22688,6/5/2016
0.046,2016,6,5,17,0,Los Angeles-North Main Street,34.06659,-118.22688,6/5/2016
0.029,2016,6,11,14,0,Los Angeles-North Main Street,34.06659,-118.22688,6/11/2016
0.029,2016,6,11,14,0,Los Angeles-North Main Street,34.06659,-118.22688,6/11/2016
0.074,2016,6,17,17,0,Los Angeles-North Main Street,34.06659,-118.22688,6/17/2016
0.074,2016,6,17,17,0,Los Angeles-North Main Street,34.06659,-118.22688,6/17/2016
0.045,2016,6,23,17,0,Los Angeles-North Main Street,34.06659,-118.22688,6/23/2016
0.045,2016,6,23,17,0,Los Angeles-North Main Street,34.06659,-118.22688,6/23/2016
0.056,2016,6,29,14,0,Los Angeles-North Main Street,34.06659,-118.22688,6/29/2016
0.056,2016,6,29,14,0,Los Angeles-North Main Street,34.06659,-118.22688,6/29/2016
0.047,2016,7,5,14,0,Los Angeles-North Main Street,34.06659,-118.22688,7/5/2016
0.047,2016,7,5,14,0,Los Angeles-North Main Street,34.06659,-118.22688,7/5/2016
0.05,2016,7,11,14,0,Los Angeles-North Main Street,34.06659,-118.22688,7/11/2016
0.05,2016,7,11,14,0,Los Angeles-North Main Street,34.06659,-118.22688,7/11/2016
0.052,2016,7,17,17,0,Los Angeles-North Main Street,34.06659,-118.22688,7/17/2016
0.052,2016,7,17,17,0,Los Angeles-North Main Street,34.06659,-118.22688,7/17/2016
0.061,2016,7,23,17,0,Los Angeles-North Main Street,34.06659,-118.22688,7/23/2016
0.061,2016,7,23,17,0,Los Angeles-North Main Street,34.06659,-118.22688,7/23/2016
0.048,2016,8,4,17,0,Los Angeles-North Main Street,34.06659,-118.22688,8/4/2016
0.048,2016,8,4,17,0,Los Angeles-North Main Street,34.06659,-118.22688,8/4/2016
0.054,2016,8,10,17,0,Los Angeles-North Main Street,34.06659,-118.22688,8/10/2016
0.054,2016,8,10,17,0,Los Angeles-North Main Street,34.06659,-118.22688,8/10/2016
0.046,2016,8,22,17,0,Los Angeles-North Main Street,34.06659,-118.22688,8/22/2016
0.046,2016,8,22,17,0,Los Angeles-North Main Street,34.06659,-118.22688,8/22/2016
0.051,2016,8,28,17,0,Los Angeles-North Main Street,34.06659,-118.22688,8/28/2016
0.051,2016,8,28,17,0,Los Angeles-North Main Street,34.06659,-118.22688,8/28/2016
0.044,2016,9,3,17,0,Los Angeles-North Main Street,34.06659,-118.22688,9/3/2016
0.044,2016,9,3,17,0,Los Angeles-North Main Street,34.06659,-118.22688,9/3/2016
0.048,2016,9,9,17,0,Los Angeles-North Main Street,34.06659,-118.22688,9/9/2016
0.048,2016,9,9,17,0,Los Angeles-North Main Street,34.06659,-118.22688,9/9/2016
0.043,2016,9,15,17,0,Los Angeles-North Main Street,34.06659,-118.22688,9/15/2016
0.043,2016,9,15,17,0,Los Angeles-North Main Street,34.06659,-118.22688,9/15/2016
0.055,2016,9,27,17,0,Los Angeles-North Main Street,34.06659,-118.22688,9/27/2016
0.055,2016,9,27,17,0,Los Angeles-North Main Street,34.06659,-118.22688,9/27/2016
0.042,2016,10,3,17,0,Los Angeles-North Main Street,34.06659,-118.22688,10/3/2016
0.042,2016,10,3,17,0,Los Angeles-North Main Street,34.06659,-118.22688,10/3/2016
0.069,2016,10,9,17,0,Los Angeles-North Main Street,34.06659,-118.22688,10/9/2016
0.069,2016,10,9,17,0,Los Angeles-North Main Street,34.06659,-118.22688,10/9/2016
0.03,2016,10,15,17,0,Los Angeles-North Main Street,34.06659,-118.22688,10/15/2016
0.03,2016,10,15,17,0,Los Angeles-North Main Street,34.06659,-118.22688,10/15/2016
0.042,2016,10,21,17,0,Los Angeles-North Main Street,34.06659,-118.22688,10/21/2016
0.042,2016,10,21,17,0,Los Angeles-North Main Street,34.06659,-118.22688,10/21/2016
0.025,2016,10,27,17,0,Los Angeles-North Main Street,34.06659,-118.22688,10/27/2016
0.025,2016,10,27,17,0,Los Angeles-North Main Street,34.06659,-118.22688,10/27/2016
0.028,2016,11,2,17,0,Los Angeles-North Main Street,34.06659,-118.22688,11/2/2016
0.028,2016,11,2,17,0,Los Angeles-North Main Street,34.06659,-118.22688,11/2/2016
0.041,2016,11,8,17,0,Los Angeles-North Main Street,34.06659,-118.22688,11/8/2016
0.041,2016,11,8,17,0,Los Angeles-North Main Street,34.06659,-118.22688,11/8/2016
0.044,2016,11,14,17,0,Los Angeles-North Main Street,34.06659,-118.22688,11/14/2016
0.044,2016,11,14,17,0,Los Angeles-North Main Street,34.06659,-118.22688,11/14/2016
0.028,2016,11,20,17,0,Los Angeles-North Main Street,34.06659,-118.22688,11/20/2016
0.028,2016,11,20,17,0,Los Angeles-North Main Street,34.06659,-118.22688,11/20/2016
0.036,2016,11,26,17,0,Los Angeles-North Main Street,34.06659,-118.22688,11/26/2016
0.036,2016,11,26,17,0,Los Angeles-North Main Street,34.06659,-118.22688,11/26/2016
0.031,2016,12,8,17,0,Los Angeles-North Main Street,34.06659,-118.22688,12/8/2016
0.031,2016,12,8,17,0,Los Angeles-North Main Street,34.06659,-118.22688,12/8/2016
0.015,2016,12,14,17,0,Los Angeles-North Main Street,34.06659,-118.22688,12/14/2016
