O3 1st Max Hour,O3 1st Max Value,O3 AQI,O3 Mean,Date Local
11,0.034,29,0.021625,8/31/2000
11,0.034,29,0.021625,8/31/2000
11,0.034,29,0.021625,8/31/2000
11,0.034,29,0.021625,8/31/2000
12,0.049,42,0.030417,9/1/2000
12,0.049,42,0.030417,9/1/2000
12,0.049,42,0.030417,9/1/2000
12,0.049,42,0.030417,9/1/2000
11,0.035,30,0.021625,9/2/2000
11,0.035,30,0.021625,9/2/2000
11,0.035,30,0.021625,9/2/2000
11,0.035,30,0.021625,9/2/2000
7,0.029,25,0.017625,9/3/2000
7,0.029,25,0.017625,9/3/2000
7,0.029,25,0.017625,9/3/2000
7,0.029,25,0.017625,9/3/2000
21,0.031,26,0.01875,9/4/2000
21,0.031,26,0.01875,9/4/2000
21,0.031,26,0.01875,9/4/2000
21,0.031,26,0.01875,9/4/2000
0,0.026,22,0.014958,9/5/2000
0,0.026,22,0.014958,9/5/2000
0,0.026,22,0.014958,9/5/2000
0,0.026,22,0.014958,9/5/2000
13,0.031,26,0.023792,9/6/2000
13,0.031,26,0.023792,9/6/2000
13,0.031,26,0.023792,9/6/2000
13,0.031,26,0.023792,9/6/2000
10,0.028,24,0.021125,9/7/2000
10,0.028,24,0.021125,9/7/2000
10,0.028,24,0.021125,9/7/2000
10,0.028,24,0.021125,9/7/2000
9,0.039,33,0.018,9/8/2000
9,0.039,33,0.018,9/8/2000
9,0.039,33,0.018,9/8/2000
9,0.039,33,0.018,9/8/2000
10,0.062,58,0.028042,9/9/2000
10,0.062,58,0.028042,9/9/2000
10,0.062,58,0.028042,9/9/2000
10,0.062,58,0.028042,9/9/2000
10,0.066,71,0.0305,9/10/2000
10,0.066,71,0.0305,9/10/2000
10,0.066,71,0.0305,9/10/2000
10,0.066,71,0.0305,9/10/2000
10,0.062,58,0.032917,9/11/2000
10,0.062,58,0.032917,9/11/2000
10,0.062,58,0.032917,9/11/2000
10,0.062,58,0.032917,9/11/2000
10,0.054,46,0.02725,9/12/2000
10,0.054,46,0.02725,9/12/2000
10,0.054,46,0.02725,9/12/2000
10,0.054,46,0.02725,9/12/2000
9,0.049,42,0.030292,9/13/2000
9,0.049,42,0.030292,9/13/2000
9,0.049,42,0.030292,9/13/2000
9,0.049,42,0.030292,9/13/2000
11,0.068,77,0.042208,9/14/2000
11,0.068,77,0.042208,9/14/2000
11,0.068,77,0.042208,9/14/2000
11,0.068,77,0.042208,9/14/2000
9,0.043,36,0.02825,9/15/2000
