Dmax Ozone,Year,Month,Day,OZONE-WEIGHT,Flag,Date Local
0.034,2000,08,31,11,0,8/31/2000
0.034,2000,08,31,11,0,8/31/2000
0.034,2000,08,31,11,0,8/31/2000
0.034,2000,08,31,11,0,8/31/2000
0.049,2000,09,01,12,0,9/1/2000
0.049,2000,09,01,12,0,9/1/2000
0.049,2000,09,01,12,0,9/1/2000
0.049,2000,09,01,12,0,9/1/2000
0.035,2000,09,02,11,0,9/2/2000
0.035,2000,09,02,11,0,9/2/2000
0.035,2000,09,02,11,0,9/2/2000
0.035,2000,09,02,11,0,9/2/2000
0.029,2000,09,03,7,0,9/3/2000
0.029,2000,09,03,7,0,9/3/2000
0.029,2000,09,03,7,0,9/3/2000
0.029,2000,09,03,7,0,9/3/2000
0.031,2000,09,04,21,0,9/4/2000
0.031,2000,09,04,21,0,9/4/2000
0.031,2000,09,04,21,0,9/4/2000
0.031,2000,09,04,21,0,9/4/2000
0.026,2000,09,05,0,0,9/5/2000
0.026,2000,09,05,0,0,9/5/2000
0.026,2000,09,05,0,0,9/5/2000
0.026,2000,09,05,0,0,9/5/2000
0.031,2000,09,06,13,0,9/6/2000
0.031,2000,09,06,13,0,9/6/2000
0.031,2000,09,06,13,0,9/6/2000
0.031,2000,09,06,13,0,9/6/2000
0.028,2000,09,07,10,0,9/7/2000
0.028,2000,09,07,10,0,9/7/2000
0.028,2000,09,07,10,0,9/7/2000
0.028,2000,09,07,10,0,9/7/2000
0.039,2000,09,08,9,0,9/8/2000
0.039,2000,09,08,9,0,9/8/2000
0.039,2000,09,08,9,0,9/8/2000
0.039,2000,09,08,9,0,9/8/2000
0.062,2000,09,09,10,0,9/9/2000
0.062,2000,09,09,10,0,9/9/2000
0.062,2000,09,09,10,0,9/9/2000
0.062,2000,09,09,10,0,9/9/2000
0.066,2000,09,10,10,0,9/10/2000
0.066,2000,09,10,10,0,9/10/2000
0.066,2000,09,10,10,0,9/10/2000
0.066,2000,09,10,10,0,9/10/2000
0.062,2000,09,11,10,0,9/11/2000
0.062,2000,09,11,10,0,9/11/2000
0.062,2000,09,11,10,0,9/11/2000
0.062,2000,09,11,10,0,9/11/2000
0.054,2000,09,12,10,0,9/12/2000
0.054,2000,09,12,10,0,9/12/2000
