DMax Ozone,Year,Month,Day,OZONE-WEIGHT,Flag,Site Name,Lat,Lng,Date
0.027,2016,1,1,17,0,Newark Firehouse,40.720989,-74.192892,1/1/2016
0.03,2016,1,4,17,0,Newark Firehouse,40.720989,-74.192892,1/4/2016
0.003,2016,1,7,17,0,Newark Firehouse,40.720989,-74.192892,1/7/2016
0.028,2016,1,10,17,0,Newark Firehouse,40.720989,-74.192892,1/10/2016
0.028,2016,1,13,17,0,Newark Firehouse,40.720989,-74.192892,1/13/2016
0.028,2016,1,16,17,0,Newark Firehouse,40.720989,-74.192892,1/16/2016
0.03,2016,1,19,17,0,Newark Firehouse,40.720989,-74.192892,1/19/2016
0.029,2016,1,22,17,0,Newark Firehouse,40.720989,-74.192892,1/22/2016
0.014,2016,1,25,17,0,Newark Firehouse,40.720989,-74.192892,1/25/2016
0.018,2016,1,28,17,0,Newark Firehouse,40.720989,-74.192892,1/28/2016
0.023,2016,1,31,17,0,Newark Firehouse,40.720989,-74.192892,1/31/2016
0.009,2016,2,3,17,0,Newark Firehouse,40.720989,-74.192892,2/3/2016
0.026,2016,2,6,17,0,Newark Firehouse,40.720989,-74.192892,2/6/2016
0.019,2016,2,9,17,0,Newark Firehouse,40.720989,-74.192892,2/9/2016
0.032,2016,2,12,17,0,Newark Firehouse,40.720989,-74.192892,2/12/2016
0.033,2016,2,18,17,0,Newark Firehouse,40.720989,-74.192892,2/18/2016
0.031,2016,2,21,17,0,Newark Firehouse,40.720989,-74.192892,2/21/2016
0.026,2016,2,24,17,0,Newark Firehouse,40.720989,-74.192892,2/24/2016
0.035,2016,2,27,17,0,Newark Firehouse,40.720989,-74.192892,2/27/2016
0.033,2016,3,1,17,0,Newark Firehouse,40.720989,-74.192892,3/1/2016
0.016,2016,3,16,17,0,Newark Firehouse,40.720989,-74.192892,3/16/2016
0.037,2016,3,19,17,0,Newark Firehouse,40.720989,-74.192892,3/19/2016
0.04,2016,3,22,17,0,Newark Firehouse,40.720989,-74.192892,3/22/2016
0.04,2016,3,25,17,0,Newark Firehouse,40.720989,-74.192892,3/25/2016
0.04,2016,3,28,17,0,Newark Firehouse,40.720989,-74.192892,3/28/2016
0.047,2016,3,31,17,0,Newark Firehouse,40.720989,-74.192892,3/31/2016
0.04,2016,4,3,17,0,Newark Firehouse,40.720989,-74.192892,4/3/2016
0.038,2016,4,6,17,0,Newark Firehouse,40.720989,-74.192892,4/6/2016
0.035,2016,4,9,17,0,Newark Firehouse,40.720989,-74.192892,4/9/2016
0.037,2016,4,12,17,0,Newark Firehouse,40.720989,-74.192892,4/12/2016
0.035,2016,4,15,17,0,Newark Firehouse,40.720989,-74.192892,4/15/2016
0.054,2016,4,18,17,0,Newark Firehouse,40.720989,-74.192892,4/18/2016
0.056,2016,4,21,17,0,Newark Firehouse,40.720989,-74.192892,4/21/2016
0.047,2016,4,24,17,0,Newark Firehouse,40.720989,-74.192892,4/24/2016
0.025,2016,4,27,17,0,Newark Firehouse,40.720989,-74.192892,4/27/2016
0.044,2016,4,30,17,0,Newark Firehouse,40.720989,-74.192892,4/30/2016
0.015,2016,5,3,17,0,Newark Firehouse,40.720989,-74.192892,5/3/2016
0.015,2016,5,6,17,0,Newark Firehouse,40.720989,-74.192892,5/6/2016
0.046,2016,5,9,17,0,Newark Firehouse,40.720989,-74.192892,5/9/2016
0.049,2016,5,12,17,0,Newark Firehouse,40.720989,-74.192892,5/12/2016
0.028,2016,5,15,17,0,Newark Firehouse,40.720989,-74.192892,5/15/2016
0.035,2016,5,18,17,0,Newark Firehouse,40.720989,-74.192892,5/18/2016
0.036,2016,5,21,17,0,Newark Firehouse,40.720989,-74.192892,5/21/2016
0.038,2016,5,24,17,0,Newark Firehouse,40.720989,-74.192892,5/24/2016
0.049,2016,5,27,17,0,Newark Firehouse,40.720989,-74.192892,5/27/2016
0.037,2016,5,30,17,0,Newark Firehouse,40.720989,-74.192892,5/30/2016
0.031,2016,6,2,17,0,Newark Firehouse,40.720989,-74.192892,6/2/2016
0.025,2016,6,5,17,0,Newark Firehouse,40.720989,-74.192892,6/5/2016
0.027,2016,6,8,17,0,Newark Firehouse,40.720989,-74.192892,6/8/2016
0.065,2016,6,11,17,0,Newark Firehouse,40.720989,-74.192892,6/11/2016
0.037,2016,6,14,17,0,Newark Firehouse,40.720989,-74.192892,6/14/2016
0.041,2016,6,17,17,0,Newark Firehouse,40.720989,-74.192892,6/17/2016
0.053,2016,6,20,17,0,Newark Firehouse,40.720989,-74.192892,6/20/2016
0.047,2016,6,23,17,0,Newark Firehouse,40.720989,-74.192892,6/23/2016
0.06,2016,6,26,17,0,Newark Firehouse,40.720989,-74.192892,6/26/2016
0.047,2016,6,29,17,0,Newark Firehouse,40.720989,-74.192892,6/29/2016
0.032,2016,7,2,17,0,Newark Firehouse,40.720989,-74.192892,7/2/2016
0.038,2016,7,5,17,0,Newark Firehouse,40.720989,-74.192892,7/5/2016
0.036,2016,7,11,17,0,Newark Firehouse,40.720989,-74.192892,7/11/2016
0.049,2016,7,14,17,0,Newark Firehouse,40.720989,-74.192892,7/14/2016
0.058,2016,7,17,17,0,Newark Firehouse,40.720989,-74.192892,7/17/2016
0.048,2016,7,20,17,0,Newark Firehouse,40.720989,-74.192892,7/20/2016
0.051,2016,7,23,17,0,Newark Firehouse,40.720989,-74.192892,7/23/2016
0.042,2016,7,26,17,0,Newark Firehouse,40.720989,-74.192892,7/26/2016
0.062,2016,7,29,17,0,Newark Firehouse,40.720989,-74.192892,7/29/2016
0.021,2016,8,1,17,0,Newark Firehouse,40.720989,-74.192892,8/1/2016
0.033,2016,8,4,17,0,Newark Firehouse,40.720989,-74.192892,8/4/2016
0.034,2016,8,7,17,0,Newark Firehouse,40.720989,-74.192892,8/7/2016
0.038,2016,8,10,17,0,Newark Firehouse,40.720989,-74.192892,8/10/2016
0.054,2016,8,13,17,0,Newark Firehouse,40.720989,-74.192892,8/13/2016
0.051,2016,8,16,17,0,Newark Firehouse,40.720989,-74.192892,8/16/2016
0.051,2016,8,19,17,0,Newark Firehouse,40.720989,-74.192892,8/19/2016
0.03,2016,8,22,17,0,Newark Firehouse,40.720989,-74.192892,8/22/2016
0.055,2016,8,25,17,0,Newark Firehouse,40.720989,-74.192892,8/25/2016
0.042,2016,8,28,17,0,Newark Firehouse,40.720989,-74.192892,8/28/2016
0.057,2016,8,31,17,0,Newark Firehouse,40.720989,-74.192892,8/31/2016
0.032,2016,9,3,17,0,Newark Firehouse,40.720989,-74.192892,9/3/2016
0.03,2016,9,6,17,0,Newark Firehouse,40.720989,-74.192892,9/6/2016
0.045,2016,9,9,17,0,Newark Firehouse,40.720989,-74.192892,9/9/2016
0.031,2016,9,12,17,0,Newark Firehouse,40.720989,-74.192892,9/12/2016
0.034,2016,9,15,17,0,Newark Firehouse,40.720989,-74.192892,9/15/2016
0.031,2016,9,18,17,0,Newark Firehouse,40.720989,-74.192892,9/18/2016
0.047,2016,9,21,17,0,Newark Firehouse,40.720989,-74.192892,9/21/2016
0.02,2016,9,30,17,0,Newark Firehouse,40.720989,-74.192892,9/30/2016
0.027,2016,10,3,17,0,Newark Firehouse,40.720989,-74.192892,10/3/2016
0.024,2016,10,6,17,0,Newark Firehouse,40.720989,-74.192892,10/6/2016
0.019,2016,10,9,17,0,Newark Firehouse,40.720989,-74.192892,10/9/2016
0.023,2016,10,12,17,0,Newark Firehouse,40.720989,-74.192892,10/12/2016
0.031,2016,10,15,17,0,Newark Firehouse,40.720989,-74.192892,10/15/2016
0.041,2016,10,18,17,0,Newark Firehouse,40.720989,-74.192892,10/18/2016
0.011,2016,10,21,17,0,Newark Firehouse,40.720989,-74.192892,10/21/2016
0.033,2016,10,24,17,0,Newark Firehouse,40.720989,-74.192892,10/24/2016
0.008,2016,10,27,17,0,Newark Firehouse,40.720989,-74.192892,10/27/2016
0.036,2016,10,30,17,0,Newark Firehouse,40.720989,-74.192892,10/30/2016
0.023,2016,11,2,17,0,Newark Firehouse,40.720989,-74.192892,11/2/2016
0.028,2016,11,5,17,0,Newark Firehouse,40.720989,-74.192892,11/5/2016
0.011,2016,11,8,17,0,Newark Firehouse,40.720989,-74.192892,11/8/2016
0.03,2016,11,11,17,0,Newark Firehouse,40.720989,-74.192892,11/11/2016
0.027,2016,11,17,17,0,Newark Firehouse,40.720989,-74.192892,11/17/2016
0.033,2016,11,20,17,0,Newark Firehouse,40.720989,-74.192892,11/20/2016
0.029,2016,11,23,17,0,Newark Firehouse,40.720989,-74.192892,11/23/2016
0.018,2016,11,26,17,0,Newark Firehouse,40.720989,-74.192892,11/26/2016
0.016,2016,11,29,17,0,Newark Firehouse,40.720989,-74.192892,11/29/2016
0.016,2016,12,2,17,0,Newark Firehouse,40.720989,-74.192892,12/2/2016
0.016,2016,12,5,17,0,Newark Firehouse,40.720989,-74.192892,12/5/2016
0.016,2016,12,8,17,0,Newark Firehouse,40.720989,-74.192892,12/8/2016
0.017,2016,12,11,17,0,Newark Firehouse,40.720989,-74.192892,12/11/2016
0.003,2016,12,17,17,0,Newark Firehouse,40.720989,-74.192892,12/17/2016
0.018,2016,12,20,17,0,Newark Firehouse,40.720989,-74.192892,12/20/2016
0.025,2018,1,2,17,0,Newark Firehouse,40.720989,-74.192892,1/2/2018
0.033,2018,1,5,17,0,Newark Firehouse,40.720989,-74.192892,1/5/2018
0.013,2018,1,8,17,0,Newark Firehouse,40.720989,-74.192892,1/8/2018
0.001,2018,1,11,17,0,Newark Firehouse,40.720989,-74.192892,1/11/2018
0.019,2018,1,17,17,0,Newark Firehouse,40.720989,-74.192892,1/17/2018
0.033,2018,1,20,17,0,Newark Firehouse,40.720989,-74.192892,1/20/2018
0.027,2018,1,23,17,0,Newark Firehouse,40.720989,-74.192892,1/23/2018
0.019,2018,1,26,17,0,Newark Firehouse,40.720989,-74.192892,1/26/2018
0.021,2018,1,29,17,0,Newark Firehouse,40.720989,-74.192892,1/29/2018
0.015,2018,2,1,17,0,Newark Firehouse,40.720989,-74.192892,2/1/2018
0.024,2018,2,4,17,0,Newark Firehouse,40.720989,-74.192892,2/4/2018
0.035,2018,2,16,17,0,Newark Firehouse,40.720989,-74.192892,2/16/2018
0.021,2018,2,19,17,0,Newark Firehouse,40.720989,-74.192892,2/19/2018
0.021,2018,2,22,17,0,Newark Firehouse,40.720989,-74.192892,2/22/2018
0.019,2018,2,25,17,0,Newark Firehouse,40.720989,-74.192892,2/25/2018
0.034,2018,2,28,17,0,Newark Firehouse,40.720989,-74.192892,2/28/2018
0.036,2018,3,3,17,0,Newark Firehouse,40.720989,-74.192892,3/3/2018
0.033,2018,3,6,17,0,Newark Firehouse,40.720989,-74.192892,3/6/2018
0.033,2018,3,9,17,0,Newark Firehouse,40.720989,-74.192892,3/9/2018
0.032,2018,3,12,17,0,Newark Firehouse,40.720989,-74.192892,3/12/2018
0.042,2018,3,15,17,0,Newark Firehouse,40.720989,-74.192892,3/15/2018
0.036,2018,3,21,17,0,Newark Firehouse,40.720989,-74.192892,3/21/2018
0.045,2018,3,24,17,0,Newark Firehouse,40.720989,-74.192892,3/24/2018
0.026,2018,3,27,17,0,Newark Firehouse,40.720989,-74.192892,3/27/2018
0.035,2018,3,30,17,0,Newark Firehouse,40.720989,-74.192892,3/30/2018
0.035,2018,4,2,17,0,Newark Firehouse,40.720989,-74.192892,4/2/2018
0.043,2018,4,5,17,0,Newark Firehouse,40.720989,-74.192892,4/5/2018
0.043,2018,4,8,17,0,Newark Firehouse,40.720989,-74.192892,4/8/2018
0.039,2018,4,11,17,0,Newark Firehouse,40.720989,-74.192892,4/11/2018
