DMax Ozone,Year,Month,Day,OZONE-WEIGHT,Flag
0.027,2016,1,1,17,0
0.03,2016,1,4,17,0
0.003,2016,1,7,17,0
0.028,2016,1,10,17,0
0.028,2016,1,13,17,0
0.028,2016,1,16,17,0
0.03,2016,1,19,17,0
0.029,2016,1,22,17,0
0.014,2016,1,25,17,0
0.018,2016,1,28,17,0
0.023,2016,1,31,17,0
0.009,2016,2,3,17,0
0.026,2016,2,6,17,0
0.019,2016,2,9,17,0
0.032,2016,2,12,17,0
0.033,2016,2,18,17,0
0.031,2016,2,21,17,0
0.026,2016,2,24,17,0
0.035,2016,2,27,17,0
0.033,2016,3,1,17,0
0.016,2016,3,16,17,0
0.037,2016,3,19,17,0
0.04,2016,3,22,17,0
0.04,2016,3,25,17,0
0.04,2016,3,28,17,0
0.047,2016,3,31,17,0
0.04,2016,4,3,17,0
0.038,2016,4,6,17,0
0.035,2016,4,9,17,0
0.037,2016,4,12,17,0
0.035,2016,4,15,17,0
0.054,2016,4,18,17,0
0.056,2016,4,21,17,0
0.047,2016,4,24,17,0
0.025,2016,4,27,17,0
0.044,2016,4,30,17,0
0.015,2016,5,3,17,0
0.015,2016,5,6,17,0
0.046,2016,5,9,17,0
0.049,2016,5,12,17,0
0.028,2016,5,15,17,0
0.035,2016,5,18,17,0
0.036,2016,5,21,17,0
0.038,2016,5,24,17,0
0.049,2016,5,27,17,0
0.037,2016,5,30,17,0
0.031,2016,6,2,17,0
0.025,2016,6,5,17,0
0.027,2016,6,8,17,0
0.065,2016,6,11,17,0
0.037,2016,6,14,17,0
0.041,2016,6,17,17,0
0.053,2016,6,20,17,0
0.047,2016,6,23,17,0
0.06,2016,6,26,17,0
0.047,2016,6,29,17,0
0.032,2016,7,2,17,0
0.038,2016,7,5,17,0
0.036,2016,7,11,17,0
0.049,2016,7,14,17,0
0.058,2016,7,17,17,0
0.048,2016,7,20,17,0
0.051,2016,7,23,17,0
0.042,2016,7,26,17,0
0.062,2016,7,29,17,0
0.021,2016,8,1,17,0
0.033,2016,8,4,17,0
0.034,2016,8,7,17,0
0.038,2016,8,10,17,0
0.054,2016,8,13,17,0
0.051,2016,8,16,17,0
0.051,2016,8,19,17,0
0.03,2016,8,22,17,0
0.055,2016,8,25,17,0
0.042,2016,8,28,17,0
0.057,2016,8,31,17,0
0.032,2016,9,3,17,0
0.03,2016,9,6,17,0
0.045,2016,9,9,17,0
0.031,2016,9,12,17,0
0.034,2016,9,15,17,0
0.031,2016,9,18,17,0
0.047,2016,9,21,17,0
0.02,2016,9,30,17,0
0.027,2016,10,3,17,0
0.024,2016,10,6,17,0
0.019,2016,10,9,17,0
0.023,2016,10,12,17,0
0.031,2016,10,15,17,0
0.041,2016,10,18,17,0
0.011,2016,10,21,17,0
0.033,2016,10,24,17,0
0.008,2016,10,27,17,0
0.036,2016,10,30,17,0
0.023,2016,11,2,17,0
0.028,2016,11,5,17,0
0.011,2016,11,8,17,0
0.03,2016,11,11,17,0
0.027,2016,11,17,17,0
0.033,2016,11,20,17,0
0.029,2016,11,23,17,0
0.018,2016,11,26,17,0
0.016,2016,11,29,17,0
0.016,2016,12,2,17,0
0.016,2016,12,5,17,0
0.016,2016,12,8,17,0
0.017,2016,12,11,17,0
0.003,2016,12,17,17,0
0.018,2016,12,20,17,0
0.025,2018,1,2,17,0
0.033,2018,1,5,17,0
0.013,2018,1,8,17,0
0.001,2018,1,11,17,0
0.019,2018,1,17,17,0
0.033,2018,1,20,17,0
0.027,2018,1,23,17,0
0.019,2018,1,26,17,0
0.021,2018,1,29,17,0
0.015,2018,2,1,17,0
0.024,2018,2,4,17,0
0.035,2018,2,16,17,0
0.021,2018,2,19,17,0
0.021,2018,2,22,17,0
0.019,2018,2,25,17,0
0.034,2018,2,28,17,0
0.036,2018,3,3,17,0
0.033,2018,3,6,17,0
0.033,2018,3,9,17,0
0.032,2018,3,12,17,0
0.042,2018,3,15,17,0
0.036,2018,3,21,17,0
0.045,2018,3,24,17,0
0.026,2018,3,27,17,0
0.035,2018,3,30,17,0
0.035,2018,4,2,17,0
0.043,2018,4,5,17,0
0.043,2018,4,8,17,0
0.039,2018,4,11,17,0
0.052,2018,4,14,17,0
0.031,2018,4,17,17,0
0.035,2018,4,29,17,0
0.04,2018,5,8,17,0
0.05,2018,5,11,17,0
0.027,2018,5,14,17,0
0.022,2018,5,17,17,0
0.037,2018,5,20,17,0
0.06,2018,5,26,17,0
0.031,2018,6,1,17,0
0.024,2018,6,7,17,0
0.026,2018,6,10,17,0
0.039,2018,6,13,17,0
0.044,2018,6,16,17,0
0.041,2018,6,19,17,0
0.035,2018,6,22,17,0
0.037,2018,6,25,17,0
0.047,2018,6,28,17,0
0.043,2018,7,4,17,0
0.041,2018,7,7,17,0
0.08,2018,7,10,17,0
0.058,2018,7,13,17,0
0.067,2018,7,16,17,0
0.054,2018,7,19,17,0
0.027,2018,7,22,17,0
0.042,2018,7,31,17,0
0.025,2018,8,3,17,0
0.061,2018,8,6,17,0
0.051,2018,8,9,17,0
0.051,2018,8,12,17,0
0.046,2018,8,15,17,0
0.044,2018,8,18,17,0
0.024,2018,8,21,17,0
0.054,2018,8,24,17,0
0.057,2018,8,27,17,0
0.041,2018,8,30,17,0
0.037,2018,9,2,17,0
0.048,2018,9,5,17,0
0.023,2018,9,8,17,0
0.005,2018,9,11,17,0
0.015,2018,9,14,17,0
0.019,2018,9,17,17,0
0.021,2018,9,20,17,0
0.019,2018,9,23,17,0
0.028,2018,9,26,17,0
0.037,2018,9,29,17,0
0.039,2018,10,2,17,0
0.023,2018,10,5,17,0
0.005,2018,10,8,17,0
0.019,2018,10,11,17,0
0.03,2018,10,17,17,0
0.027,2018,10,20,17,0
0.032,2018,10,23,17,0
0.025,2018,10,26,17,0
0.021,2018,10,29,17,0
0.03,2018,11,1,17,0
0.025,2018,11,4,17,0
0.025,2018,11,7,17,0
0.03,2018,11,10,17,0
0.025,2018,11,13,17,0
0.028,2018,11,16,17,0
0.013,2018,11,19,17,0
0.033,2018,11,22,17,0
0.031,2018,11,25,17,0
0.022,2018,11,28,17,0
0.011,2018,12,1,17,0
0.03,2018,12,4,17,0
0.028,2018,12,7,17,0
0.025,2018,12,10,17,0
0.022,2018,12,16,17,0
0.017,2018,12,19,17,0
0.025,2018,12,22,17,0
0.025,2018,12,25,17,0
0.013,2018,12,28,17,0
0.021,2018,1,2,17,0
0.017,2018,1,8,17,0
0.031,2018,1,14,17,0
0.032,2018,1,20,17,0
0.019,2018,1,26,17,0
0.013,2018,2,1,17,0
0.029,2018,2,7,17,0
0.034,2018,2,13,17,0
0.028,2018,2,25,17,0
0.037,2018,3,3,17,0
0.031,2018,3,9,17,0
0.041,2018,3,15,17,0
0.037,2018,3,21,17,0
0.041,2018,4,2,17,0
0.042,2018,4,8,17,0
0.053,2018,4,14,17,0
0.04,2018,4,20,17,0
0.051,2018,4,26,17,0
0.071,2018,5,2,8,0
0.053,2018,5,8,17,0
0.035,2018,5,14,17,0
0.038,2018,5,20,17,0
0.067,2018,5,26,17,0
0.054,2018,6,2,17,0
0.029,2018,6,7,17,0
0.036,2018,6,13,17,0
0.038,2018,6,25,17,0
0.08,2018,7,1,17,0
0.039,2018,7,7,17,0
0.047,2018,7,13,17,0
0.053,2018,7,19,17,0
0.025,2018,7,25,17,0
0.071,2018,8,6,17,0
0.048,2018,8,12,17,0
0.047,2018,8,18,17,0
0.051,2018,9,5,17,0
0.01,2018,9,11,17,0
0.027,2018,9,17,17,0
0.023,2018,9,23,17,0
0.037,2018,9,29,17,0
0.028,2018,10,5,17,0
0.018,2018,10,11,17,0
0.028,2018,10,17,17,0
0.029,2018,10,23,17,0
0.023,2018,10,29,17,0
0.029,2018,11,10,17,0
0.031,2018,11,22,17,0
0.026,2018,12,4,17,0
0.027,2018,12,10,17,0
0.025,2018,12,16,17,0
0.026,2018,12,22,17,0
0.026,2018,12,28,17,0
0.026,2020,1,1,17,0
0.027,2020,1,4,17,0
0.011,2020,1,7,17,0
0.018,2020,1,10,17,0
0.002,2020,1,13,17,0
0.031,2020,1,16,17,0
0.033,2020,1,19,17,0
0.023,2020,1,25,17,0
0.035,2020,1,28,17,0
0.016,2020,1,31,17,0
0.027,2020,2,3,17,0
0.007,2020,2,6,17,0
0.024,2020,2,9,17,0
0.032,2020,2,12,17,0
0.025,2020,2,15,17,0
0.037,2020,2,21,17,0
0.024,2020,2,24,17,0
0.038,2020,2,27,17,0
0.041,2020,3,1,17,0
0.039,2020,3,4,17,0
0.04,2020,3,7,17,0
0.034,2020,3,10,17,0
0.034,2020,3,16,17,0
0.042,2020,7,5,17,0
0.03,2020,7,8,17,0
0.04,2020,7,11,17,0
0.032,2020,7,14,17,0
0.039,2020,7,17,17,0
0.054,2020,7,20,17,0
0.05,2020,7,23,17,0
0.056,2020,7,26,17,0
0.062,2020,7,29,17,0
0.061,2020,8,1,17,0
0.027,2020,8,4,17,0
0.05,2020,8,7,17,0
0.065,2020,8,10,17,0
0.035,2020,8,13,17,0
0.02,2020,8,16,17,0
0.03,2020,8,19,17,0
0.047,2020,8,22,17,0
0.054,2020,8,25,17,0
0.042,2020,8,28,17,0
0.047,2020,9,3,17,0
0.052,2020,9,6,17,0
0.022,2020,9,9,17,0
0.028,2020,9,12,17,0
0.019,2020,9,15,17,0
0.029,2020,9,18,17,0
0.031,2020,9,21,17,0
0.04,2020,9,24,17,0
0.033,2020,9,27,17,0
0.031,2020,9,30,17,0
0.031,2020,10,3,17,0
0.042,2020,10,6,17,0
0.034,2020,10,9,17,0
0.021,2020,10,12,17,0
0.04,2020,10,15,17,0
0.028,2020,10,18,17,0
0.009,2020,10,21,17,0
0.019,2020,10,24,17,0
0.017,2020,10,27,17,0
0.018,2020,10,30,17,0
0.033,2020,11,2,17,0
0.032,2020,11,5,17,0
0.024,2020,11,8,17,0
0.012,2020,11,11,17,0
0.032,2020,11,17,17,0
0.024,2020,11,29,17,0
0.021,2020,12,2,17,0
0.025,2020,12,5,17,0
0.02,2020,12,14,17,0
0.029,2020,12,17,17,0
0.021,2020,12,26,17,0
0.033,2020,12,29,17,0
0.027,2020,1,4,17,0
0.013,2020,1,10,17,0
0.011,2020,1,22,17,0
0.034,2020,1,28,17,0
0.022,2020,2,3,17,0
0.032,2020,2,9,17,0
0.028,2020,2,15,17,0
0.033,2020,2,21,17,0
0.036,2020,2,27,17,0
0.038,2020,3,4,17,0
0.042,2020,6,8,14,0
0.037,2020,6,14,17,0
0.047,2020,6,20,17,0
0.066,2020,6,26,17,0
0.057,2020,7,2,17,0
0.033,2020,7,8,17,0
0.037,2020,7,14,17,0
0.062,2020,7,26,17,0
0.062,2020,8,1,17,0
0.059,2020,8,7,17,0
0.041,2020,8,13,17,0
0.04,2020,8,19,14,0
0.059,2020,8,25,17,0
0.03,2020,8,31,17,0
0.06,2020,9,6,17,0
0.031,2020,9,12,17,0
0.031,2020,9,18,17,0
0.037,2020,9,24,17,0
0.043,2020,10,6,17,0
0.03,2020,10,12,17,0
0.034,2020,10,18,17,0
0.02,2020,10,24,17,0
0.021,2020,10,30,17,0
0.016,2020,11,11,17,0
0.031,2020,11,17,17,0
0.027,2020,11,23,17,0
0.021,2020,11,29,13,0
0.023,2020,12,5,17,0
0.022,2020,12,11,17,0
0.026,2020,12,17,17,0
0.021,2020,12,23,17,0
0.032,2020,12,29,17,0
