Dmax Ozone,Year,Month,Day,OZONE-WEIGHT,Flag,,,
0.036,1900,01,00,31,0,,,
0.036,1900,01,00,31,0,,,
0.036,1900,01,00,31,0,,,
0.036,1900,01,00,31,0,,,
0.065,1900,01,00,67,0,,,
0.065,1900,01,00,67,0,,,
0.065,1900,01,00,67,0,,,
0.065,1900,01,00,67,0,,,
0.069,1900,01,00,80,0,,,
0.069,1900,01,00,80,0,,,
0.069,1900,01,00,80,0,,,
0.069,1900,01,00,80,0,,,
0.057,1900,01,00,48,0,,,
0.057,1900,01,00,48,0,,,
0.057,1900,01,00,48,0,,,
0.057,1900,01,00,48,0,,,
0.066,1900,01,00,71,0,,,
0.066,1900,01,00,71,0,,,
0.066,1900,01,00,71,0,,,
0.066,1900,01,00,71,0,,,
0.026,1900,01,00,22,0,,,
0.026,1900,01,00,22,0,,,
0.026,1900,01,00,22,0,,,
0.026,1900,01,00,22,0,,,
0.036,1900,01,00,31,0,,,
0.036,1900,01,00,31,0,,,
0.036,1900,01,00,31,0,,,
0.036,1900,01,00,31,0,,,
0.027,1900,01,00,23,0,,,
0.027,1900,01,00,23,0,,,
0.027,1900,01,00,23,0,,,
0.027,1900,01,00,23,0,,,
0.031,1900,01,00,26,0,,,
0.031,1900,01,00,26,0,,,
0.031,1900,01,00,26,0,,,
0.031,1900,01,00,26,0,,,
0.042,1900,01,00,36,0,,,
0.042,1900,01,00,36,0,,,
0.042,1900,01,00,36,0,,,
0.042,1900,01,00,36,0,,,
0.04,1900,01,00,34,0,,,
0.04,1900,01,00,34,0,,,
0.04,1900,01,00,34,0,,,
0.04,1900,01,00,34,0,,,
0.044,1900,01,00,37,0,,,
0.044,1900,01,00,37,0,,,
0.044,1900,01,00,37,0,,,
0.044,1900,01,00,37,0,,,
0.055,1900,01,00,47,0,,,
0.055,1900,01,00,47,0,,,
0.055,1900,01,00,47,0,,,
0.055,1900,01,00,47,0,,,
0.032,1900,01,00,27,0,,,
0.032,1900,01,00,27,0,,,
0.032,1900,01,00,27,0,,,
0.032,1900,01,00,27,0,,,
0.016,1900,01,00,14,0,,,
0.016,1900,01,00,14,0,,,
0.016,1900,01,00,14,0,,,
0.016,1900,01,00,14,0,,,
0.026,1900,01,00,22,0,,,
0.026,1900,01,00,22,0,,,
0.026,1900,01,00,22,0,,,
0.026,1900,01,00,22,0,,,
0.03,1900,01,00,25,0,,,
0.03,1900,01,00,25,0,,,
0.03,1900,01,00,25,0,,,
0.03,1900,01,00,25,0,,,
0.02,1900,01,00,17,0,,,
0.02,1900,01,00,17,0,,,
0.02,1900,01,00,17,0,,,
0.02,1900,01,00,17,0,,,
0.033,1900,01,00,28,0,,,
0.033,1900,01,00,28,0,,,
0.033,1900,01,00,28,0,,,
0.033,1900,01,00,28,0,,,
0.045,1900,01,00,38,0,,,
0.045,1900,01,00,38,0,,,
