Dmax Ozone,Year,Month,Day,OZONE-WEIGHT,Flag,Date Local
0.036,2000,05,05,31,0,5/5/2000
0.036,2000,05,05,31,0,5/5/2000
0.036,2000,05,05,31,0,5/5/2000
0.036,2000,05,05,31,0,5/5/2000
0.065,2000,05,06,67,0,5/6/2000
0.065,2000,05,06,67,0,5/6/2000
0.065,2000,05,06,67,0,5/6/2000
0.065,2000,05,06,67,0,5/6/2000
0.069,2000,05,07,80,0,5/7/2000
0.069,2000,05,07,80,0,5/7/2000
0.069,2000,05,07,80,0,5/7/2000
0.069,2000,05,07,80,0,5/7/2000
0.057,2000,05,08,48,0,5/8/2000
0.057,2000,05,08,48,0,5/8/2000
0.057,2000,05,08,48,0,5/8/2000
0.057,2000,05,08,48,0,5/8/2000
0.066,2000,05,09,71,0,5/9/2000
0.066,2000,05,09,71,0,5/9/2000
0.066,2000,05,09,71,0,5/9/2000
0.066,2000,05,09,71,0,5/9/2000
0.026,2000,05,10,22,0,5/10/2000
0.026,2000,05,10,22,0,5/10/2000
0.026,2000,05,10,22,0,5/10/2000
0.026,2000,05,10,22,0,5/10/2000
0.036,2000,05,11,31,0,5/11/2000
0.036,2000,05,11,31,0,5/11/2000
0.036,2000,05,11,31,0,5/11/2000
0.036,2000,05,11,31,0,5/11/2000
0.027,2000,05,12,23,0,5/12/2000
0.027,2000,05,12,23,0,5/12/2000
0.027,2000,05,12,23,0,5/12/2000
0.027,2000,05,12,23,0,5/12/2000
0.031,2000,05,13,26,0,5/13/2000
0.031,2000,05,13,26,0,5/13/2000
0.031,2000,05,13,26,0,5/13/2000
0.031,2000,05,13,26,0,5/13/2000
0.042,2000,05,14,36,0,5/14/2000
0.042,2000,05,14,36,0,5/14/2000
0.042,2000,05,14,36,0,5/14/2000
0.042,2000,05,14,36,0,5/14/2000
0.04,2000,05,15,34,0,5/15/2000
0.04,2000,05,15,34,0,5/15/2000
0.04,2000,05,15,34,0,5/15/2000
0.04,2000,05,15,34,0,5/15/2000
0.044,2000,05,16,37,0,5/16/2000
0.044,2000,05,16,37,0,5/16/2000
0.044,2000,05,16,37,0,5/16/2000
0.044,2000,05,16,37,0,5/16/2000
0.055,2000,05,17,47,0,5/17/2000
0.055,2000,05,17,47,0,5/17/2000
0.055,2000,05,17,47,0,5/17/2000
0.055,2000,05,17,47,0,5/17/2000
0.032,2000,05,18,27,0,5/18/2000
0.032,2000,05,18,27,0,5/18/2000
0.032,2000,05,18,27,0,5/18/2000
0.032,2000,05,18,27,0,5/18/2000
0.016,2000,05,19,14,0,5/19/2000
0.016,2000,05,19,14,0,5/19/2000
0.016,2000,05,19,14,0,5/19/2000
0.016,2000,05,19,14,0,5/19/2000
0.026,2000,05,20,22,0,5/20/2000
0.026,2000,05,20,22,0,5/20/2000
0.026,2000,05,20,22,0,5/20/2000
0.026,2000,05,20,22,0,5/20/2000
0.03,2000,05,21,25,0,5/21/2000
0.03,2000,05,21,25,0,5/21/2000
0.03,2000,05,21,25,0,5/21/2000
0.03,2000,05,21,25,0,5/21/2000
0.02,2000,05,22,17,0,5/22/2000
0.02,2000,05,22,17,0,5/22/2000
0.02,2000,05,22,17,0,5/22/2000
0.02,2000,05,22,17,0,5/22/2000
0.033,2000,05,23,28,0,5/23/2000
0.033,2000,05,23,28,0,5/23/2000
0.033,2000,05,23,28,0,5/23/2000
0.033,2000,05,23,28,0,5/23/2000
0.045,2000,05,24,38,0,5/24/2000
0.045,2000,05,24,38,0,5/24/2000
0.045,2000,05,24,38,0,5/24/2000
0.045,2000,05,24,38,0,5/24/2000
0.044,2000,05,25,37,0,5/25/2000
0.044,2000,05,25,37,0,5/25/2000
0.044,2000,05,25,37,0,5/25/2000
0.044,2000,05,25,37,0,5/25/2000
0.036,2000,05,26,31,0,5/26/2000
0.036,2000,05,26,31,0,5/26/2000
0.036,2000,05,26,31,0,5/26/2000
0.036,2000,05,26,31,0,5/26/2000
0.03,2000,05,27,25,0,5/27/2000
0.03,2000,05,27,25,0,5/27/2000
0.03,2000,05,27,25,0,5/27/2000
0.03,2000,05,27,25,0,5/27/2000
0.036,2000,05,28,31,0,5/28/2000
0.036,2000,05,28,31,0,5/28/2000
0.036,2000,05,28,31,0,5/28/2000
0.036,2000,05,28,31,0,5/28/2000
0.031,2000,05,29,26,0,5/29/2000
0.031,2000,05,29,26,0,5/29/2000
0.031,2000,05,29,26,0,5/29/2000
0.031,2000,05,29,26,0,5/29/2000
0.035,2000,05,30,30,0,5/30/2000
0.035,2000,05,30,30,0,5/30/2000
0.035,2000,05,30,30,0,5/30/2000
0.035,2000,05,30,30,0,5/30/2000
0.024,2000,05,31,20,0,5/31/2000
0.024,2000,05,31,20,0,5/31/2000
0.024,2000,05,31,20,0,5/31/2000
0.024,2000,05,31,20,0,5/31/2000
0.062,2000,06,01,58,0,6/1/2000
0.062,2000,06,01,58,0,6/1/2000
0.062,2000,06,01,58,0,6/1/2000
0.062,2000,06,01,58,0,6/1/2000
0.071,2000,06,02,87,0,6/2/2000
0.071,2000,06,02,87,0,6/2/2000
0.071,2000,06,02,87,0,6/2/2000
0.071,2000,06,02,87,0,6/2/2000
0.033,2000,06,03,28,0,6/3/2000
0.033,2000,06,03,28,0,6/3/2000
0.033,2000,06,03,28,0,6/3/2000
0.033,2000,06,03,28,0,6/3/2000
0.044,2000,06,04,37,0,6/4/2000
0.044,2000,06,04,37,0,6/4/2000
0.044,2000,06,04,37,0,6/4/2000
0.044,2000,06,04,37,0,6/4/2000
0.034,2000,06,05,29,0,6/5/2000
0.034,2000,06,05,29,0,6/5/2000
0.034,2000,06,05,29,0,6/5/2000
0.034,2000,06,05,29,0,6/5/2000
0.027,2000,06,06,23,0,6/6/2000
0.027,2000,06,06,23,0,6/6/2000
0.027,2000,06,06,23,0,6/6/2000
0.027,2000,06,06,23,0,6/6/2000
0.035,2000,06,07,30,0,6/7/2000
0.035,2000,06,07,30,0,6/7/2000
0.035,2000,06,07,30,0,6/7/2000
0.035,2000,06,07,30,0,6/7/2000
0.045,2000,06,08,38,0,6/8/2000
0.045,2000,06,08,38,0,6/8/2000
0.045,2000,06,08,38,0,6/8/2000
0.045,2000,06,08,38,0,6/8/2000
0.076,2000,06,09,101,0,6/9/2000
0.076,2000,06,09,101,0,6/9/2000
0.076,2000,06,09,101,0,6/9/2000
0.076,2000,06,09,101,0,6/9/2000
0.103,2000,06,10,169,0,6/10/2000
0.103,2000,06,10,169,0,6/10/2000
0.103,2000,06,10,169,0,6/10/2000
0.103,2000,06,10,169,0,6/10/2000
0.079,2000,06,11,109,0,6/11/2000
0.079,2000,06,11,109,0,6/11/2000
0.079,2000,06,11,109,0,6/11/2000
0.079,2000,06,11,109,0,6/11/2000
0.02,2000,06,12,17,0,6/12/2000
0.02,2000,06,12,17,0,6/12/2000
0.02,2000,06,12,17,0,6/12/2000
0.02,2000,06,12,17,0,6/12/2000
0.023,2000,06,13,19,0,6/13/2000
0.023,2000,06,13,19,0,6/13/2000
0.023,2000,06,13,19,0,6/13/2000
0.023,2000,06,13,19,0,6/13/2000
0.022,2000,06,14,19,0,6/14/2000
0.022,2000,06,14,19,0,6/14/2000
0.022,2000,06,14,19,0,6/14/2000
0.022,2000,06,14,19,0,6/14/2000
0.009,2000,06,15,8,0,6/15/2000
0.009,2000,06,15,8,0,6/15/2000
0.009,2000,06,15,8,0,6/15/2000
0.009,2000,06,15,8,0,6/15/2000
0.047,2000,06,16,40,0,6/16/2000
0.047,2000,06,16,40,0,6/16/2000
0.047,2000,06,16,40,0,6/16/2000
0.047,2000,06,16,40,0,6/16/2000
0.052,2000,06,17,44,0,6/17/2000
0.052,2000,06,17,44,0,6/17/2000
0.052,2000,06,17,44,0,6/17/2000
0.052,2000,06,17,44,0,6/17/2000
0.038,2000,06,18,32,0,6/18/2000
0.038,2000,06,18,32,0,6/18/2000
0.038,2000,06,18,32,0,6/18/2000
0.038,2000,06,18,32,0,6/18/2000
0.03,2000,06,19,25,0,6/19/2000
0.03,2000,06,19,25,0,6/19/2000
0.03,2000,06,19,25,0,6/19/2000
0.03,2000,06,19,25,0,6/19/2000
0.06,2000,06,20,51,0,6/20/2000
0.06,2000,06,20,51,0,6/20/2000
0.06,2000,06,20,51,0,6/20/2000
0.06,2000,06,20,51,0,6/20/2000
0.049,2000,06,21,42,0,6/21/2000
0.049,2000,06,21,42,0,6/21/2000
0.049,2000,06,21,42,0,6/21/2000
0.049,2000,06,21,42,0,6/21/2000
0.048,2000,06,22,41,0,6/22/2000
0.048,2000,06,22,41,0,6/22/2000
0.048,2000,06,22,41,0,6/22/2000
0.048,2000,06,22,41,0,6/22/2000
0.039,2000,06,23,33,0,6/23/2000
0.039,2000,06,23,33,0,6/23/2000
0.039,2000,06,23,33,0,6/23/2000
0.039,2000,06,23,33,0,6/23/2000
0.067,2000,06,24,74,0,6/24/2000
0.067,2000,06,24,74,0,6/24/2000
0.067,2000,06,24,74,0,6/24/2000
0.067,2000,06,24,74,0,6/24/2000
0.045,2000,06,25,38,0,6/25/2000
0.045,2000,06,25,38,0,6/25/2000
0.045,2000,06,25,38,0,6/25/2000
0.045,2000,06,25,38,0,6/25/2000
0.057,2000,06,26,48,0,6/26/2000
0.057,2000,06,26,48,0,6/26/2000
0.057,2000,06,26,48,0,6/26/2000
0.057,2000,06,26,48,0,6/26/2000
0.05,2000,06,27,42,0,6/27/2000
0.05,2000,06,27,42,0,6/27/2000
0.05,2000,06,27,42,0,6/27/2000
0.05,2000,06,27,42,0,6/27/2000
0.052,2000,06,28,44,0,6/28/2000
0.052,2000,06,28,44,0,6/28/2000
0.052,2000,06,28,44,0,6/28/2000
0.052,2000,06,28,44,0,6/28/2000
0.039,2000,06,29,33,0,6/29/2000
0.039,2000,06,29,33,0,6/29/2000
0.039,2000,06,29,33,0,6/29/2000
0.039,2000,06,29,33,0,6/29/2000
0.042,2000,06,30,36,0,6/30/2000
0.042,2000,06,30,36,0,6/30/2000
0.042,2000,06,30,36,0,6/30/2000
0.042,2000,06,30,36,0,6/30/2000
