Dmax Ozone,Year,Month,Day,OZONE-WEIGHT,Flag,Date Local
0.038,2000,01,01,32,0,1/1/2000
0.038,2000,01,01,32,0,1/1/2000
0.038,2000,01,01,32,0,1/1/2000
0.038,2000,01,01,32,0,1/1/2000
0.015,2000,01,02,13,0,1/2/2000
0.015,2000,01,02,13,0,1/2/2000
0.015,2000,01,02,13,0,1/2/2000
0.015,2000,01,02,13,0,1/2/2000
0.028,2000,01,03,24,0,1/3/2000
0.028,2000,01,03,24,0,1/3/2000
0.028,2000,01,03,24,0,1/3/2000
0.028,2000,01,03,24,0,1/3/2000
0.019,2000,01,04,16,0,1/4/2000
0.019,2000,01,04,16,0,1/4/2000
0.019,2000,01,04,16,0,1/4/2000
0.019,2000,01,04,16,0,1/4/2000
0.023,2000,01,05,19,0,1/5/2000
0.023,2000,01,05,19,0,1/5/2000
0.023,2000,01,05,19,0,1/5/2000
0.023,2000,01,05,19,0,1/5/2000
0.024,2000,01,06,20,0,1/6/2000
0.024,2000,01,06,20,0,1/6/2000
0.024,2000,01,06,20,0,1/6/2000
0.024,2000,01,06,20,0,1/6/2000
0.02,2000,01,07,17,0,1/7/2000
0.02,2000,01,07,17,0,1/7/2000
0.02,2000,01,07,17,0,1/7/2000
0.02,2000,01,07,17,0,1/7/2000
0.02,2000,01,08,17,0,1/8/2000
0.02,2000,01,08,17,0,1/8/2000
0.02,2000,01,08,17,0,1/8/2000
0.02,2000,01,08,17,0,1/8/2000
0.033,2000,01,09,28,0,1/9/2000
0.033,2000,01,09,28,0,1/9/2000
0.033,2000,01,09,28,0,1/9/2000
0.033,2000,01,09,28,0,1/9/2000
0.017,2000,01,10,14,0,1/10/2000
0.017,2000,01,10,14,0,1/10/2000
0.017,2000,01,10,14,0,1/10/2000
0.017,2000,01,10,14,0,1/10/2000
0.006,2000,01,11,5,0,1/11/2000
0.006,2000,01,11,5,0,1/11/2000
0.006,2000,01,11,5,0,1/11/2000
0.006,2000,01,11,5,0,1/11/2000
0.02,2000,01,12,17,0,1/12/2000
0.02,2000,01,12,17,0,1/12/2000
0.02,2000,01,12,17,0,1/12/2000
0.02,2000,01,12,17,0,1/12/2000
0.028,2000,01,13,24,0,1/13/2000
0.028,2000,01,13,24,0,1/13/2000
0.028,2000,01,13,24,0,1/13/2000
0.028,2000,01,13,24,0,1/13/2000
0.018,2000,01,14,15,0,1/14/2000
0.018,2000,01,14,15,0,1/14/2000
0.018,2000,01,14,15,0,1/14/2000
0.018,2000,01,14,15,0,1/14/2000
0.029,2000,01,15,25,0,1/15/2000
0.029,2000,01,15,25,0,1/15/2000
0.029,2000,01,15,25,0,1/15/2000
0.029,2000,01,15,25,0,1/15/2000
0.027,2000,01,16,23,0,1/16/2000
0.027,2000,01,16,23,0,1/16/2000
0.027,2000,01,16,23,0,1/16/2000
0.027,2000,01,16,23,0,1/16/2000
0.023,2000,01,17,19,0,1/17/2000
0.023,2000,01,17,19,0,1/17/2000
0.023,2000,01,17,19,0,1/17/2000
0.023,2000,01,17,19,0,1/17/2000
0.004,2000,01,18,3,0,1/18/2000
0.004,2000,01,18,3,0,1/18/2000
0.004,2000,01,18,3,0,1/18/2000
0.004,2000,01,18,3,0,1/18/2000
0.023,2000,01,19,19,0,1/19/2000
0.023,2000,01,19,19,0,1/19/2000
0.023,2000,01,19,19,0,1/19/2000
0.023,2000,01,19,19,0,1/19/2000
