DMax Ozone,Year,Month,Day,OZONE-WEIGHT,Flag,Site Name,LAt,Lng,Date
0.004,2018,1,2,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/2/2018
0.032,2018,1,11,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/11/2018
0.003,2018,1,14,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/14/2018
0.036,2018,1,20,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/20/2018
0.027,2018,1,23,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/23/2018
0.03,2018,1,26,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/26/2018
0.017,2018,2,1,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/1/2018
0.017,2018,2,7,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/7/2018
0.021,2018,2,10,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/10/2018
0.031,2018,2,13,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/13/2018
0.031,2018,2,16,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/16/2018
0.037,2018,2,19,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/19/2018
0.035,2018,2,22,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/22/2018
0.038,2018,2,25,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/25/2018
0.032,2018,2,28,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/28/2018
0.031,2018,3,3,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/3/2018
0.032,2018,3,6,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/6/2018
0.037,2018,3,9,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/9/2018
0.042,2018,3,12,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/12/2018
0.032,2018,3,15,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/15/2018
0.038,2018,3,18,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/18/2018
0.021,2018,3,21,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/21/2018
0.039,2018,3,24,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/24/2018
0.036,2018,3,27,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/27/2018
0.035,2018,3,30,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/30/2018
0.039,2018,4,2,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,4/2/2018
0.018,2018,4,5,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,4/5/2018
0.045,2018,4,11,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,4/11/2018
0.035,2018,4,14,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,4/14/2018
0.041,2018,4,17,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,4/17/2018
0.043,2018,4,20,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,4/20/2018
0.039,2018,4,23,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,4/23/2018
