Dmax Ozone,Year,Month,Day,O3 AQI,Target
0.02,2013,8,1,19,0
0.02,2013,8,1,19,0
0.02,2013,8,1,19,0
0.02,2013,8,1,19,0
0.014,2013,8,2,13,0
0.014,2013,8,2,13,0
0.014,2013,8,2,13,0
0.014,2013,8,2,13,0
0.026,2013,8,3,24,0
0.026,2013,8,3,24,0
0.026,2013,8,3,24,0
0.026,2013,8,3,24,0
0.033,2013,8,4,31,0
0.033,2013,8,4,31,0
0.033,2013,8,4,31,0
0.033,2013,8,4,31,0
0.028,2013,8,5,26,0
0.028,2013,8,5,26,0
0.028,2013,8,5,26,0
0.028,2013,8,5,26,0
0.032,2013,8,6,30,0
0.032,2013,8,6,30,0
0.032,2013,8,6,30,0
0.032,2013,8,6,30,0
0.028,2013,8,7,26,0
0.028,2013,8,7,26,0
0.028,2013,8,7,26,0
0.028,2013,8,7,26,0
0.026,2013,8,8,24,0
0.026,2013,8,8,24,0
0.026,2013,8,8,24,0
0.026,2013,8,8,24,0
0.022,2013,8,9,20,0
0.022,2013,8,9,20,0
0.022,2013,8,9,20,0
0.022,2013,8,9,20,0
0.021,2013,8,10,19,0
0.021,2013,8,10,19,0
0.021,2013,8,10,19,0
0.021,2013,8,10,19,0
0.029,2013,8,11,27,0
0.029,2013,8,11,27,0
0.029,2013,8,11,27,0
0.029,2013,8,11,27,0
0.029,2013,8,12,27,0
0.029,2013,8,12,27,0
0.029,2013,8,12,27,0
0.029,2013,8,12,27,0
0.037,2013,8,13,34,0
0.037,2013,8,13,34,0
0.037,2013,8,13,34,0
0.037,2013,8,13,34,0
0.029,2013,8,16,27,0
0.029,2013,8,16,27,0
0.029,2013,8,16,27,0
0.029,2013,8,16,27,0
0.023,2013,8,17,21,0
0.023,2013,8,17,21,0
0.023,2013,8,17,21,0
0.023,2013,8,17,21,0
0.026,2013,8,18,24,0
0.026,2013,8,18,24,0
0.026,2013,8,18,24,0
0.026,2013,8,18,24,0
0.031,2013,8,19,29,0
0.031,2013,8,19,29,0
0.031,2013,8,19,29,0
0.031,2013,8,19,29,0
0.03,2013,8,20,28,0
0.03,2013,8,20,28,0
0.03,2013,8,20,28,0
0.03,2013,8,20,28,0
0.03,2013,8,21,28,0
0.03,2013,8,21,28,0
0.03,2013,8,21,28,0
0.03,2013,8,21,28,0
0.02,2013,8,22,19,0
0.02,2013,8,22,19,0
0.02,2013,8,22,19,0
0.02,2013,8,22,19,0
0.025,2013,8,23,23,0
0.025,2013,8,23,23,0
0.025,2013,8,23,23,0
0.025,2013,8,23,23,0
0.032,2013,8,24,30,0
0.032,2013,8,24,30,0
0.032,2013,8,24,30,0
0.032,2013,8,24,30,0
0.025,2013,8,25,23,0
0.025,2013,8,25,23,0
0.025,2013,8,25,23,0
0.025,2013,8,25,23,0
0.023,2013,8,26,21,0
0.023,2013,8,26,21,0
0.023,2013,8,26,21,0
0.023,2013,8,26,21,0
0.023,2013,8,27,21,0
0.023,2013,8,27,21,0
0.023,2013,8,27,21,0
0.023,2013,8,27,21,0
0.022,2013,8,28,20,0
0.022,2013,8,28,20,0
0.022,2013,8,28,20,0
0.022,2013,8,28,20,0
0.015,2013,8,29,14,0
0.015,2013,8,29,14,0
0.015,2013,8,29,14,0
0.015,2013,8,29,14,0
0.034,2013,8,30,31,0
0.034,2013,8,30,31,0
0.034,2013,8,30,31,0
0.034,2013,8,30,31,0
0.023,2013,8,31,21,0
0.023,2013,8,31,21,0
0.023,2013,8,31,21,0
0.023,2013,8,31,21,0
0.035,2013,9,1,32,0
0.035,2013,9,1,32,0
0.035,2013,9,1,32,0
0.035,2013,9,1,32,0
0.027,2013,9,2,25,0
0.027,2013,9,2,25,0
0.027,2013,9,2,25,0
0.027,2013,9,2,25,0
0.016,2013,9,3,15,0
0.016,2013,9,3,15,0
0.016,2013,9,3,15,0
0.016,2013,9,3,15,0
0.015,2013,9,4,14,0
0.015,2013,9,4,14,0
0.015,2013,9,4,14,0
0.015,2013,9,4,14,0
0.012,2013,9,5,11,0
0.012,2013,9,5,11,0
0.012,2013,9,5,11,0
0.012,2013,9,5,11,0
0.018,2013,9,6,17,0
0.018,2013,9,6,17,0
0.018,2013,9,6,17,0
0.018,2013,9,6,17,0
0.017,2013,9,7,16,0
0.017,2013,9,7,16,0
0.017,2013,9,7,16,0
0.017,2013,9,7,16,0
0.026,2013,9,8,24,0
0.026,2013,9,8,24,0
0.026,2013,9,8,24,0
0.026,2013,9,8,24,0
0.032,2014,4,1,30,0
0.032,2014,4,1,30,0
0.032,2014,4,1,30,0
0.032,2014,4,1,30,0
0.04,2014,4,2,37,0
0.04,2014,4,2,37,0
0.04,2014,4,2,37,0
0.04,2014,4,2,37,0
0.033,2014,4,3,31,0
0.033,2014,4,3,31,0
0.033,2014,4,3,31,0
0.033,2014,4,3,31,0
0.042,2014,4,4,39,0
0.042,2014,4,4,39,0
0.042,2014,4,4,39,0
0.042,2014,4,4,39,0
0.036,2014,4,5,33,0
0.036,2014,4,5,33,0
0.036,2014,4,5,33,0
0.036,2014,4,5,33,0
0.037,2014,4,6,34,0
0.037,2014,4,6,34,0
0.037,2014,4,6,34,0
0.037,2014,4,6,34,0
0.031,2014,4,7,29,0
0.031,2014,4,7,29,0
0.031,2014,4,7,29,0
