Dmax Ozone,Year,Month,Day,O3 AQI,Target,Date Local
0.02,2013,08,01,19,0,8/1/2013
0.02,2013,08,01,19,0,8/1/2013
0.02,2013,08,01,19,0,8/1/2013
0.02,2013,08,01,19,0,8/1/2013
0.014,2013,08,02,13,0,8/2/2013
0.014,2013,08,02,13,0,8/2/2013
0.014,2013,08,02,13,0,8/2/2013
0.014,2013,08,02,13,0,8/2/2013
0.026,2013,08,03,24,0,8/3/2013
0.026,2013,08,03,24,0,8/3/2013
0.026,2013,08,03,24,0,8/3/2013
0.026,2013,08,03,24,0,8/3/2013
0.033,2013,08,04,31,0,8/4/2013
0.033,2013,08,04,31,0,8/4/2013
0.033,2013,08,04,31,0,8/4/2013
0.033,2013,08,04,31,0,8/4/2013
0.028,2013,08,05,26,0,8/5/2013
0.028,2013,08,05,26,0,8/5/2013
0.028,2013,08,05,26,0,8/5/2013
0.028,2013,08,05,26,0,8/5/2013
0.032,2013,08,06,30,0,8/6/2013
0.032,2013,08,06,30,0,8/6/2013
0.032,2013,08,06,30,0,8/6/2013
0.032,2013,08,06,30,0,8/6/2013
0.028,2013,08,07,26,0,8/7/2013
0.028,2013,08,07,26,0,8/7/2013
0.028,2013,08,07,26,0,8/7/2013
0.028,2013,08,07,26,0,8/7/2013
0.026,2013,08,08,24,0,8/8/2013
0.026,2013,08,08,24,0,8/8/2013
0.026,2013,08,08,24,0,8/8/2013
0.026,2013,08,08,24,0,8/8/2013
0.022,2013,08,09,20,0,8/9/2013
0.022,2013,08,09,20,0,8/9/2013
0.022,2013,08,09,20,0,8/9/2013
0.022,2013,08,09,20,0,8/9/2013
0.021,2013,08,10,19,0,8/10/2013
0.021,2013,08,10,19,0,8/10/2013
0.021,2013,08,10,19,0,8/10/2013
0.021,2013,08,10,19,0,8/10/2013
0.029,2013,08,11,27,0,8/11/2013
0.029,2013,08,11,27,0,8/11/2013
0.029,2013,08,11,27,0,8/11/2013
0.029,2013,08,11,27,0,8/11/2013
0.029,2013,08,12,27,0,8/12/2013
0.029,2013,08,12,27,0,8/12/2013
0.029,2013,08,12,27,0,8/12/2013
0.029,2013,08,12,27,0,8/12/2013
0.037,2013,08,13,34,0,8/13/2013
0.037,2013,08,13,34,0,8/13/2013
0.037,2013,08,13,34,0,8/13/2013
0.037,2013,08,13,34,0,8/13/2013
0.029,2013,08,16,27,0,8/16/2013
0.029,2013,08,16,27,0,8/16/2013
0.029,2013,08,16,27,0,8/16/2013
0.029,2013,08,16,27,0,8/16/2013
0.023,2013,08,17,21,0,8/17/2013
0.023,2013,08,17,21,0,8/17/2013
0.023,2013,08,17,21,0,8/17/2013
0.023,2013,08,17,21,0,8/17/2013
0.026,2013,08,18,24,0,8/18/2013
0.026,2013,08,18,24,0,8/18/2013
0.026,2013,08,18,24,0,8/18/2013
0.026,2013,08,18,24,0,8/18/2013
0.031,2013,08,19,29,0,8/19/2013
0.031,2013,08,19,29,0,8/19/2013
0.031,2013,08,19,29,0,8/19/2013
0.031,2013,08,19,29,0,8/19/2013
0.03,2013,08,20,28,0,8/20/2013
0.03,2013,08,20,28,0,8/20/2013
0.03,2013,08,20,28,0,8/20/2013
0.03,2013,08,20,28,0,8/20/2013
0.03,2013,08,21,28,0,8/21/2013
0.03,2013,08,21,28,0,8/21/2013
0.03,2013,08,21,28,0,8/21/2013
0.03,2013,08,21,28,0,8/21/2013
0.02,2013,08,22,19,0,8/22/2013
0.02,2013,08,22,19,0,8/22/2013
0.02,2013,08,22,19,0,8/22/2013
0.02,2013,08,22,19,0,8/22/2013
0.025,2013,08,23,23,0,8/23/2013
0.025,2013,08,23,23,0,8/23/2013
0.025,2013,08,23,23,0,8/23/2013
0.025,2013,08,23,23,0,8/23/2013
0.032,2013,08,24,30,0,8/24/2013
0.032,2013,08,24,30,0,8/24/2013
0.032,2013,08,24,30,0,8/24/2013
0.032,2013,08,24,30,0,8/24/2013
0.025,2013,08,25,23,0,8/25/2013
0.025,2013,08,25,23,0,8/25/2013
0.025,2013,08,25,23,0,8/25/2013
0.025,2013,08,25,23,0,8/25/2013
0.023,2013,08,26,21,0,8/26/2013
0.023,2013,08,26,21,0,8/26/2013
0.023,2013,08,26,21,0,8/26/2013
0.023,2013,08,26,21,0,8/26/2013
0.023,2013,08,27,21,0,8/27/2013
0.023,2013,08,27,21,0,8/27/2013
0.023,2013,08,27,21,0,8/27/2013
0.023,2013,08,27,21,0,8/27/2013
0.022,2013,08,28,20,0,8/28/2013
0.022,2013,08,28,20,0,8/28/2013
0.022,2013,08,28,20,0,8/28/2013
0.022,2013,08,28,20,0,8/28/2013
0.015,2013,08,29,14,0,8/29/2013
0.015,2013,08,29,14,0,8/29/2013
0.015,2013,08,29,14,0,8/29/2013
0.015,2013,08,29,14,0,8/29/2013
0.034,2013,08,30,31,0,8/30/2013
0.034,2013,08,30,31,0,8/30/2013
0.034,2013,08,30,31,0,8/30/2013
0.034,2013,08,30,31,0,8/30/2013
0.023,2013,08,31,21,0,8/31/2013
0.023,2013,08,31,21,0,8/31/2013
0.023,2013,08,31,21,0,8/31/2013
0.023,2013,08,31,21,0,8/31/2013
0.035,2013,09,01,32,0,9/1/2013
0.035,2013,09,01,32,0,9/1/2013
0.035,2013,09,01,32,0,9/1/2013
0.035,2013,09,01,32,0,9/1/2013
0.027,2013,09,02,25,0,9/2/2013
0.027,2013,09,02,25,0,9/2/2013
0.027,2013,09,02,25,0,9/2/2013
0.027,2013,09,02,25,0,9/2/2013
0.016,2013,09,03,15,0,9/3/2013
0.016,2013,09,03,15,0,9/3/2013
0.016,2013,09,03,15,0,9/3/2013
0.016,2013,09,03,15,0,9/3/2013
0.015,2013,09,04,14,0,9/4/2013
0.015,2013,09,04,14,0,9/4/2013
0.015,2013,09,04,14,0,9/4/2013
0.015,2013,09,04,14,0,9/4/2013
0.012,2013,09,05,11,0,9/5/2013
0.012,2013,09,05,11,0,9/5/2013
0.012,2013,09,05,11,0,9/5/2013
0.012,2013,09,05,11,0,9/5/2013
0.018,2013,09,06,17,0,9/6/2013
0.018,2013,09,06,17,0,9/6/2013
0.018,2013,09,06,17,0,9/6/2013
0.018,2013,09,06,17,0,9/6/2013
0.017,2013,09,07,16,0,9/7/2013
0.017,2013,09,07,16,0,9/7/2013
0.017,2013,09,07,16,0,9/7/2013
0.017,2013,09,07,16,0,9/7/2013
0.026,2013,09,08,24,0,9/8/2013
0.026,2013,09,08,24,0,9/8/2013
0.026,2013,09,08,24,0,9/8/2013
0.026,2013,09,08,24,0,9/8/2013
0.032,2014,04,01,30,0,4/1/2014
0.032,2014,04,01,30,0,4/1/2014
0.032,2014,04,01,30,0,4/1/2014
0.032,2014,04,01,30,0,4/1/2014
0.04,2014,04,02,37,0,4/2/2014
0.04,2014,04,02,37,0,4/2/2014
0.04,2014,04,02,37,0,4/2/2014
0.04,2014,04,02,37,0,4/2/2014
0.033,2014,04,03,31,0,4/3/2014
0.033,2014,04,03,31,0,4/3/2014
0.033,2014,04,03,31,0,4/3/2014
0.033,2014,04,03,31,0,4/3/2014
0.042,2014,04,04,39,0,4/4/2014
0.042,2014,04,04,39,0,4/4/2014
0.042,2014,04,04,39,0,4/4/2014
0.042,2014,04,04,39,0,4/4/2014
0.036,2014,04,05,33,0,4/5/2014
0.036,2014,04,05,33,0,4/5/2014
0.036,2014,04,05,33,0,4/5/2014
0.036,2014,04,05,33,0,4/5/2014
0.037,2014,04,06,34,0,4/6/2014
0.037,2014,04,06,34,0,4/6/2014
0.037,2014,04,06,34,0,4/6/2014
0.037,2014,04,06,34,0,4/6/2014
0.031,2014,04,07,29,0,4/7/2014
0.031,2014,04,07,29,0,4/7/2014
0.031,2014,04,07,29,0,4/7/2014
0.031,2014,04,07,29,0,4/7/2014
0.034,2014,04,08,31,0,4/8/2014
0.034,2014,04,08,31,0,4/8/2014
0.034,2014,04,08,31,0,4/8/2014
0.034,2014,04,08,31,0,4/8/2014
0.038,2014,04,09,35,0,4/9/2014
0.038,2014,04,09,35,0,4/9/2014
0.038,2014,04,09,35,0,4/9/2014
0.038,2014,04,09,35,0,4/9/2014
0.037,2014,04,10,34,0,4/10/2014
0.037,2014,04,10,34,0,4/10/2014
0.037,2014,04,10,34,0,4/10/2014
0.037,2014,04,10,34,0,4/10/2014
0.043,2014,04,11,40,0,4/11/2014
0.043,2014,04,11,40,0,4/11/2014
0.043,2014,04,11,40,0,4/11/2014
