Ozone AQI,Year,Month,Day,OZONE-WEIGHT,Flag
44,2016,1,2,17,0
38,2016,1,3,17,0
32,2016,1,4,17,0
37,2016,1,5,17,0
36,2016,1,6,17,0
37,2016,1,7,17,0
25,2016,1,8,17,0
33,2016,1,9,17,0
40,2016,1,10,17,0
42,2016,1,11,17,0
43,2016,1,12,17,0
43,2016,1,13,17,0
41,2016,1,14,17,0
40,2016,1,15,17,0
41,2016,1,16,17,0
42,2016,1,17,17,0
40,2016,1,18,17,0
38,2016,1,19,17,0
41,2016,1,20,17,0
40,2016,1,21,17,0
37,2016,1,22,17,0
41,2016,1,23,17,0
41,2016,1,24,17,0
33,2016,1,25,17,0
40,2016,1,26,17,0
40,2016,1,27,17,0
39,2016,1,28,17,0
41,2016,1,29,17,0
38,2016,1,30,17,0
41,2016,1,31,17,0
37,2016,2,1,17,0
38,2016,2,2,17,0
42,2016,2,3,17,0
44,2016,2,4,17,0
43,2016,2,5,17,0
44,2016,2,6,17,0
41,2016,2,7,17,0
40,2016,2,8,17,0
43,2016,2,9,17,0
44,2016,2,10,17,0
39,2016,2,11,17,0
39,2016,2,12,17,0
41,2016,2,13,17,0
39,2016,2,14,17,0
35,2016,2,15,17,0
34,2016,2,16,17,0
32,2016,2,17,17,0
43,2016,2,18,17,0
42,2016,2,21,17,0
42,2016,2,22,17,0
42,2016,2,23,17,0
44,2016,2,24,17,0
37,2016,2,25,17,0
46,2016,2,26,17,0
46,2016,2,27,17,0
44,2016,2,28,17,0
43,2016,2,29,17,0
43,2016,3,1,17,0
44,2016,3,2,17,0
48,2016,3,3,17,0
41,2016,3,4,17,0
41,2016,3,5,17,0
45,2016,3,6,17,0
43,2016,3,12,17,0
43,2016,3,13,17,0
45,2016,3,14,17,0
41,2016,3,15,17,0
44,2016,3,16,17,0
44,2016,3,17,17,0
39,2016,3,18,17,0
40,2016,3,19,17,0
44,2016,3,20,17,0
49,2016,3,21,17,0
47,2016,3,22,17,0
39,2016,3,23,17,0
45,2016,3,24,17,0
45,2016,3,25,17,0
38,2016,3,26,17,0
46,2016,3,27,17,0
48,2016,3,28,17,0
44,2016,3,30,17,0
44,2016,3,31,17,0
44,2016,4,1,17,0
44,2016,4,2,17,0
44,2016,4,3,17,0
47,2016,4,5,17,0
42,2016,4,6,17,0
39,2016,4,7,17,0
44,2016,4,8,17,0
46,2016,4,9,17,0
35,2016,4,10,17,0
34,2016,4,11,17,0
43,2016,4,12,17,0
49,2016,4,13,17,0
49,2016,4,14,17,0
48,2016,4,15,17,0
39,2016,4,16,17,0
46,2016,4,17,17,0
44,2016,4,19,17,0
43,2016,4,20,17,0
80,2016,4,22,17,0
58,2016,4,23,17,0
38,2016,4,24,17,0
44,2016,4,25,17,0
34,2016,4,26,17,0
34,2016,4,27,17,0
30,2016,4,28,17,0
31,2016,4,29,17,0
39,2016,4,30,17,0
44,2016,5,1,17,0
48,2016,5,3,17,0
48,2016,5,4,17,0
74,2016,5,5,17,0
67,2016,5,6,17,0
50,2016,5,7,17,0
51,2016,5,8,17,0
48,2016,5,9,17,0
67,2016,5,10,17,0
51,2016,5,12,17,0
33,2016,5,13,17,0
29,2016,5,14,17,0
30,2016,5,15,17,0
40,2016,5,17,17,0
41,2016,5,18,17,0
46,2016,5,19,17,0
48,2016,5,20,17,0
42,2016,5,21,17,0
49,2016,5,22,17,0
54,2016,5,23,17,0
54,2016,5,24,17,0
61,2016,5,25,17,0
50,2016,5,26,17,0
42,2016,5,27,17,0
45,2016,5,28,17,0
49,2016,5,29,17,0
50,2016,8,13,17,0
61,2016,8,14,17,0
47,2016,8,15,17,0
71,2016,8,17,17,0
54,2016,8,18,17,0
33,2016,8,19,17,0
39,2016,8,20,17,0
54,2016,8,21,13,0
50,2016,8,27,17,0
50,2016,8,29,17,0
41,2016,9,2,17,0
44,2016,9,3,17,0
39,2016,9,4,17,0
42,2016,9,5,17,0
39,2016,9,6,17,0
44,2016,9,8,17,0
35,2016,9,9,17,0
49,2016,9,10,17,0
45,2016,9,11,17,0
37,2016,9,12,17,0
21,2016,9,13,17,0
33,2016,9,14,17,0
44,2016,9,17,17,0
38,2016,9,21,17,0
30,2016,9,22,17,0
46,2016,9,23,17,0
37,2016,9,24,17,0
41,2016,9,25,17,0
37,2016,9,26,17,0
37,2016,9,27,17,0
34,2016,9,28,17,0
44,2016,9,29,17,0
34,2016,9,30,17,0
46,2016,10,1,17,0
44,2016,10,2,17,0
49,2016,10,3,17,0
40,2016,10,7,17,0
44,2016,10,8,17,0
44,2016,10,9,17,0
36,2016,10,10,17,0
43,2016,10,11,17,0
19,2016,10,12,17,0
42,2016,10,13,17,0
35,2016,10,14,17,0
37,2016,10,15,17,0
40,2016,10,16,17,0
44,2016,10,17,17,0
42,2016,10,18,17,0
37,2016,10,19,17,0
36,2016,10,20,17,0
36,2016,10,25,17,0
38,2016,10,26,17,0
40,2016,10,27,17,0
33,2016,10,28,17,0
38,2016,10,29,17,0
30,2016,10,30,17,0
36,2016,10,31,17,0
40,2016,11,1,17,0
40,2016,11,2,17,0
44,2016,11,3,17,0
44,2016,11,4,17,0
42,2016,11,5,17,0
40,2016,11,6,17,0
40,2016,11,7,17,0
40,2016,11,8,17,0
39,2016,11,9,17,0
36,2016,11,10,17,0
34,2016,11,11,17,0
40,2016,11,12,17,0
44,2016,11,13,17,0
42,2016,11,14,17,0
44,2016,11,15,17,0
39,2016,11,16,17,0
33,2016,11,17,17,0
35,2016,11,18,17,0
31,2016,11,19,17,0
38,2016,11,20,17,0
34,2016,11,21,17,0
34,2016,11,22,17,0
32,2016,11,23,17,0
36,2016,11,24,17,0
44,2016,11,25,17,0
44,2016,11,26,17,0
39,2016,11,27,17,0
36,2016,11,29,17,0
35,2016,11,30,17,0
34,2016,12,1,17,0
33,2016,12,2,17,0
39,2016,12,3,17,0
39,2016,12,4,17,0
41,2016,12,5,17,0
36,2016,12,9,17,0
36,2016,12,10,17,0
39,2016,12,11,17,0
42,2016,12,12,17,0
39,2016,12,13,16,0
32,2016,12,15,17,0
31,2016,12,16,17,0
33,2016,12,17,17,0
42,2016,12,18,17,0
44,2016,12,19,17,0
40,2016,12,20,17,0
37,2016,12,21,17,0
30,2016,12,22,17,0
40,2016,12,23,17,0
32,2016,12,24,17,0
38,2016,12,25,17,0
44,2016,12,26,17,0
50,2016,12,27,17,0
42,2016,12,28,17,0
41,2016,12,29,17,0
43,2016,12,30,17,0
33,2018,1,1,17,0
43,2018,1,2,17,0
36,2018,1,3,17,0
34,2018,1,4,17,0
34,2018,1,5,17,0
31,2018,1,6,17,0
36,2018,1,7,17,0
40,2018,1,8,17,0
32,2018,1,9,17,0
29,2018,1,10,17,0
38,2018,1,11,17,0
31,2018,1,12,17,0
39,2018,1,13,17,0
37,2018,1,14,17,0
39,2018,1,15,17,0
31,2018,1,16,17,0
38,2018,1,17,17,0
36,2018,1,18,17,0
33,2018,1,19,17,0
33,2018,1,20,17,0
38,2018,1,23,17,0
41,2018,1,24,17,0
36,2018,1,25,17,0
38,2018,1,26,17,0
40,2018,1,27,17,0
35,2018,1,28,17,0
37,2018,1,29,17,0
38,2018,1,30,17,0
38,2018,1,31,17,0
36,2018,2,1,17,0
42,2018,2,3,14,0
33,2018,2,4,17,0
31,2018,2,5,17,0
36,2018,2,8,17,0
28,2018,2,9,17,0
29,2018,2,10,17,0
39,2018,2,11,14,0
33,2018,2,12,17,0
39,2018,2,14,17,0
41,2018,2,15,17,0
44,2018,2,16,17,0
41,2018,2,17,17,0
43,2018,2,18,17,0
36,2018,2,19,17,0
33,2018,2,20,17,0
39,2018,2,21,17,0
35,2018,2,22,17,0
43,2018,2,23,17,0
41,2018,2,24,17,0
42,2018,2,25,17,0
43,2018,2,26,17,0
