Dmax Ozone,Year,Month,Day,OZONE-WEIGHT,Target
0.032,2007,1,1,27,0
0.032,2007,1,1,27,0
0.032,2007,1,1,27,0
0.032,2007,1,1,27,0
0.032,2007,1,2,27,0
0.032,2007,1,2,27,0
0.032,2007,1,2,27,0
0.032,2007,1,2,27,0
0.038,2007,1,3,32,0
0.038,2007,1,3,32,0
0.038,2007,1,3,32,0
0.038,2007,1,3,32,0
0.043,2007,1,4,36,0
0.043,2007,1,4,36,0
0.043,2007,1,4,36,0
0.043,2007,1,4,36,0
0.036,2007,1,5,31,0
0.036,2007,1,5,31,0
0.036,2007,1,5,31,0
0.036,2007,1,5,31,0
0.04,2007,1,6,34,0
0.04,2007,1,6,34,0
0.04,2007,1,6,34,0
0.04,2007,1,6,34,0
0.041,2007,1,7,35,0
0.041,2007,1,7,35,0
0.041,2007,1,7,35,0
0.041,2007,1,7,35,0
0.04,2007,1,8,34,0
0.04,2007,1,8,34,0
0.04,2007,1,8,34,0
0.04,2007,1,8,34,0
0.035,2007,1,9,30,0
0.035,2007,1,9,30,0
0.035,2007,1,9,30,0
0.035,2007,1,9,30,0
0.043,2007,1,10,36,0
0.043,2007,1,10,36,0
0.043,2007,1,10,36,0
0.043,2007,1,10,36,0
0.038,2007,1,11,32,0
0.038,2007,1,11,32,0
0.038,2007,1,11,32,0
0.038,2007,1,11,32,0
0.031,2007,1,12,26,0
0.031,2007,1,12,26,0
0.031,2007,1,12,26,0
0.031,2007,1,12,26,0
0.03,2007,1,13,25,0
0.03,2007,1,13,25,0
0.03,2007,1,13,25,0
0.03,2007,1,13,25,0
0.033,2007,1,14,28,0
0.033,2007,1,14,28,0
0.033,2007,1,14,28,0
0.033,2007,1,14,28,0
0.034,2007,1,15,29,0
0.034,2007,1,15,29,0
0.034,2007,1,15,29,0
0.034,2007,1,15,29,0
0.034,2007,1,16,29,0
0.034,2007,1,16,29,0
0.034,2007,1,16,29,0
0.034,2007,1,16,29,0
0.04,2007,1,17,34,0
0.04,2007,1,17,34,0
0.04,2007,1,17,34,0
0.04,2007,1,17,34,0
0.035,2007,1,18,30,0
0.035,2007,1,18,30,0
0.035,2007,1,18,30,0
0.035,2007,1,18,30,0
0.036,2007,1,19,31,0
0.036,2007,1,19,31,0
0.036,2007,1,19,31,0
0.036,2007,1,19,31,0
0.037,2007,1,20,31,0
0.037,2007,1,20,31,0
